name,code,street,city,phone,npwp,mobile,fax,email,no_rek,is_company,supplier
BANGUN RAHMAT TEKNIK,SUPP048,Jl. Cisaranten Wetan RT. 01/04 Soekarno-Hatta Bandung,,022-7838260,,,022-7838263,,,TRUE,TRUE
BANGUNAN JAYA,SUPP049,Suniaraja No. 55-55A,,,,,,,,TRUE,TRUE
"BANGUNPERSADA MAKMURSENTOSA, PT",SUPP050,Jl. Sukarjo Wiryopranoto No. 2AA,,,01.572.751.4-074.000,,,,,TRUE,TRUE
BAPAK ACENG KURNIA,SUPP051,Bandung,,,,,,,,TRUE,TRUE
BAPAK ADE IRAWAN,SUPP052,Komp. Suka Asih Jl. Suka Asih Atas IV No. 3/315 Bandung,,81321084419,,,,,,TRUE,TRUE
BAPAK BUGAR BUDIMAN,SUPP053,Jl.Moh Toha Km.5 No.6 Bandung,,022-70735033,,,,,,TRUE,TRUE
BAPAK KUSUMA,SUPP054,Jl. Boulevard Gading Raya Blok AA3 No.37,,,,,,,,TRUE,TRUE
BAPAK NUGROHO SAPUTRO,SUPP055,Jakarta,,,,,,,,TRUE,TRUE
BAPAK RAHMAT,SUPP056,Jl. Cisaranten Wetan RT. 01/04 Soekarno-Hatta Bandung,,022-7838260,,,022-7838263,,,TRUE,TRUE
BAPAK ROSIDIN,SUPP057,"Jl. Cikawung Sari RT 08/14 Ciparay, Bandung",,81394182397,,,,,,TRUE,TRUE
BAPAK SANTOSO,SUPP058,,,,,,,,,TRUE,TRUE
ANDALAN KEMIKA UTAMA PT,SUPP059,Rukan Garnd Wisata Jl.Celebration Bulevard Blok A.A12 No 8 Tambun Bekasi,Bekasi,,,,,,,TRUE,TRUE
BAPAK SURYADI LOHANATHA,SUPP060,,,,,,,,,TRUE,TRUE
BAPAK WIBOWO,SUPP060 USD,,,,,,,,,TRUE,TRUE
GALIC BINA MADA,SUPP061,Jl. Gajah Mada Jakarta,Jakarta,021-6335808,,,021-5200730,,,TRUE,TRUE
BAPAK YUWONO,SUPP062,Jl. Ahmad Yani Bandung,,08122146576/7501258,,,,,,TRUE,TRUE
BEEBUCKS,SUPP063,Jl. Halimun No. 36,,,,,,,,TRUE,TRUE
BENGKEL AHASS,SUPP064,Jl. Ibrahim Adji (Depan Marin),,,,,,,,TRUE,TRUE
BENGKEL AUTO 2000,SUPP065,Jl. Soekarno-Hatta,,,,,,,,TRUE,TRUE
BENGKEL KIARACONDONG,SUPP066,Jl. Trs Kiaracondong,,,,,,,,TRUE,TRUE
BENGKEL LAS LISTRIK,SUPP067,Jl. Soekarno-Hatta No. 48,,,,,,,,TRUE,TRUE
BENGKEL MARGACINTA,SUPP068,Jl. Margacinta,,,,,,,,TRUE,TRUE
"BENLINDO SUBUR, CV",SUPP069,Jl. Soka V No. 92 Karang Timur Ciledug Tangerang 15157,,021-70664632,,,021-7329286,,,TRUE,TRUE
"BERTINDOMAS CIPTASATYA, PT",SUPP070,Kaw. Industri Mekar Jaya Jl. Karet Jaya KM.7 No. 3 Cadas Tangerang,,021-59373239/40,,,021-2159373240,,,TRUE,TRUE
"BHAKTI WIRA HUSADA, PT",SUPP071,Jl. Tebet Utara 1 No. 20 Jakarta,,021-4758638,,,021-4711551,,,TRUE,TRUE
"BINA ARTA, PT",SUPP072 USD,Rukan Taman Meruya N-33A Kembangan Jakarta Barat 11620,,021-5860868,,,021-5862164,,,TRUE,TRUE
"BINA ELEKTRIK, PT",SUPP073,Jl. Cibadak,,,,,,,,TRUE,TRUE
"BINANGUN BUANA WIGUNA, PT",SUPP074,Jl. Suryo Pranoto Blok B No. 41 Jakarta Pusat,,021-6314632/6330533,,,021-6314321 / 021-63851628,,,TRUE,TRUE
BINONG BARU,SUPP075,Jl. Margacinta No. 54 Bandung,,022-7566221,,,,,,TRUE,TRUE
"BINTANG LESTARI SEJAHTERA, PT",SUPP076,Jln. Manyar Kertoarjo V/18,,,,,,,,TRUE,TRUE
"BINTANG UTAMA, PD",SUPP077,Jl. ABC/Cikapundung Lt. I Blok HH No. 29 Bandung,,022-84460493,,,022-84460580,,,TRUE,TRUE
"BIROTIKA SEMESTA, PT",SUPP078,"Jl. Pancoran, Jakarta Selatan",,8001333333,01.310.774.3-062.000,,,,,TRUE,TRUE
"BIROTIKA SEMESTA, PT",SUPP078 USD,"Jl. Pancoran, Jakarta Selatan",,,01.310.774.3-062.000,,,,,TRUE,TRUE
KAWAN BARU,SUPP079,Jl. Banceuy No. 120 Bandung,Bandung,022-4230057,,,022-4220120,,,TRUE,TRUE
BJ HYPERMART BANGUNAN,SUPP080,Jl. Jend. A. Yani IBCC Blok E1,,,,,,,,TRUE,TRUE
"BOLA MAS, CV",SUPP081,JL. Suniaraja 78-81 Bandung,,022-230808,,,022-4231818,,,TRUE,TRUE
"BONDOR INDONESIA, PT",SUPP082,Jl. Olympic Raya Kav. A-32 Sentul-Citeureup 16810,,,,,,,,TRUE,TRUE
"BONDOR INDONESIA, PT.",SUPP082 HKI,Jl. Olympic Raya Kav. A-32 Sentul-Citeureup 16810,,,,,,,,TRUE,TRUE
"BONDOR INDONESIA, PT.",SUPP082 HKU,Jl. Olympic Raya Kav. A-32 Sentul-Citeureup 16810,,,,,,,,TRUE,TRUE
"BONDOR INDONESIA, PT",SUPP082 USD,Jl. Olympic Raya Kav. A-32 Sentul-Citeureup 16810,,021-8756001,01.869.275.6-055.000,,021-8756017,,,TRUE,TRUE
"BONE, CV",SUPP083,Ps. Cikapundung  Lt. 2 Blok S No. 5 Bandung,,022-84460528/4200295,,,,,,TRUE,TRUE
BPK. HAJI BODOGOL,SUPP084,BODOGOL,,,,,,,,TRUE,TRUE
JOBS DB INDONESIA PT,SUPP085,Jl.Sultan Iskandar Muda Kav.V-TA Pondok Indah ,Jakarta,021-29645588,,,021-29645599,,,TRUE,TRUE
"BRATACO, PT",SUPP086,Jln. Ters. Jakarta No. 77 G Bandung,,022-7210308-09,01.130.689.1-441.000,,022-7210310,wahyudinfeisal@yahoo.com,,TRUE,TRUE
"BRATACO,PT.",SUPP086 USD,Jl. Kelenteng No. 14,,,,,,,,TRUE,TRUE
MEKAR BARU BAN,SUPP087,Jl. Ir. H.Djuanda Bandung,Bandung,022-4268521,,,,,,TRUE,TRUE
"PANCA LOGAM, PD",SUPP088,Jl. Jend. Sudirman No. 289 Bandung,Bandung,022-6030859,,,022-6031812,,,TRUE,TRUE
"BRENNTAG, PT",SUPP089,Jl. Soekarno-Hatta No. 503 A Bandung,,022-7315593,01.720.850.5-056.000,,022-7315594,,,TRUE,TRUE
"BRENNTAG,PT.",SUPP089 USD,Jl. Soekarno-Hatta No. 503 A Bandung,,,,,,,,TRUE,TRUE
"TRIMAN,PT.",SUPP090,Jl. Banten No. 6 Bandung,Bandung,022-7273139,,,022-7218999,,,TRUE,TRUE
BRILIAN TEKNIK,SUPP091,Jl. Margacinta No. 31,,,,,,,,TRUE,TRUE
"BUANA CITRA ABADI, PT",SUPP092,Jl. Ahmad Yani No. 310 Bandung,,022-7212376,,,022-7212477,,,TRUE,TRUE
BUANA TEHNIK,SUPP093,Pasar Cikapundung,,,,,,,,TRUE,TRUE
"BUMI PUSPA CEREMAI, PT",SUPP094,Jl. Taman Tanah Abang II/25 Jakarta,,021-3440725,01.422.126.1-422.000,,021-3809110,,,TRUE,TRUE
"CAHAYA BERLIAN, PT",SUPP095,JL. Soekarno Hatta no.168 Bandung,,022-86061881/86061818,,,022-6005077,,,TRUE,TRUE
CAHAYA KERAMIK,SUPP096,Jl. A. yani No. 298 Bandung,,022-7238178/79,,,022-7238187,,,TRUE,TRUE
CAHAYA RODA,SUPP097,Jl. Suniaraja No.74,,,,,,,,TRUE,TRUE
"CAHAYA SETIA MITRA, CV",SUPP098,Pondok Mitra Lestari Blok A7-6 Bekasi,,021-98289025/8211624,02.510.644.4-432.000,,021-8211624,,,TRUE,TRUE
"CAKRAWALA MEGA INDAH, PT",SUPP099,Jl. Durman No. 10 Bandung,,022-4233943,01.371.060.3-092.000,,022-4204930,,,TRUE,TRUE
"CANA PHARMATECH, CV",SUPP100,Jl. Taman Duren Sawit E 414 Jakarta,,021-8604670,,,021-8604670,,,TRUE,TRUE
CAPITOL,SUPP101,Jl. Cikapundung Baru Los D9 Bandung,,,,,,,,TRUE,TRUE
CENTRAL Bandung RAYA,SUPP102,Jl. Supadio,,,,,,,,TRUE,TRUE
"CENTRAL FILTER GUNATAMA, PT",SUPP103,Graha Raya Bintaro Jaya Blok.G 10/3B Tengerang 15324,,021-53125942,02.287.355.8-415.000,,021-53126169,,,TRUE,TRUE
CENTRAL SEAL,SUPP104,CEC Lt.1 Blok FF No.17-18,,,,,,,,TRUE,TRUE
CENTRAL TEKNIK,SUPP105,Jl. Pungkur 127-A Bandung,,022-4201518,,,022-4231685,,,TRUE,TRUE
CIB CARGO,SUPP106,Kopomas Regency Blok K No. 7,,,,,,,,TRUE,TRUE
CIGONDEWAH,SUPP107,Jl. Cigondewah Bandung,,,,,,,,TRUE,TRUE
CINTA WARNA,SUPP108,Jl. Margacinta No. 202 Ciwastra,,022-7513968,,,,,,TRUE,TRUE
"CIPTA ANEKA AIR, PT",SUPP109,Pergudangan Prima Centre 2 Jl. Pesing Poglar Blok A/32 Jakarta Barat,,021-29031034/35,21.064.519.8-047.000,,021-29031033,,,TRUE,TRUE
"CIPTA ANEKA AIR, PT.",SUPP109 HKI,Pergudangan Prima Centre 2 Jl. Pesing Poglar Blok A/32 Jakarta Barat,,,,,,,,TRUE,TRUE
"CIPTA ANEKA AIR, PT",SUPP109 USD,"Pergudangan Prima Centre 2, Jl. Pesing Poglar Blok A/3",Jakarta Barat,,,,,,,TRUE,TRUE
CIPTA UTAMA,SUPP110,Rajawali Timur No. 48 Bandung,,022-6037777,,,,,,TRUE,TRUE
"CIPTA WATER TECH, PT",SUPP111,Pergudangan Prima Centre 2 Jl. Pesing Poglar Blok A/32 Jakarta Barat,,021-29031034/35,,,021-29031033,,,TRUE,TRUE
"CISANGKAN, PT",SUPP112,JL. CIJERAH NO. 107 CARINGIN Bandung KULON Bandung,,,01.104.370.0-441.000,,,,,TRUE,TRUE
"CITRA GRAFIKA SEJAHTERA, PT",SUPP113,Jl.Cibatu Raya No.35-Antapani Bandung,,,,,,,,TRUE,TRUE
"CITRA GRAFIKA, CV",SUPP114,Jl.Cibatu Raya No.35-Antapani Bandung,,022-7209113,,,022-7200475,,,TRUE,TRUE
CITRA SARI KIMIA,SUPP115,Jl. Gunung Sahari Raya No. 2C,,021-6596632,,,021-6255747,,,TRUE,TRUE
"CITRA SELARAS MANDIRI, PT",SUPP116,Jl. Tanjungsari Raya No. 11 Antapani,,,,,,,,TRUE,TRUE
CKE (Industrial Multi Fan),SUPP117,Komp. Ruko Banceuy Blok B3 Bo. 72 Bandung,,022-4220373,,,022-4235605,,,TRUE,TRUE
DAKOTA,SUPP118,Jl. Pahlawan Revolusi No. 123,,,,,,,,TRUE,TRUE
"DAMASES SEJAHTERA, PT",SUPP119,"GADING PERMAI AZ 32 RT.005 RW.010 GROGOL,GROGOL SUKOHARJO JAWA TENGAH",,,02.782.413.5-532.000,,,,,TRUE,TRUE
"DELTA MEGA ORITAMA, PT",SUPP120,Jl. H.S. Ronggowaluyo Kaumjaya No. 2 RT.10/04 Karawang,,0267-8457353,02.627.824.2-408.000,,0267-8457354,,,TRUE,TRUE
DEPO BANGUNAN,SUPP121,Jl. Soekarno-Hatta,,,,,,,,TRUE,TRUE
"DHARMA BANDAR MANDALA, PT",SUPP122,Jl. Soekarno 447 Bandung,,085624028733/85240187,,,022-85240186,,,TRUE,TRUE
"DIAN CIPTA PERKASA, PT",SUPP123,Puri Sentra Niaga Blok B No. 25Jl. Wiraloka Kalimalang Jakarta,,021-86607760/62,01.553.455.5-007.000,,021-86607761,,,TRUE,TRUE
"DIAN CIPTA PERKASA,PT.",SUPP123 USD,Puri Sentra Niaga Blok B No. 25Jl. Wiraloka Kalimalang Jakarta,,,,,,,,TRUE,TRUE
Bandung PURI TEKNOLOGI PT,SUPP124,TAMAN KOPO INDAH III NO E 16-186,Bandung,022-88887510,,,022-88887511,,,TRUE,TRUE
"DIGITAL AKURASI, PT",SUPP125,Jl. Taman Cibaduyut Indah Ruko No. 17 Bandung,,022-5409272/5430982,01.860.151.8-032.000,,022-5430980,,,TRUE,TRUE
"DILIMAS MANDIRI, PT",SUPP126,Ruko Palem Lestari Blok C/3 Cengkareng Jakarta 11730,,021-55953666,,,021-55954888,,,TRUE,TRUE
"DINAR RAYA SEJAHTERA, CV",SUPP127,Jl. Dr. Soemarno No. 1 Pulogebang Cakung Jakarta Timur 13950,,021-46345258,02.998.735.1-004.000,,021-4800154,,,TRUE,TRUE
"DIONTEK PRIMA ANALISA, PT",SUPP128,Jl. Ampera Raya No. 5 Cilandak Jakarta,,021-7816804/7816734,02.314.773.9-017.000,,021-7816734,,,TRUE,TRUE
"DIONTEK PRIMA ANALISA,PT.",SUPP128 USD,Jl. Ampera Raya No. 5 Cilandak Jakarta,,,,,,,,TRUE,TRUE
RIMBA INSANTEK MANDIRI PD,SUPP129,,Bandung,,,,,,,TRUE,TRUE
"DIPA PHARMALAB INTERSAINS, PT",SUPP130,Jl. Tanah Abang III No. 25 Jakarta,,021-3853274,,,021-5481322,,,TRUE,TRUE
"DIPA PUSPA LABSAINS, PT",SUPP131,Kom Sumber Sari Indah Jl. Sumber Mekar No. 61 Bandung,,022-6018250,02.494.212.0-038.000,,022-6062695,,,TRUE,TRUE
"DITEK JAYA, PT",SUPP132,Jl. Panjang Kebon Jeruk Jakarta Barat 11520,,021-5806862,,,021-5807161,,,TRUE,TRUE
DJAMUDJU,SUPP133,Jl. Kopo No. 376 Bandung,,022-6014920,,,022-6034043,,,TRUE,TRUE
"DOS NI ROHA, PT",SUPP134,,,022-5412453,,,022-5412454,,,TRUE,TRUE
"DUMAS CATUR SATUJUAN, PT",SUPP135,Jl. Durimas IV Blok G Duri Kelapa Jakarta 11510,,021-5652916/5630622,01.904.081.5-039.000,,021-5652916,,,TRUE,TRUE
E.CHUNG MACHINERY(INSAN SURYA),SUPP136,Jl. Mangga Dua Raya No. 8N,,,,,,,,TRUE,TRUE
"EKACITA DIAN PERSADA, PT",SUPP137,Perkantoran Buana Soetta Residense No. A-27 Jl. Raya Gedebage Selatan,Bandung,022-87240965,01.776.232.9-038.000,,022-87241076,,,TRUE,TRUE
"EKACITA DIAN PERSADA,PT.",SUPP137 USD,Perkantoran Buana Soetta Residence No. A-27 Jl. Raya Gedebage Selatan,Bandung,,,,,,,TRUE,TRUE
INTRALAB EKATAMA PT,SUPP138,JL Terapi Raya AD 2 Bumi Menteng Asri Bogor,Bogor,0251-8359110,0251-8311662,,00251-8315710,,,TRUE,TRUE
"EKADHARMA INTERNASIONAL, PT",SUPP139,Jl. Singgasana Raya No. 23-25 Komp. Singgasana Bandung,,022-5436172/73/74,01.360.179.4-054.000,,022-5436175,,,TRUE,TRUE
"EMBRIO BIOTEKINDO, PT",SUPP140,"Jl. Pajajaran Indah V No. 1/C Baranangsiang, Bogor",,0251-8377973/8332403,02.091.144.2-404.000,,0251-8377973,,,TRUE,TRUE
"ENSEVAL PUTERA MEGATRADING, PT",SUPP141,Jl. Soekarno-Hatta,,,,,,,,TRUE,TRUE
"ESA DANA, PD",SUPP142,JL. Condet Raya Gg.Asem no.23 Jakarta,,021-8098646,,,021-8092893,,,TRUE,TRUE
"EUTHICA UNGGUL JAYA, PT",SUPP143,Rukan Eksklusif Blok E No. 7 BGM Jakarta Utara,,021-56946137/56946138,02.747.452.7-047.000,,021-56946136,,,TRUE,TRUE
EUTHICA UNGGUL JAYA PT,SUPP143 USD,Rukan Exslusif Blok E no 7,Jakarta,021-56946137,,,,,,TRUE,TRUE
EXPEDISI KALI INTAN,SUPP144,Jl. Kalimas Baru No. 8A,,,,,,,,TRUE,TRUE
F & S (PUSAT INFORMASI ALARM),SUPP145,Jl. Cipaganti No. 36 Bandung,,022-4208921,,,022-4237251,,,TRUE,TRUE
FADNOV AIR TECH,SUPP146,Jl. Raya Cileunyi 100m,,,,,,,,TRUE,TRUE
FAJAR ABADI,SUPP147,Jl. Kopo Jaya No. 5 Bandung,,022-5417733,,,022-5400933,,,TRUE,TRUE
FAJAR BEARING,SUPP148,Psr. Cikapundung Blok JJ No. 1 Bandung,,022-84460548,,,,,,TRUE,TRUE
"FARMARINDO, PT",SUPP149,Jl. Raya Bekasi KM. 24.5 Jakarta Timur,,021-46821588,02.170.591.8-431.000,,021-45854966,,,TRUE,TRUE
"FELTINDO, CV",SUPP150,JL. Tongkol no.6 R Sunda Kelapa Jakarta,,021-6910038-39,,,021-6910039,,,TRUE,TRUE
"FELTINDO, CV",SUPP150 USD,Jl. Tongkol No. 6R Sunda Kelapa,Jakarta,,,,,,,TRUE,TRUE
"FLUIDA TEKNIKA, PT",SUPP151,Jl. Kebayoran Lama 16 3rd Floor Jakarta 12210,,,,,,,,TRUE,TRUE
FLUIDA TEKNIKA,SUPP151 HKU,Jl. Kebayoran Lama 16 3rd Floor Jakarta 12210,,,,,,,,TRUE,TRUE
"FLUIDA TEKNIKA, PT",SUPP151 USD,Jl. Kebayoran Lama 16 3rd Floor Jakarta 12210,,021-53678971-2,02.290.004.7-013.000,,021-53675889,,,TRUE,TRUE
"GALA LAKSANA KREASI, PT",SUPP152,Jl. Dr. Saharjo No. 96,,,01.770.659.9-048.000,,,,,TRUE,TRUE
"GALA LAKSANA KREASI, PT.",SUPP152 USD,Jl. Dr. Saharjo No. 96,,,01.770.659.9-048.000,,,,,TRUE,TRUE
TOKO DOA IBU,SUPP153,Jl.Belakang Pasar No 90,Bandung,022-4218273,,,,,,TRUE,TRUE
"GANESHA SAKTI ABADI, PT",SUPP154,Jl. Tanjung Duren Barat Raya No. 87 Jakarta Barat 11470,,021-56943918-19-20,02.245.779.0-003.000,,021-5673051,,,TRUE,TRUE
"GLOBAL CHEMINDO MEGATRADING, PT",SUPP155,Jl. Pulo Kambing Raya Kav. IIE No.8 Cakung Jakarta Timur,,021-46830028,02.313.070.1-007.000,,021-46836167,,,TRUE,TRUE
"GLOBAL CHEMINDO MEGATRADING, PT",SUPP155 USD,Jl. Pulo Kambing Raya Kav. IIE No.8 Cakung Jakarta Timur,,,,,,,,TRUE,TRUE
ANEVA BARAYA CV,SUPP156,Jl.Cibuntu Salam RT.18 Rw.08,Bekasi,021-87920989,,,021-87920989,,,TRUE,TRUE
"GLOBAL QUALITY INDONESIA, PT",SUPP157,Kopo Mas Regency Blok N 7C Bandung,,022-5436533,01.983.801.0-422.000,,022-5436637,,,TRUE,TRUE
"GRATIA TIFARINDO, CV",SUPP158,Komp. Griya Bandung Indah,,,,,,,,TRUE,TRUE
"GUNUNG CENDANA PERSADA, PT",SUPP159,Jl. Pakin No. 2 A-B,,,02.379.489.4-047.000,,,,,TRUE,TRUE
"HANNA INSTRUMENT INDOTAMA, PT",SUPP160,Jl. Penyu No. 6 Buahbatu Bandung,,022-7830364,01.673.823.9-043.000,,,,,TRUE,TRUE
"HANS PUTRA MANDIRI, CV",SUPP161,Jl. Setra Murni Tengah No.6 Bandung,,022-6036355/60853592,,,022-60880285,,,TRUE,TRUE
"HARAPAN JAYA, PD",SUPP162,Jl. Banceuy Bandung,,022-4235976,,,,,,TRUE,TRUE
"HARISMA AGUNG Bandung, PT",SUPP163,Jl. Sunda No. 37 Bandung 40112,,022-4210800/4264500,,,022-4213413,,,TRUE,TRUE
"HARTECH INDONESIA, PT",SUPP164,Jl. Pancaran Timur No. 1A Jakarta Selatan 12780,,021-7994307,01.310.516.8-061.000,,021-7989307,,,TRUE,TRUE
HASAN SADIKIN (IBU TUTI),SUPP165,,,,,,,,,TRUE,TRUE
HASTA LUHUR,SUPP166,Jl. Gedebage Bandung,,022-7816666,,,022-7813721,,,TRUE,TRUE
HELAU FILTER,SUPP167,Jl. Gempol Elok I No.34 Cijerah Bandung,,022-70568820,,,022-86066141,,,TRUE,TRUE
HENDRO SAPUTRO,SUPP168,Graha Raya Bintaro Jaya Blok.G 10/3B Tengerang 15324,,021-53125942,,,021-53126169,,,TRUE,TRUE
"HERMON PANCAKARSA(LIBRATAMA), PT",SUPP169,Jl. Guntur Sari No. 14 Bandung,,022-7307575,,,022-7305884,,,TRUE,TRUE
HERRY ALTER'S,SUPP170,Jl. Moh Toha Komp. Ruko Kurdi No. 25 Bandung,,022-5204961/5223549,,,022-5229960,,,TRUE,TRUE
"HEXINDO GLOBAL, PT",SUPP171,Jl. Plaza Amsterdam Blok D no. 8 Bogor,,021-82568884,31.425.761.9-403.000,,021-87962880,,,TRUE,TRUE
