NO_BATCH	TGL_PENGAMBILAN	NOMOR_MO	KODE_BARANG	LOKASI	QUANTITY	HARGA_PER_UNIT	STATIS	NO_AKUN	STATIS	STATIS	STATIS
[CRA0070100] Rangka botol 60 ml @ 50 botol	2016-04-13 04:29:12	PO00657	CRA007	Suppliers	1000.0	2020.0	STATIS	10010103	STATIS	STATIS	STATIS

[CET0590200] Etiket Cotrimoksazol Susp 60ml	2016-04-22 07:14:54	PO00709	CET059	Suppliers	22000.0	17.150000000000002	STATIS	10010103	STATIS	STATIS	STATIS

[CET0350200] Etiket Camidryl Exp. 60 ml	2016-04-21 01:58:37	PO00642	CET035	Suppliers	100000.0	22.21	STATIS	10010103	STATIS	STATIS	STATIS

[CBR0260200] Brosur Camidryl Expect. 60 ml	2016-03-31 02:39:47	PO00642	CBR026	Suppliers	100000.0	25.0	STATIS	10010103	STATIS	STATIS	STATIS

[BAS0010101] Ammonia Solution, Brataco	2016-04-01 07:49:47	PO00656	BAS001	Suppliers	30.0	4940.83	STATIS	10010102	STATIS	STATIS	STATIS

[CBO0090500] Btl Glass Amber 60 ml Round	2016-04-05 08:16:52	PO00712	CBO009	Suppliers	130900.0	420.0	STATIS	10010103	STATIS	STATIS	STATIS

[CBO0090500] Btl Glass Amber 60 ml Round	2016-04-15 07:19:50	PO00712	CBO009	Suppliers	130900.0	420.0	STATIS	10010103	STATIS	STATIS	STATIS

[CBR0260200] Brosur Camidryl Expect. 60 ml, Maestro Print	2016-04-13 04:34:15	PO00810	CBR026	Suppliers	1000.0	25.0	STATIS	10010103	STATIS	STATIS	STATIS

[CIN0310100] IB Camidryl Exp. 60 ml	2016-04-21 07:40:17	PO00807	CIN031	Suppliers	50000.0	194.31	STATIS	10010103	STATIS	STATIS	STATIS

[CBR0860200] Brosur Phenol Glicerol TT	2016-04-29 07:39:21	False	CBR086	Production	399.0	20.13	STATIS	10010103	STATIS	STATIS	STATIS

[CCO0590100] CO Fluza Catch Cover	2016-04-29 07:37:24	False	CCO059	Stock	6.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CLA0090100] Layer Fluza Catch Cover	2016-04-29 07:34:51	False	CLA009	Pengeluaran di Luar BOM	130.0	0.0	STATIS	False	STATIS	STATIS	STATIS

[CCO0010100] CO Pure Fish Oil	2016-04-29 07:32:24	False	CCO001	Pengeluaran di Luar BOM	37.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CSH0170100] Sheet Ukuran 140 X 105 cm	2016-04-29 07:31:04	False	CSH017	Stock	37.0	7760.0	STATIS	10010103	STATIS	STATIS	STATIS

[CCC0020100] Catch Cover Fluza Tab.	2016-04-29 07:28:28	False	CCC002	Stock	9918.0	224.78	STATIS	10010103	STATIS	STATIS	STATIS

[CBO0070100] Btl Glass Amber 200 ml Round	2016-04-29 07:09:57	False	CBO007	Stock	20.0	1481.24	STATIS	10010103	STATIS	STATIS	STATIS

[CLA0090100] Layer Fluza Catch Cover	2016-04-29 03:19:55	False	CLA009	Stock	202.0	0.0	STATIS	False	STATIS	STATIS	STATIS

[CIN1130100] IB Fluza Catch Cover	2016-04-29 03:15:03	False	CIN113	Stock	236.0	1250.0	STATIS	10010103	STATIS	STATIS	STATIS

[CCO0420100] CO Lamata	2016-04-29 03:12:26	False	CCO042	Pengeluaran di Luar BOM	118.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CSH0170100] Sheet Ukuran 140 X 105 cm	2016-04-29 03:10:23	False	CSH017	Stock	59.0	7760.0	STATIS	10010103	STATIS	STATIS	STATIS

[CCO0420100] CO Lamata	2016-04-29 03:08:00	False	CCO042	Pengeluaran di Luar BOM	51.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CSH0210100] Sheet Ukuran 150 X 105 cm	2016-04-29 03:05:42	False	CSH021	Stock	7.0	7560.0	STATIS	10010103	STATIS	STATIS	STATIS

[XCO0251100] CO Salep @20 box MLF	2016-04-29 03:03:00	False	XCO025	Stock	400.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CRA0070100] Rangka botol 60 ml @ 50 botol	2016-04-29 02:49:28	False	CRA007	Pengeluaran di Luar BOM	101.0	2020.0	STATIS	10010103	STATIS	STATIS	STATIS

[CRA0070100] Rangka botol 60 ml @ 50 botol	2016-04-29 02:47:44	False	CRA007	Production	65.0	2020.0	STATIS	10010103	STATIS	STATIS	STATIS

[CCO0560100] CO Zentropil 100 mg Blister	2016-04-29 02:43:05	False	CCO056	Pengeluaran di Luar BOM	2.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CSH0460200] Sheet Ukuran 160 X 115	2016-04-29 02:41:15	False	CSH046	Stock	1.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CSH0350100] Sheet Ukuran 175 X 80 cm	2016-04-29 02:33:10	False	CSH035	Stock	134.0	5759.66	STATIS	10010103	STATIS	STATIS	STATIS

[XCO0251100] CO Salep @20 box MLF	2016-04-29 02:22:17	False	XCO025	Stock	100.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CRA0070100] Rangka botol 60 ml @ 50 botol	2016-04-29 02:15:55	False	CRA007	Production	195.0	2020.0	STATIS	10010103	STATIS	STATIS	STATIS

[CPV0010100] PVC Rigid  ( 110 mm x 400 m  )	2016-04-29 02:13:15	False	CPV001	Production	0.19	353097.35000000003	STATIS	10010103	STATIS	STATIS	STATIS

[CPT0060100] PTP Foil Camoksil 500 mg Kapsul Lokal (110 mm x 500 m)	2016-04-29 02:13:15	False	CPT006	Production	0.06	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CDO0040200] Dop Alu 28 mm logo LC 	2016-04-29 01:49:57	False	CDO004	Production	200.0	114.0	STATIS	10010103	STATIS	STATIS	STATIS

[CBO0090200] Btl Glass Amber 60 ml Round	2016-04-29 01:49:57	False	CBO009	Production	30.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[DGD0020100] Diphenhydramine 10 mg/ml 1 ml	2016-04-28 09:21:00	False	DGD002	Stock	1100.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGD0020100] Diphenhydramine 10 mg/ml 1 ml	2016-04-28 07:12:31	False	DGD002	Stock	150.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGD0020100] Diphenhydramine 10 mg/ml 1 ml	2016-04-28 06:55:18	False	DGD002	Stock	143.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGD0020100] Diphenhydramine 10 mg/ml 1 ml	2016-04-28 06:47:51	False	DGD002	Stock	143.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGD0020100] Diphenhydramine 10 mg/ml 1 ml	2016-04-28 06:55:18	False	DGD002	Stock	13657.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGV0060100] Vitamin B12 500mcg/ml 1 ml	2016-04-28 05:54:55	False	DGV006	Stock	200.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGL0010100] Lidocain compositum 2 ml	2016-04-28 05:54:55	False	DGL001	Stock	40500.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGD0020100] Diphenhydramine 10 mg/ml 1 ml	2016-04-28 05:54:55	False	DGD002	Stock	90.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGL0010100] Lidocain compositum 2 ml	2016-04-28 05:48:45	False	DGL001	Stock	1500.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGL0010100] Lidocain compositum 2 ml	2016-04-28 05:46:40	False	DGL001	Stock	3160.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGV0060100] Vitamin B12 500mcg/ml 1 ml	2016-04-28 05:42:42	False	DGV006	Stock	1000.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGL0010100] Lidocain compositum 2 ml	2016-04-28 05:42:42	False	DGL001	Stock	12000.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGL0010100] Lidocain compositum 2 ml	2016-04-28 05:38:50	False	DGL001	Stock	18600.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGL0010100] Lidocain compositum 2 ml	2016-04-28 05:36:13	False	DGL001	Stock	52400.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGD0020100] Diphenhydramine 10 mg/ml 1 ml	2016-04-28 05:36:13	False	DGD002	Stock	2000.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGV0060100] Vitamin B12 500mcg/ml 1 ml	2016-04-28 05:32:05	False	DGV006	Stock	1400.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGL0010100] Lidocain compositum 2 ml	2016-04-28 05:32:05	False	DGL001	Stock	104000.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[DGD0020100] Diphenhydramine 10 mg/ml 1 ml	2016-04-28 05:32:05	False	DGD002	Stock	31200.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[AAH0010101] Alluminum Hydroxide Gel Dried, Taurus Chemical (p)	2016-04-05 08:38:12	PO00708	AAH001	Suppliers	200.0	20281.74	STATIS	10010101	STATIS	STATIS	STATIS

[DGD0020100] Diphenhydramine 10 mg/ml 1 ml	2016-04-28 04:59:28	False	DGD002	Stock	20000.0	0.0	STATIS	10010203	STATIS	STATIS	STATIS

[CBR0860200] Brosur Phenol Glicerol TT	2016-04-27 08:50:33	False	CBR086	Production	225.0	20.13	STATIS	10010103	STATIS	STATIS	STATIS

[CSP0010100] Sendok Plastik 5 ml	2016-04-27 08:47:46	False	CSP001	Production	158.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CBR0260200] Brosur Camidryl Expect. 60 ml, Maestro Print	2016-04-27 08:44:52	False	CBR026	Production	84.0	25.0	STATIS	10010103	STATIS	STATIS	STATIS

[CBR0860200] Brosur Phenol Glicerol TT	2016-04-27 08:42:13	False	CBR086	Production	224.0	20.13	STATIS	10010103	STATIS	STATIS	STATIS

[CCO0170100] CO Sanmino 120 ml	2016-04-27 08:40:48	False	CCO017	Pengeluaran di Luar BOM	66.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CCO0160100] CO Camaag 100 ml	2016-04-27 08:38:42	False	CCO016	Stock	66.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

[CCT0010100] Cellotape Transparan 0,5 inci	2016-04-27 08:36:25	False	CCT001	Production	100.0	2083.0	STATIS	10010103	STATIS	STATIS	STATIS

[CCO0210100] CO OBH 100 ml TD	2016-04-27 08:32:25	False	CCO021	Pengeluaran di Luar BOM	480.0	0.0	STATIS	10010103	STATIS	STATIS	STATIS

