Kode Program,Program,Kode,,Nama,COA
1.06,UJIAN TENGAH SEMESTER,1.06.01,01,Tersediaan sarana & prasarana ujian,
1.06,UJIAN TENGAH SEMESTER,1.06.02,02,Jadual ujian,
1.06,UJIAN TENGAH SEMESTER,1.06.03,03,KPU,
1.06,UJIAN TENGAH SEMESTER,1.06.04,04,Naskah ujian & lembar jawab,
1.06,UJIAN TENGAH SEMESTER,1.06.05,05,Daftar hadir & daftar nilai peserta ujian,
1.06,UJIAN TENGAH SEMESTER,1.06.06,06,Nilai akhir,
1.06,UJIAN TENGAH SEMESTER,1.06.07,07,Vakasi ujian,
1.07,UJIAN & NILAI AKHIR SEMESTER,1.07.01,01,Tersediaan sarana & prasarana ujian,
1.07,UJIAN & NILAI AKHIR SEMESTER,1.07.02,02,Jadual ujian,
1.07,UJIAN & NILAI AKHIR SEMESTER,1.07.03,03,KPU,
1.07,UJIAN & NILAI AKHIR SEMESTER,1.07.04,04,Naskah ujian & lembar jawab,
1.07,UJIAN & NILAI AKHIR SEMESTER,1.07.05,05,Daftar hadir & daftar nilai peserta ujian,
1.07,UJIAN & NILAI AKHIR SEMESTER,1.07.06,06,Nilai akhir,
1.07,UJIAN & NILAI AKHIR SEMESTER,1.07.07,07,Vakasi ujian,
1.08,PRAKTEK KERJA,1.08.01,01,Tersedia perush tempat mhs praktek,
1.09,EVALUASI PRESTASI AKADEMIK,1.09.01,01,Jumlah IPK/IPS <2,
1.09,EVALUASI PRESTASI AKADEMIK,1.09.02,02,"Jumlah IPK/IPS 2,02,5",
1.09,EVALUASI PRESTASI AKADEMIK,1.09.03,03,"Jumlah IPK/IPS 2,53,0",
1.09,EVALUASI PRESTASI AKADEMIK,1.09.04,04,"Jumlah IPK/IPS 3,04,0",
1.09,EVALUASI PRESTASI AKADEMIK,1.09.05,05,Segmentasi status akademik mhs berdasar perolehan SKS,
1.10,PENYELESAIAN SKRIPSI,1.10.01,01,Ketepatan waktu mulai,
1.10,PENYELESAIAN SKRIPSI,1.10.02,02,Ketepatan waktu selesai,
1.11,UJIAN SKRIPSI,1.11.01,01,Jadual ujian skripsi,
1.11,UJIAN SKRIPSI,1.11.02,02,Kehadiran pembimbing & penguji,
1.11,UJIAN SKRIPSI,1.11.03,03,Jumlah mhs yg lulus,
2.01,"MENYUSUN PENELITIAN, PANDUAN DAN SOP",2.01.01,01,Persiapan draft RIP & study banding,
2.01,"MENYUSUN PENELITIAN, PANDUAN DAN SOP",2.01.02,02,Pengumpulan data dari unit terkait,
2.01,"MENYUSUN PENELITIAN, PANDUAN DAN SOP",2.01.03,03,Rapat pendahuluan SC & OC,
2.01,"MENYUSUN PENELITIAN, PANDUAN DAN SOP",2.01.04,04,"Raker penyususnan RIP, Panduan dan SOP",
2.02,"MENYUSUN PANDUAN PELAKSANAAN PENELITIAN, SOSIALISASI, PROGRAM KERJA PELAKSANAAN PENELITIAN",2.02.01,01,Penyusunan panduan penelitian sesuai panduan Dikti,
2.02,"MENYUSUN PANDUAN PELAKSANAAN PENELITIAN, SOSIALISASI, PROGRAM KERJA PELAKSANAAN PENELITIAN",2.02.02,02,Rapat koordinasi,
2.02,"MENYUSUN PANDUAN PELAKSANAAN PENELITIAN, SOSIALISASI, PROGRAM KERJA PELAKSANAAN PENELITIAN",2.02.03,03,Sosialisasi program PP,
2.02,"MENYUSUN PANDUAN PELAKSANAAN PENELITIAN, SOSIALISASI, PROGRAM KERJA PELAKSANAAN PENELITIAN",2.02.04,04,Penyusunan Company Profile,
2.03,MELAKSANAKAN PELATIHAN PEMBUATAN PROPOSAL,2.03.01,01,Pelatihan pembuatan proposal Penelitian,
2.03,MELAKSANAKAN PELATIHAN PEMBUATAN PROPOSAL,2.03.10,10,Pelatihan jurnal ilmiah sesuai saintech bagi dosen,
2.04,MELAKSANAKAN SEMINAR ILMIAH,2.04.01,01,Seminar IPTEK regulair,
2.05,MELAKSANAKAN SEMINAR ILMIAH,2.05.02,02,Presentasi seminar ilmiah dosen,
2.04,MELAKSANAKAN SEMINAR ILMIAH,2.04.03,03,Seminar dan workshop nasional,
2.05,MELAKSANAKAN PENELITIAN INTERNAL,2.05.01,01,Stimulan penelitian bagi dosen,
3.01,MENYUSUN PANDUAN PELAKSANAAN SOSIALISASI PANDUAN DAN PROGRAM,3.01.01,01,"Penyusunan panduan penelitian, pengabdian & kewirausahaan",
3.01,MENYUSUN PANDUAN PELAKSANAAN SOSIALISASI PANDUAN DAN PROGRAM,3.01.02,02,Penyusunan peraturan & silabi pelatihan bagi masyarakat,
3.02,MELAKSANAKAN PELATIHAN PEMBUATAN PROPOSAL PENGMAS,3.02.01,01,Pelatihan pemuatan proposal pengabdian masyarakat,
3.03,MELAKSANAKAN PELATIHAN PENULISAN DAN KEWIRAUSAHAAN MAHASISWA,3.03.01,01,Pelatihan penulisan karya ilmiah bagi mhs,
3.03,MELAKSANAKAN PELATIHAN PENULISAN DAN KEWIRAUSAHAAN MAHASISWA,3.03.02,02,Pelatiahan kewirausahaan mhs,
3.04,MELAKSANAKAN PELATIHAN KEWIRAUSAHAAN,3.04.01,01,Pelatiahan kewirausahaan pemuda karang taruna,
3.04,MELAKSANAKAN PELATIHAN KEWIRAUSAHAAN,3.04.02,02,Pelatiahan kewirausahaan remaja putus sekolah,
3.05,MELAKSAKAN PENYULUHAN DAN PELATIHAN PADA MASYARAKAT PER PRODI,3.05.01,01,Kegiatan pengabdian masyarakat,
3.05,MELAKSAKAN PENYULUHAN DAN PELATIHAN PADA MASYARAKAT PER PRODI,3.05.02,02,Mengadakan seminar dan lokakarya kewirausahaan,
3.05,MELAKSAKAN PENYULUHAN DAN PELATIHAN PADA MASYARAKAT PER PRODI,3.05.03,03,Stimulan kewirausahaan,
3.05,MELAKSAKAN PENYULUHAN DAN PELATIHAN PADA MASYARAKAT PER PRODI,3.05.04,04,Pengabdian institut/fakultas/prodi,
4.01,MELAKSANAKAN USAHA KERJASAMA DENGAN PIHAK LUAR ISTN,4.01.01,01,"Membangun & mengembangkan jejaring ke pemerintah, swasta dll",
4.01,MELAKSANAKAN USAHA KERJASAMA DENGAN PIHAK LUAR ISTN,4.01.02,02,Pelaksanaan MOU,
4.01,MELAKSANAKAN USAHA KERJASAMA DENGAN PIHAK LUAR ISTN,4.01.03,03,Carrier Center,
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI",5.01.01,01,Penerbitan jurnal scientech,
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI",5.01.02,02,Penerbitan karya pengabdian,
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI",5.01.03,03,Penerbitan proceeding/ karya unggulan,
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI",5.01.04,04,Proses akreditasi jurnal scientech,
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI",5.01.05,05,Proses portal & web karya ilmih,
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI",5.01.06,06,Pencetakan company profile,
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI",5.01.07,07,Pameran Iptek open campus,
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI",5.01.08,08,Membangun pusat penerbitan ISTN Press,
6.01,"MELAKSANAKAN PENJAMINAN MUTU KEGIATAN BIDANG PENELITIAN, PENGMAS DAN KEWIRAUSAHAAN",6.01.01,01,Penyusunan revisi format monevin penelitian & peng.mas,
6.01,"MELAKSANAKAN PENJAMINAN MUTU KEGIATAN BIDANG PENELITIAN, PENGMAS DAN KEWIRAUSAHAAN",6.01.02,02,Memantau & pembinaan wirausaha hasil pelatihan,
6.01,"MELAKSANAKAN PENJAMINAN MUTU KEGIATAN BIDANG PENELITIAN, PENGMAS DAN KEWIRAUSAHAAN",6.01.03,03,Monevin penelitian & pengab. Masyarakat,
6.01,"MELAKSANAKAN PENJAMINAN MUTU KEGIATAN BIDANG PENELITIAN, PENGMAS DAN KEWIRAUSAHAAN",6.01.04,04,Pelaporan-pelaporan,
7.01,MELAKSANAKAN PENJAMINAN MUTU PENGELOLAAN MANAJEMEN DAN ADMINISTRASI KEGIATAN LP2M,7.01.01,01,Pengiriman proposal,
7.01,MELAKSANAKAN PENJAMINAN MUTU PENGELOLAAN MANAJEMEN DAN ADMINISTRASI KEGIATAN LP2M,7.01.02,02,Pembayaran iuran forum,
7.01,MELAKSANAKAN PENJAMINAN MUTU PENGELOLAAN MANAJEMEN DAN ADMINISTRASI KEGIATAN LP2M,7.01.03,03,Representasi,
