name,year,Forecast Details/Substance,Forecast Details/Jan,Forecast Details/Feb,Forecast Details/Mar,Forecast Details/Apr,Forecast Details/May,Forecast Details/Jul,Forecast Details/Jul,Forecast Details/Aug,Forecast Details/Sep,Forecast Details/Oct,Forecast Details/Nov,Forecast Details/Dec
,,Isotretinoin 10 mg,,,,,,,,,,,,
,,Fish Oil 1000 mg,,,,,,,,,,,,
,,Olive Oil 600 mg,,,,,,,,,,,,
,,Carniten,,,,,,,,,,,,
,,Colicol,,,,,,,,,,,,
,,Vomil 650 mg,,,,,,,,,,,,
,,Antasida Doen 60 ml,,,,,,,,,,,,
,,BAB 100 ml,,,,,,,,,,,,
,,Calcivita 200 ml,,,,,,,,,,,,
,,Camaag 100 ml,,,,,,,,,,,,
,,Camaag 200 ml,,,,,,,,,,,,
,,Came 60 ml,,,,,,,,,,,,
,,Camexine 60 ml,,,,,,,,,,,,
,,Camicetine 60 ml,,,,,,,,,,,,
,,Camicetine 60 ml Export,,,,,,,,,,,,
,,Camidex 100 ml,,,,,,,,,,,,
,,Camidryl 60 ml,,,,,,,,,,,,
,,Camikolin 60 ml,,,,,,,,,,,,
,,Camivita Syrup 60 ml,,,,,,,,,,,,
,,Camivita Syrup 120 ml,,,,,,,,,,,,
,,Carisin 15 ml,,,,,,,,,,,,
,,Casetamol 60 ml,,,,,,,,,,,,
,,Casetamol 60 ml Export,,,,,,,,,,,,
,,Chlorampenicol 60 ml,,,,,,,,,,,,
,,Cotrimoksazole 60 ml,,,,,,,,,,,,
,,Daganak 100 ml,,,,,,,,,,,,
,,Daganak 100 ml Gepeng,,,,,,,,,,,,
,,Dextromethorphan 60 ml,,,,,,,,,,,,
,,Kosaka 60 ml,,,,,,,,,,,,
,,Lycivita 100 ml,,,,,,,,,,,,
,,OBH 100 ml,,,,,,,,,,,,
,,OBH 100 ml TD,,,,,,,,,,,,
,,OBH 100 ml pet,,,,,,,,,,,,
,,OBH 100 ml Gepeng,,,,,,,,,,,,
,,OBH 100 ml Export,,,,,,,,,,,,
,,OBH 100 ml Gepeng Export,,,,,,,,,,,,
,,Paracetamol 60 ml,,,,,,,,,,,,
,,Piperazin 60 ml,,,,,,,,,,,,
,,Prometazine 60 ml,,,,,,,,,,,,
,,Promethazin 5 mg/ml 60 ml,,,,,,,,,,,,
,,Protusin 100 ml,,,,,,,,,,,,
,,Sanmino 120 ml,,,,,,,,,,,,
,,Camikolin 60 ml eksport,,,,,,,,,,,,
,,Glosweet 100 ml Syrup,,,,,,,,,,,,
,,Camivita Plus,,,,,,,,,,,,
,,Camivita Grow,,,,,,,,,,,,
,,Glocetamol Forte,,,,,,,,,,,,
,,Lutrotam 200 mg/ml 60 ml,,,,,,,,,,,,
,,Metronidazol 500 mg 100 ml,,,,,,,,,,,,
,,Aquadestillata steril 500 ml,,,,,,,,,,,,
,,Phenol Glycerol 5 ml,,,,,,,,,,,,
