"id","routing_id","sequence","name","cycle_nbr","hour_nbr","workcenter_id"
"wc_line_370","Suspensi Tanpa Dus",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_380","Suspensi Tanpa Dus",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_390","Suspensi Tanpa Dus",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_400","Suspensi Tanpa Dus",20,"Mixing",1,1,"Mixer"
"wc_line_410","Suspensi Tanpa Dus",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_420","Suspensi Tanpa Dus",30,"QC",1,1,"QC"
"wc_line_430","Suspensi Tanpa Dus",40,"Filling",1,1,"Mesin Filling"
"wc_line_440","Suspensi Tanpa Dus",50,"Visual",1,1,"Visual"
"wc_line_450","Suspensi Tanpa Dus",60,"Labelling",1,1,"Labelling"
"wc_line_460","Suspensi Tanpa Dus",70,"Packing (Master Box)",1,1,"Packing"
"wc_line_470","Suspensi Pakai Dus",5,"Pengeringan",1,1,"Oven"
"wc_line_480","Suspensi Pakai Dus",10,"Penimbangan",1,1,"Scale"
"wc_line_490","Suspensi Pakai Dus",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_500","Suspensi Pakai Dus",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_510","Suspensi Pakai Dus",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_520","Suspensi Pakai Dus",20,"Mixing",1,1,"Mixer"
"wc_line_530","Suspensi Pakai Dus",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_540","Suspensi Pakai Dus",30,"QC",1,1,"QC"
"wc_line_550","Suspensi Pakai Dus",40,"Filling",1,1,"Mesin Filling"
"wc_line_560","Suspensi Pakai Dus",50,"Visual",1,1,"Visual"
"wc_line_570","Suspensi Pakai Dus",60,"Labelling",1,1,"Labelling"
"wc_line_580","Suspensi Pakai Dus",70,"Packing (Folding Box)",1,1,"Packing"
"wc_line_590","Suspensi Pakai Dus",80,"Packing (Master Box)",1,1,"Packing"
"wc_line_600","Soft Capsule",5,"Pengeringan",1,1,"Oven"
"wc_line_610","Soft Capsule",10,"Penimbangan",1,1,"Scale"
"wc_line_620","Soft Capsule",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_630","Soft Capsule",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_640","Soft Capsule",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_650","Soft Capsule",20,"Melting",1,1,"Melting"
"wc_line_660","Soft Capsule",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_670","Soft Capsule",30,"Mixing",1,1,"Mixer"
"wc_line_680","Soft Capsule",40,"Encapsulasi",1,1,"Encapsulasi"
"wc_line_690","Soft Capsule",50,"Drying",1,1,"Drying"
"wc_line_700","Soft Capsule",60,"Counting & Bottling",1,1,"Counting & Bottling"
"wc_line_710","Soft Capsule",70,"Labelling",1,1,"Labelling"
"wc_line_720","Soft Capsule",80,"Packing (Master Box)",1,1,"Packing"
"wc_line_730","Kapsul",5,"Pengeringan",1,1,"Oven"
"wc_line_740","Kapsul",10,"Penimbangan",1,1,"Scale"
"wc_line_750","Kapsul",20,"Mixing",1,1,"Mixer"
"wc_line_760","Kapsul",30,"Uji QC",1,1,"QC"
"wc_line_770","Kapsul",40,"Filling",1,1,"Mesin Filling"
"wc_line_780","Kapsul",50,"Uji QC",1,1,"QC"
"wc_line_790","Kapsul",60,"Stripping/Blistering",1,1,"Stripping/Blistering"
"wc_line_800","Kapsul",70,"Codding",1,1,"Codding"
"wc_line_810","Kapsul",70,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_820","Kapsul",70,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_830","Kapsul",80,"Packing (Fbox,Master Box)",1,1,"Packing"
"wc_line_840","Kaplet/Tablet",5,"Pengeringan",1,1,"Oven"
"wc_line_850","Kaplet/Tablet",10,"Penimbangan",1,1,"Scale"
"wc_line_860","Kaplet/Tablet",20,"Mixing",1,1,"Mixer"
"wc_line_870","Kaplet/Tablet",30,"Uji QC",1,1,"QC"
"wc_line_880","Kaplet/Tablet",40,"Cetak",1,1,"Mesin Cetak"
"wc_line_890","Kaplet/Tablet",50,"Uji QC",1,1,"QC"
"wc_line_900","Kaplet/Tablet",60,"Stripping/Blistering",1,1,"Stripping/Blistering"
"wc_line_910","Kaplet/Tablet",70,"Codding",1,1,"Codding"
"wc_line_920","Kaplet/Tablet",70,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_930","Kaplet/Tablet",70,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_940","Kaplet/Tablet",80,"Packing (Fbox,Master Box)",1,1,"Packing"
"wc_line_950","Dry Syrup Pakai Dus",5,"Pengeringan",1,1,"Oven"
"wc_line_960","Dry Syrup Pakai Dus",10,"Penimbangan",1,1,"Scale"
"wc_line_970","Dry Syrup Pakai Dus",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_980","Dry Syrup Pakai Dus",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_990","Dry Syrup Pakai Dus",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_1000","Dry Syrup Pakai Dus",20,"Mixing",1,1,"Mixer"
"wc_line_1010","Dry Syrup Pakai Dus",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_1020","Dry Syrup Pakai Dus",30,"QC",1,1,"QC"
"wc_line_1030","Dry Syrup Pakai Dus",40,"Filling & Capping",1,1,"Mesin Filling & Capping"
"wc_line_1040","Dry Syrup Pakai Dus",50,"Labelling",1,1,"Labelling"
"wc_line_1050","Dry Syrup Pakai Dus",60,"Packing (Folding Box)",1,1,"Packing"
"wc_line_1060","Dry Syrup Pakai Dus",70,"Packing (Master Box)",1,1,"Packing"
"wc_line_1070","Dry Syrup Tanpa Dus",5,"Pengeringan",1,1,"Oven"
"wc_line_1080","Dry Syrup Tanpa Dus",10,"Penimbangan",1,1,"Scale"
"wc_line_1090","Dry Syrup Tanpa Dus",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_1100","Dry Syrup Tanpa Dus",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_1110","Dry Syrup Tanpa Dus",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_1120","Dry Syrup Tanpa Dus",20,"Mixing",1,1,"Mixer"
"wc_line_1130","Dry Syrup Tanpa Dus",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_1140","Dry Syrup Tanpa Dus",30,"QC",1,1,"QC"
"wc_line_1150","Dry Syrup Tanpa Dus",40,"Filling & Capping",1,1,"Mesin Filling & Capping"
"wc_line_1160","Dry Syrup Tanpa Dus",50,"Labelling",1,1,"Labelling"
"wc_line_1170","Dry Syrup Tanpa Dus",60,"Packing (Master Box)",1,1,"Packing"
"wc_line_1180","Larutan",10,"Penimbangan",1,1,"Scale"
"wc_line_1190","Larutan",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_1200","Larutan",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_1210","Larutan",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_1220","Larutan",20,"Mixing",1,1,"Mixer"
"wc_line_1230","Larutan",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_1240","Larutan",30,"Filling & Plugging",1,1,"Mesin Filling"
"wc_line_1250","Larutan",40,"Labelling",1,1,"Labelling"
"wc_line_1260","Larutan",50,"Packing (Master Box)",1,1,"Packing"
"wc_line_1270","Injeksi 1 & 2 ML",5,"Cuci Ampul",1,1,"Cuci Ampul"
"wc_line_1280","Injeksi 1 & 2 ML",10,"Sterillisasi",1,1,"Sterillisasi"
"wc_line_1290","Injeksi 1 & 2 ML",10,"Penimbangan",1,1,"Scale"
"wc_line_1300","Injeksi 1 & 2 ML",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_1310","Injeksi 1 & 2 ML",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_1320","Injeksi 1 & 2 ML",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_1330","Injeksi 1 & 2 ML",20,"Mixing",1,1,"Mixer"
"wc_line_1340","Injeksi 1 & 2 ML",20,"Sterillisasi",1,1,"Sterillisasi"
"wc_line_1350","Injeksi 1 & 2 ML",30,"Integrity Test",1,1,"Integrity Test"
"wc_line_1360","Injeksi 1 & 2 ML",40,"Filtrasi",1,1,"Filtrasi"
"wc_line_1370","Injeksi 1 & 2 ML",50,"QC",1,1,"QC"
"wc_line_1380","Injeksi 1 & 2 ML",60,"Filling",1,1,"Mesin Filling"
"wc_line_1390","Injeksi 1 & 2 ML",70,"Visual",1,1,"Visual"
"wc_line_1400","Injeksi 1 & 2 ML",80,"Printing",1,1,"Mesin Printing"
"wc_line_1410","Injeksi 1 & 2 ML",90,"Packing",1,1,"Packing"
"wc_line_1420","Injeksi 10 & 20 ML",5,"Cuci Ampul",1,1,"Cuci Ampul"
"wc_line_1430","Injeksi 10 & 20 ML",10,"Sterillisasi",1,1,"Sterillisasi"
"wc_line_1440","Injeksi 10 & 20 ML",10,"Penimbangan",1,1,"Scale"
"wc_line_1450","Injeksi 10 & 20 ML",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_1460","Injeksi 10 & 20 ML",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_1470","Injeksi 10 & 20 ML",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_1480","Injeksi 10 & 20 ML",20,"Mixing",1,1,"Mixer"
"wc_line_1490","Injeksi 10 & 20 ML",20,"Sterillisasi",1,1,"Sterillisasi"
"wc_line_1500","Injeksi 10 & 20 ML",30,"Integrity Test",1,1,"Integrity Test"
"wc_line_1510","Injeksi 10 & 20 ML",40,"Filtrasi",1,1,"Filtrasi"
"wc_line_1520","Injeksi 10 & 20 ML",50,"QC",1,1,"QC"
"wc_line_1530","Injeksi 10 & 20 ML",60,"Filling",1,1,"Mesin Filling"
"wc_line_1540","Injeksi 10 & 20 ML",70,"Visual",1,1,"Visual"
"wc_line_1550","Injeksi 10 & 20 ML",80,"Labelling",1,1,"Labelling"
"wc_line_1560","Injeksi 10 & 20 ML",90,"Packing",1,1,"Packing"
