"id","name","comment","street","city","phone","npwp","mobile","fax","email","no_rek","is_company","supplier","category_id"
"res_partner_220","ALMEGA SEJAHTERA, PT","SUPP012","Jl. Lengkong Besar No. 55 Bandung",,"022-4200282","01.612.112.1-046.000",,"022-6125412/15",,,"TRUE","TRUE",
"res_partner_230","ALMEGA SEJAHTERA, PT","SUPP012 USD","Jl. Abdurrahman Saleh No. 9","Bandung",,,,,,,"TRUE","TRUE",
"res_partner_240","ALTINEX, PT","SUPP013","Jl. Gempol Wetan no.125 Bandung",,"022-4206848/7811363","01.257.406.7-441.000",,"022-4236685",,,"TRUE","TRUE",
"res_partner_250","AMSAL PERKASA","SUPP014","TKI Blok A2 No.98",,,,,,,,"TRUE","TRUE",
"res_partner_260","ANCOL TERANG, PT","SUPP015","Jl. Ancol IX no.7 Jakarta",,"021-6900186/6911710-1",,,"021-6907569",,,"TRUE","TRUE",
"res_partner_270","ANEKA ENGGINER","SUPP016","Psr. Cikapudnugn Baru Lt. 2 Blok U 11-12 Bandung",,"022-4207638/92116247",,,"022-4210265",,,"TRUE","TRUE",
"res_partner_280","ANEKA PLASTIKINDO, PT","SUPP017","GG.SUNIARAJA NO. 2/13 RT/RW 002/002 BRAGA SUMUR Bandung",,"022-4201124","31.241.030.1-423.000",,"022-4201124",,,"TRUE","TRUE",
"res_partner_290","ANGKUTAN WIBOWO","SUPP018","Bandung",,"022-7322482",,,,,,"TRUE","TRUE",
"res_partner_300","ANISYA HAMSIR, CV","SUPP019","Jl. Margakencana Tengah No. 44",,,,,,,,"TRUE","TRUE",
"res_partner_310","ANRES JOINT TECHNOLOGI, PT","SUPP020","Rukan Cempaka Mas Blok O No. 8 Jl. Letjen Suprapto Jakarta Pusat 10640",,"021-4242744/4242547","02.361.277.3-027.000",,"021-4242735",,,"TRUE","TRUE",
"res_partner_320","ANUGERAH ABADI","SUPP021","Psr. Cikapundung Bandung",,"022-4218250",,,,,,"TRUE","TRUE",
"res_partner_330","ANUGERAH ELEKTRIK","SUPP022","Cikapundung Lt. I Blok EE 16-35 Bandung",,"022-84460588-89",,,,,,"TRUE","TRUE",
"res_partner_340","ANUGERAH KAYU","SUPP023","Taman Kopo 2 Kav Industri No. 7",,"022-5426757",,,"022-5424007",,,"TRUE","TRUE",
"res_partner_350","ANUGERAH MANUNGGAL ABADI, PT","SUPP024","Jl. Daan Mogot Km.19,6",,,,,,,,"TRUE","TRUE",
"res_partner_360","ANUGERAH MENTARI DISTRINDO, PT","SUPP025 USD","Jl. Daan Mogot Kav. 100 Jakarta",,"021-5681248","02.881.121.4-036.000",,"021-56952189",,,"TRUE","TRUE",
"res_partner_370","ANUGERAH PHARMINDO LESTARI, PT","SUPP026","Jakarta",,,,,,,,"TRUE","TRUE",
"res_partner_380","ANUGRAH ABADI, CV","SUPP027","Jl. Terusan Kiaracondong No. 164 Bandung",,"022-604717",,,"022-6038342",,,"TRUE","TRUE",
"res_partner_390","ANUGRAH KACA","SUPP028","Jl. Pasirluyu Selatan No. 27 Bandung",,"022-5212123/24",,,"022-5223088",,,"TRUE","TRUE",
"res_partner_400","SOLAS LANGGENG SEJAHTERA, PT","SUPP029","Jl. Industri  No. 18 Cimareme",,,,,,,,"TRUE","TRUE",
"res_partner_410","ANUGRAH MITRA DISTRINDO, PT","SUPP030","Jl. Raya Pondok Kelapa Blok G 17",,,,,,,,"TRUE","TRUE",
"res_partner_420","ANUGRAH PRATAMA, CV","SUPP031","Pondok Ungu Permai Blok. A6 No. 14",,,,,,,,"TRUE","TRUE",
"res_partner_430","ARITA PRIMA INDONESIA, PT","SUPP032","Buahbatu Commercial Area No. 1",,,,,,,,"TRUE","TRUE",
"res_partner_440","ARTHA KHARISMA, CV","SUPP033","Jl. Raya Sapan No. 15 RT. 001/001 Bandung",,"022-7562925/26/27","02.735.178.2-444.000",,"022-7561520",,,"TRUE","TRUE",
"res_partner_450","ASAHI AGUNG ABADI, CV","SUPP034",,,,"21.077.546.6-445.000",,,,,"TRUE","TRUE",
"res_partner_460","BESTINDO PUTRA MANDIRI, PT","SUPP035","Jl. Soekarno-Hatta No. 503A Bandung","Bandung",,,,,,,"TRUE","TRUE",
"res_partner_470","ASIA AFRIKA PLASTIK, PT","SUPP036","Jl.Laks M.U Nurtanio 91-93",,,,,,,,"TRUE","TRUE",
"res_partner_480","ASTRA INTERNASIONAL Tbk., PT","SUPP037","Jl. Gaya Motor raya No. 8",,,"01.302.584.6-092.000",,,,,"TRUE","TRUE",
"res_partner_490","ATLAS COPCO INDONESIA, PT","SUPP038","Jl. Soekarno-Hatta Kav. 550 Bandung",,"022-7563044/7563058",,,"022-7564181",,,"TRUE","TRUE",
"res_partner_500","ATRINDO ASIA GLOBAL, PT","SUPP039","Jl. Riung Karya Juang No.16 Bandung",,"022-70401948","01.885.406.7-013.000",,"022-7562910",,,"TRUE","TRUE",
"res_partner_510","AVESTA CONTINENTAL PACK, PT","SUPP040","Jl. Raya Bekasi Km 28, 5 Bekasi",,"022-6071715/021-88400","01.131.635.3-431.000",,"022-5204458",,,"TRUE","TRUE",
"res_partner_520","BAGJA ENGINEERING, CV.","SUPP041","Jl. Lahan Jati Blok H No. 11 Bandung",,"022-7835720",,,"022-7832876",,,"TRUE","TRUE",
"res_partner_530","BAGJA ENGINEERING, CV.","SUPP041 HKI","Jl. Lahan Jati Blok H No. 11 Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_540","BAGUS JAYA TEKNIK, CV","SUPP042",,,,,,,,,"TRUE","TRUE",
"res_partner_550","BAHTERA ADIJAYA, PT","SUPP043","Jl. Pangeran Jayakarta No. 123 Jakarta",,"021-6262846","01.961.037.7-511.000",,"021-6266978",,,"TRUE","TRUE",
"res_partner_560","BALAI BESAR BAHAN & BARANG TEK","SUPP044","Jl. Sangkuriang No. 14",,,,,,,,"TRUE","TRUE",
"res_partner_570","Bandung DIESEL","SUPP045","Jl. Soekarno-Hatta No.559-563 Sekelimus",,,,,,,,"TRUE","TRUE",
"res_partner_580","Bandung ELECTRIC","SUPP046","Cikapundung Electronic",,,,,,,,"TRUE","TRUE",
"res_partner_590","BANGUN JASA TRANS, CV","SUPP047","Perum Nirwana Estate Blok JJ No. 3",,,,,,,,"TRUE","TRUE",
"res_partner_600","BANGUN RAHMAT TEKNIK","SUPP048","Jl. Cisaranten Wetan RT. 01/04 Soekarno-Hatta Bandung",,"022-7838260",,,"022-7838263",,,"TRUE","TRUE",
"res_partner_610","BANGUNAN JAYA","SUPP049","Suniaraja No. 55-55A",,,,,,,,"TRUE","TRUE",
"res_partner_620","BANGUNPERSADA MAKMURSENTOSA, PT","SUPP050","Jl. Sukarjo Wiryopranoto No. 2AA",,,"01.572.751.4-074.000",,,,,"TRUE","TRUE",
"res_partner_630","BAPAK ACENG KURNIA","SUPP051","Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_640","BAPAK ADE IRAWAN","SUPP052","Komp. Suka Asih Jl. Suka Asih Atas IV No. 3/315 Bandung",,81321084419,,,,,,"TRUE","TRUE",
"res_partner_650","BAPAK BUGAR BUDIMAN","SUPP053","Jl.Moh Toha Km.5 No.6 Bandung",,"022-70735033",,,,,,"TRUE","TRUE",
"res_partner_660","BAPAK KUSUMA","SUPP054","Jl. Boulevard Gading Raya Blok AA3 No.37",,,,,,,,"TRUE","TRUE",
"res_partner_670","BAPAK NUGROHO SAPUTRO","SUPP055","Jakarta",,,,,,,,"TRUE","TRUE",
"res_partner_680","BAPAK RAHMAT","SUPP056","Jl. Cisaranten Wetan RT. 01/04 Soekarno-Hatta Bandung",,"022-7838260",,,"022-7838263",,,"TRUE","TRUE",
"res_partner_690","BAPAK ROSIDIN","SUPP057","Jl. Cikawung Sari RT 08/14 Ciparay, Bandung",,81394182397,,,,,,"TRUE","TRUE",
"res_partner_700","BAPAK SANTOSO","SUPP058",,,,,,,,,"TRUE","TRUE",
"res_partner_710","ANDALAN KEMIKA UTAMA PT","SUPP059","Rukan Garnd Wisata Jl.Celebration Bulevard Blok A.A12 No 8 Tambun Bekasi","Bekasi",,,,,,,"TRUE","TRUE",
"res_partner_720","BAPAK SURYADI LOHANATHA","SUPP060",,,,,,,,,"TRUE","TRUE",
"res_partner_730","BAPAK WIBOWO","SUPP060 USD",,,,,,,,,"TRUE","TRUE",
"res_partner_740","GALIC BINA MADA","SUPP061","Jl. Gajah Mada Jakarta","Jakarta","021-6335808",,,"021-5200730",,,"TRUE","TRUE",
"res_partner_750","BAPAK YUWONO","SUPP062","Jl. Ahmad Yani Bandung",,"08122146576/7501258",,,,,,"TRUE","TRUE",
"res_partner_760","BEEBUCKS","SUPP063","Jl. Halimun No. 36",,,,,,,,"TRUE","TRUE",
"res_partner_770","BENGKEL AHASS","SUPP064","Jl. Ibrahim Adji (Depan Marin)",,,,,,,,"TRUE","TRUE",
"res_partner_780","BENGKEL AUTO 2000","SUPP065","Jl. Soekarno-Hatta",,,,,,,,"TRUE","TRUE",
"res_partner_790","BENGKEL KIARACONDONG","SUPP066","Jl. Trs Kiaracondong",,,,,,,,"TRUE","TRUE",
"res_partner_800","BENGKEL LAS LISTRIK","SUPP067","Jl. Soekarno-Hatta No. 48",,,,,,,,"TRUE","TRUE",
"res_partner_810","BENGKEL MARGACINTA","SUPP068","Jl. Margacinta",,,,,,,,"TRUE","TRUE",
"res_partner_820","BENLINDO SUBUR, CV","SUPP069","Jl. Soka V No. 92 Karang Timur Ciledug Tangerang 15157",,"021-70664632",,,"021-7329286",,,"TRUE","TRUE",
"res_partner_830","BERTINDOMAS CIPTASATYA, PT","SUPP070","Kaw. Industri Mekar Jaya Jl. Karet Jaya KM.7 No. 3 Cadas Tangerang",,"021-59373239/40",,,"021-2159373240",,,"TRUE","TRUE",
"res_partner_840","BHAKTI WIRA HUSADA, PT","SUPP071","Jl. Tebet Utara 1 No. 20 Jakarta",,"021-4758638",,,"021-4711551",,,"TRUE","TRUE",
"res_partner_850","BINA ARTA, PT","SUPP072 USD","Rukan Taman Meruya N-33A Kembangan Jakarta Barat 11620",,"021-5860868",,,"021-5862164",,,"TRUE","TRUE",
"res_partner_860","BINA ELEKTRIK, PT","SUPP073","Jl. Cibadak",,,,,,,,"TRUE","TRUE",
"res_partner_870","BINANGUN BUANA WIGUNA, PT","SUPP074","Jl. Suryo Pranoto Blok B No. 41 Jakarta Pusat",,"021-6314632/6330533",,,"021-6314321 / 021-63851628",,,"TRUE","TRUE",
"res_partner_880","BINONG BARU","SUPP075","Jl. Margacinta No. 54 Bandung",,"022-7566221",,,,,,"TRUE","TRUE",
"res_partner_890","BINTANG LESTARI SEJAHTERA, PT","SUPP076","Jln. Manyar Kertoarjo V/18",,,,,,,,"TRUE","TRUE",
"res_partner_900","BINTANG UTAMA, PD","SUPP077","Jl. ABC/Cikapundung Lt. I Blok HH No. 29 Bandung",,"022-84460493",,,"022-84460580",,,"TRUE","TRUE",
"res_partner_910","BIROTIKA SEMESTA, PT","SUPP078","Jl. Pancoran, Jakarta Selatan",,8001333333,"01.310.774.3-062.000",,,,,"TRUE","TRUE",
"res_partner_920","BIROTIKA SEMESTA, PT","SUPP078 USD","Jl. Pancoran, Jakarta Selatan",,,"01.310.774.3-062.000",,,,,"TRUE","TRUE",
"res_partner_930","KAWAN BARU","SUPP079","Jl. Banceuy No. 120 Bandung","Bandung","022-4230057",,,"022-4220120",,,"TRUE","TRUE",
"res_partner_940","BJ HYPERMART BANGUNAN","SUPP080","Jl. Jend. A. Yani IBCC Blok E1",,,,,,,,"TRUE","TRUE",
"res_partner_950","BOLA MAS, CV","SUPP081","JL. Suniaraja 78-81 Bandung",,"022-230808",,,"022-4231818",,,"TRUE","TRUE",
"res_partner_960","BONDOR INDONESIA, PT","SUPP082","Jl. Olympic Raya Kav. A-32 Sentul-Citeureup 16810",,,,,,,,"TRUE","TRUE",
"res_partner_970","BONDOR INDONESIA, PT.","SUPP082 HKI","Jl. Olympic Raya Kav. A-32 Sentul-Citeureup 16810",,,,,,,,"TRUE","TRUE",
"res_partner_980","BONDOR INDONESIA, PT.","SUPP082 HKU","Jl. Olympic Raya Kav. A-32 Sentul-Citeureup 16810",,,,,,,,"TRUE","TRUE",
"res_partner_990","BONDOR INDONESIA, PT","SUPP082 USD","Jl. Olympic Raya Kav. A-32 Sentul-Citeureup 16810",,"021-8756001","01.869.275.6-055.000",,"021-8756017",,,"TRUE","TRUE",
"res_partner_1000","BONE, CV","SUPP083","Ps. Cikapundung  Lt. 2 Blok S No. 5 Bandung",,"022-84460528/4200295",,,,,,"TRUE","TRUE",
"res_partner_1010","BPK. HAJI BODOGOL","SUPP084","BODOGOL",,,,,,,,"TRUE","TRUE",
"res_partner_1020","JOBS DB INDONESIA PT","SUPP085","Jl.Sultan Iskandar Muda Kav.V-TA Pondok Indah","Jakarta","021-29645588",,,"021-29645599",,,"TRUE","TRUE",
"res_partner_1030","BRATACO, PT","SUPP086","Jln. Ters. Jakarta No. 77 G Bandung",,"022-7210308-09","01.130.689.1-441.000",,"022-7210310","wahyudinfeisal@yahoo.com",,"TRUE","TRUE",
"res_partner_1040","BRATACO,PT.","SUPP086 USD","Jl. Kelenteng No. 14",,,,,,,,"TRUE","TRUE",
"res_partner_1050","MEKAR BARU BAN","SUPP087","Jl. Ir. H.Djuanda Bandung","Bandung","022-4268521",,,,,,"TRUE","TRUE",
"res_partner_1060","PANCA LOGAM, PD","SUPP088","Jl. Jend. Sudirman No. 289 Bandung","Bandung","022-6030859",,,"022-6031812",,,"TRUE","TRUE",
"res_partner_1070","BRENNTAG, PT","SUPP089","Jl. Soekarno-Hatta No. 503 A Bandung",,"022-7315593","01.720.850.5-056.000",,"022-7315594",,,"TRUE","TRUE",
"res_partner_1080","BRENNTAG,PT.","SUPP089 USD","Jl. Soekarno-Hatta No. 503 A Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_1090","TRIMAN,PT.","SUPP090","Jl. Banten No. 6 Bandung","Bandung","022-7273139",,,"022-7218999",,,"TRUE","TRUE",
"res_partner_1100","BRILIAN TEKNIK","SUPP091","Jl. Margacinta No. 31",,,,,,,,"TRUE","TRUE",
"res_partner_1110","BUANA CITRA ABADI, PT","SUPP092","Jl. Ahmad Yani No. 310 Bandung",,"022-7212376",,,"022-7212477",,,"TRUE","TRUE",
"res_partner_1120","BUANA TEHNIK","SUPP093","Pasar Cikapundung",,,,,,,,"TRUE","TRUE",
"res_partner_1130","BUMI PUSPA CEREMAI, PT","SUPP094","Jl. Taman Tanah Abang II/25 Jakarta",,"021-3440725","01.422.126.1-422.000",,"021-3809110",,,"TRUE","TRUE",
"res_partner_1140","CAHAYA BERLIAN, PT","SUPP095","JL. Soekarno Hatta no.168 Bandung",,"022-86061881/86061818",,,"022-6005077",,,"TRUE","TRUE",
"res_partner_1150","CAHAYA KERAMIK","SUPP096","Jl. A. yani No. 298 Bandung",,"022-7238178/79",,,"022-7238187",,,"TRUE","TRUE",
"res_partner_1160","CAHAYA RODA","SUPP097","Jl. Suniaraja No.74",,,,,,,,"TRUE","TRUE",
"res_partner_1170","CAHAYA SETIA MITRA, CV","SUPP098","Pondok Mitra Lestari Blok A7-6 Bekasi",,"021-98289025/8211624","02.510.644.4-432.000",,"021-8211624",,,"TRUE","TRUE",
"res_partner_1180","CAKRAWALA MEGA INDAH, PT","SUPP099","Jl. Durman No. 10 Bandung",,"022-4233943","01.371.060.3-092.000",,"022-4204930",,,"TRUE","TRUE",
"res_partner_1190","CANA PHARMATECH, CV","SUPP100","Jl. Taman Duren Sawit E 414 Jakarta",,"021-8604670",,,"021-8604670",,,"TRUE","TRUE",
"res_partner_1200","CAPITOL","SUPP101","Jl. Cikapundung Baru Los D9 Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_1210","CENTRAL Bandung RAYA","SUPP102","Jl. Supadio",,,,,,,,"TRUE","TRUE",
"res_partner_1220","CENTRAL FILTER GUNATAMA, PT","SUPP103","Graha Raya Bintaro Jaya Blok.G 10/3B Tengerang 15324",,"021-53125942","02.287.355.8-415.000",,"021-53126169",,,"TRUE","TRUE",
"res_partner_1230","CENTRAL SEAL","SUPP104","CEC Lt.1 Blok FF No.17-18",,,,,,,,"TRUE","TRUE",
"res_partner_1240","CENTRAL TEKNIK","SUPP105","Jl. Pungkur 127-A Bandung",,"022-4201518",,,"022-4231685",,,"TRUE","TRUE",
"res_partner_1250","CIB CARGO","SUPP106","Kopomas Regency Blok K No. 7",,,,,,,,"TRUE","TRUE",
"res_partner_1260","CIGONDEWAH","SUPP107","Jl. Cigondewah Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_1270","CINTA WARNA","SUPP108","Jl. Margacinta No. 202 Ciwastra",,"022-7513968",,,,,,"TRUE","TRUE",
"res_partner_1280","CIPTA ANEKA AIR, PT","SUPP109","Pergudangan Prima Centre 2 Jl. Pesing Poglar Blok A/32 Jakarta Barat",,"021-29031034/35","21.064.519.8-047.000",,"021-29031033",,,"TRUE","TRUE",
"res_partner_1290","CIPTA ANEKA AIR, PT.","SUPP109 HKI","Pergudangan Prima Centre 2 Jl. Pesing Poglar Blok A/32 Jakarta Barat",,,,,,,,"TRUE","TRUE",
"res_partner_1300","CIPTA ANEKA AIR, PT","SUPP109 USD","Pergudangan Prima Centre 2, Jl. Pesing Poglar Blok A/3","Jakarta Barat",,,,,,,"TRUE","TRUE",
"res_partner_1310","CIPTA UTAMA","SUPP110","Rajawali Timur No. 48 Bandung",,"022-6037777",,,,,,"TRUE","TRUE",
"res_partner_1320","CIPTA WATER TECH, PT","SUPP111","Pergudangan Prima Centre 2 Jl. Pesing Poglar Blok A/32 Jakarta Barat",,"021-29031034/35",,,"021-29031033",,,"TRUE","TRUE",
"res_partner_1330","CISANGKAN, PT","SUPP112","JL. CIJERAH NO. 107 CARINGIN Bandung KULON Bandung",,,"01.104.370.0-441.000",,,,,"TRUE","TRUE",
"res_partner_1340","CITRA GRAFIKA SEJAHTERA, PT","SUPP113","Jl.Cibatu Raya No.35-Antapani Bandung",,,,,,,,"TRUE","TRUE",
"res_partner_1350","CITRA GRAFIKA, CV","SUPP114","Jl.Cibatu Raya No.35-Antapani Bandung",,"022-7209113",,,"022-7200475",,,"TRUE","TRUE",
"res_partner_1360","CITRA SARI KIMIA","SUPP115","Jl. Gunung Sahari Raya No. 2C",,"021-6596632",,,"021-6255747",,,"TRUE","TRUE",
"res_partner_1370","CITRA SELARAS MANDIRI, PT","SUPP116","Jl. Tanjungsari Raya No. 11 Antapani",,,,,,,,"TRUE","TRUE",
"res_partner_1380","CKE (Industrial Multi Fan)","SUPP117","Komp. Ruko Banceuy Blok B3 Bo. 72 Bandung",,"022-4220373",,,"022-4235605",,,"TRUE","TRUE",
"res_partner_1390","DAKOTA","SUPP118","Jl. Pahlawan Revolusi No. 123",,,,,,,,"TRUE","TRUE",
"res_partner_1400","DAMASES SEJAHTERA, PT","SUPP119","GADING PERMAI AZ 32 RT.005 RW.010 GROGOL,GROGOL SUKOHARJO JAWA TENGAH",,,"02.782.413.5-532.000",,,,,"TRUE","TRUE",
"res_partner_1410","DELTA MEGA ORITAMA, PT","SUPP120","Jl. H.S. Ronggowaluyo Kaumjaya No. 2 RT.10/04 Karawang",,"0267-8457353","02.627.824.2-408.000",,"0267-8457354",,,"TRUE","TRUE",
"res_partner_1420","DEPO BANGUNAN","SUPP121","Jl. Soekarno-Hatta",,,,,,,,"TRUE","TRUE",
"res_partner_1430","DHARMA BANDAR MANDALA, PT","SUPP122","Jl. Soekarno 447 Bandung",,"085624028733/85240187",,,"022-85240186",,,"TRUE","TRUE",
"res_partner_1440","DIAN CIPTA PERKASA, PT","SUPP123","Puri Sentra Niaga Blok B No. 25Jl. Wiraloka Kalimalang Jakarta",,"021-86607760/62","01.553.455.5-007.000",,"021-86607761",,,"TRUE","TRUE",
"res_partner_1450","DIAN CIPTA PERKASA,PT.","SUPP123 USD","Puri Sentra Niaga Blok B No. 25Jl. Wiraloka Kalimalang Jakarta",,,,,,,,"TRUE","TRUE",
"res_partner_1460","Bandung PURI TEKNOLOGI PT","SUPP124","TAMAN KOPO INDAH III NO E 16-186","Bandung","022-88887510",,,"022-88887511",,,"TRUE","TRUE",
"res_partner_1470","DIGITAL AKURASI, PT","SUPP125","Jl. Taman Cibaduyut Indah Ruko No. 17 Bandung",,"022-5409272/5430982","01.860.151.8-032.000",,"022-5430980",,,"TRUE","TRUE",
"res_partner_1480","DILIMAS MANDIRI, PT","SUPP126","Ruko Palem Lestari Blok C/3 Cengkareng Jakarta 11730",,"021-55953666",,,"021-55954888",,,"TRUE","TRUE",
"res_partner_1490","DINAR RAYA SEJAHTERA, CV","SUPP127","Jl. Dr. Soemarno No. 1 Pulogebang Cakung Jakarta Timur 13950",,"021-46345258","02.998.735.1-004.000",,"021-4800154",,,"TRUE","TRUE",
"res_partner_1500","DIONTEK PRIMA ANALISA, PT","SUPP128","Jl. Ampera Raya No. 5 Cilandak Jakarta",,"021-7816804/7816734","02.314.773.9-017.000",,"021-7816734",,,"TRUE","TRUE",
"res_partner_1510","DIONTEK PRIMA ANALISA,PT.","SUPP128 USD","Jl. Ampera Raya No. 5 Cilandak Jakarta",,,,,,,,"TRUE","TRUE",
"res_partner_1520","RIMBA INSANTEK MANDIRI PD","SUPP129",,"Bandung",,,,,,,"TRUE","TRUE",
"res_partner_1530","DIPA PHARMALAB INTERSAINS, PT","SUPP130","Jl. Tanah Abang III No. 25 Jakarta",,"021-3853274",,,"021-5481322",,,"TRUE","TRUE",
"res_partner_1540","DIPA PUSPA LABSAINS, PT","SUPP131","Kom Sumber Sari Indah Jl. Sumber Mekar No. 61 Bandung",,"022-6018250","02.494.212.0-038.000",,"022-6062695",,,"TRUE","TRUE",
"res_partner_1550","DITEK JAYA, PT","SUPP132","Jl. Panjang Kebon Jeruk Jakarta Barat 11520",,"021-5806862",,,"021-5807161",,,"TRUE","TRUE",
"res_partner_1560","DJAMUDJU","SUPP133","Jl. Kopo No. 376 Bandung",,"022-6014920",,,"022-6034043",,,"TRUE","TRUE",
"res_partner_1570","DOS NI ROHA, PT","SUPP134",,,"022-5412453",,,"022-5412454",,,"TRUE","TRUE",
"res_partner_1580","DUMAS CATUR SATUJUAN, PT","SUPP135","Jl. Durimas IV Blok G Duri Kelapa Jakarta 11510",,"021-5652916/5630622","01.904.081.5-039.000",,"021-5652916",,,"TRUE","TRUE",
"res_partner_1590","E.CHUNG MACHINERY(INSAN SURYA)","SUPP136","Jl. Mangga Dua Raya No. 8N",,,,,,,,"TRUE","TRUE",
"res_partner_1600","EKACITA DIAN PERSADA, PT","SUPP137","Perkantoran Buana Soetta Residense No. A-27 Jl. Raya Gedebage Selatan","Bandung","022-87240965","01.776.232.9-038.000",,"022-87241076",,,"TRUE","TRUE",
"res_partner_1610","EKACITA DIAN PERSADA,PT.","SUPP137 USD","Perkantoran Buana Soetta Residence No. A-27 Jl. Raya Gedebage Selatan","Bandung",,,,,,,"TRUE","TRUE",
"res_partner_1620","INTRALAB EKATAMA PT","SUPP138","JL Terapi Raya AD 2 Bumi Menteng Asri Bogor","Bogor","0251-8359110","0251-8311662",,"00251-8315710",,,"TRUE","TRUE",
"res_partner_1630","EKADHARMA INTERNASIONAL, PT","SUPP139","Jl. Singgasana Raya No. 23-25 Komp. Singgasana Bandung",,"022-5436172/73/74","01.360.179.4-054.000",,"022-5436175",,,"TRUE","TRUE",
"res_partner_1640","EMBRIO BIOTEKINDO, PT","SUPP140","Jl. Pajajaran Indah V No. 1/C Baranangsiang, Bogor",,"0251-8377973/8332403","02.091.144.2-404.000",,"0251-8377973",,,"TRUE","TRUE",
"res_partner_1650","ENSEVAL PUTERA MEGATRADING, PT","SUPP141","Jl. Soekarno-Hatta",,,,,,,,"TRUE","TRUE",
"res_partner_1660","ESA DANA, PD","SUPP142","JL. Condet Raya Gg.Asem no.23 Jakarta",,"021-8098646",,,"021-8092893",,,"TRUE","TRUE",
"res_partner_1670","EUTHICA UNGGUL JAYA, PT","SUPP143","Rukan Eksklusif Blok E No. 7 BGM Jakarta Utara",,"021-56946137/56946138","02.747.452.7-047.000",,"021-56946136",,,"TRUE","TRUE",
"res_partner_1680","EUTHICA UNGGUL JAYA PT","SUPP143 USD","Rukan Exslusif Blok E no 7","Jakarta","021-56946137",,,,,,"TRUE","TRUE",
"res_partner_1690","EXPEDISI KALI INTAN","SUPP144","Jl. Kalimas Baru No. 8A",,,,,,,,"TRUE","TRUE",
"res_partner_1700","F & S (PUSAT INFORMASI ALARM)","SUPP145","Jl. Cipaganti No. 36 Bandung",,"022-4208921",,,"022-4237251",,,"TRUE","TRUE",
"res_partner_1710","FADNOV AIR TECH","SUPP146","Jl. Raya Cileunyi 100m",,,,,,,,"TRUE","TRUE",
"res_partner_1720","FAJAR ABADI","SUPP147","Jl. Kopo Jaya No. 5 Bandung",,"022-5417733",,,"022-5400933",,,"TRUE","TRUE",
"res_partner_1730","FAJAR BEARING","SUPP148","Psr. Cikapundung Blok JJ No. 1 Bandung",,"022-84460548",,,,,,"TRUE","TRUE",
"res_partner_1740","FARMARINDO, PT","SUPP149","Jl. Raya Bekasi KM. 24.5 Jakarta Timur",,"021-46821588","02.170.591.8-431.000",,"021-45854966",,,"TRUE","TRUE",
"res_partner_1750","FELTINDO, CV","SUPP150","JL. Tongkol no.6 R Sunda Kelapa Jakarta",,"021-6910038-39",,,"021-6910039",,,"TRUE","TRUE",
"res_partner_1760","FELTINDO, CV","SUPP150 USD","Jl. Tongkol No. 6R Sunda Kelapa","Jakarta",,,,,,,"TRUE","TRUE",
"res_partner_1770","FLUIDA TEKNIKA, PT","SUPP151","Jl. Kebayoran Lama 16 3rd Floor Jakarta 12210",,,,,,,,"TRUE","TRUE",
