"Kode Program","Program","Kode",,"Nama","COA"
3.05,"MELAKSAKAN PENYULUHAN DAN PELATIHAN PADA MASYARAKAT PER PRODI","3.05.04",4,"Pengabdian institut/fakultas/prodi",
4.01,"MELAKSANAKAN USAHA KERJASAMA DENGAN PIHAK LUAR ISTN","4.01.01",1,"Membangun & mengembangkan jejaring via kunjungan ke mitra instritusi, pemerintah, swasta dll",
4.01,"MELAKSANAKAN USAHA KERJASAMA DENGAN PIHAK LUAR ISTN","4.01.02",2,"Pelaksanaan MOU",
4.01,"MELAKSANAKAN USAHA KERJASAMA DENGAN PIHAK LUAR ISTN","4.01.03",3,"Carrier Center",
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI","5.01.01",1,"Penerbitan jurnal scientech",
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI","5.01.02",2,"Penerbitan karya pengabdian",
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI","5.01.03",3,"Penerbitan proceeding/ karya unggulan",
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI","5.01.04",4,"Proses akreditasi jurnal scientech",
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI","5.01.05",5,"Proses portal & web karya ilmih",
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI","5.01.06",6,"Pencetakan company profile",
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI","5.01.07",7,"Pameran Iptek open campus",
5.01,"MELAKSANAKAN PUBLIKASI ILMIAH, PENERBITAN DAN HAKI","5.01.08",8,"Membangun pusat penerbitan ISTN Press",
6.01,"MELAKSANAKAN PENJAMINAN MUTU KEGIATAN BIDANG PENELITIAN, PENGMAS DAN KEWIRAUSAHAAN","6.01.01",1,"Penyusunan revisi format monevin kegiatan penelitian, pengmas, dan kewirausahaan",
6.01,"MELAKSANAKAN PENJAMINAN MUTU KEGIATAN BIDANG PENELITIAN, PENGMAS DAN KEWIRAUSAHAAN","6.01.02",2,"Memantau & pembinaan wirausaha hasil pelatihan",
6.01,"MELAKSANAKAN PENJAMINAN MUTU KEGIATAN BIDANG PENELITIAN, PENGMAS DAN KEWIRAUSAHAAN","6.01.03",3,"Monevin penelitian & pengab. Masyarakat",
6.01,"MELAKSANAKAN PENJAMINAN MUTU KEGIATAN BIDANG PENELITIAN, PENGMAS DAN KEWIRAUSAHAAN","6.01.04",4,"Pelaporan-pelaporan",
7.01,"MELAKSANAKAN PENJAMINAN MUTU PENGELOLAAN MANAJEMEN DAN ADMINISTRASI KEGIATAN LP2M","7.01.01",1,"Pengiriman proposal",
7.01,"MELAKSANAKAN PENJAMINAN MUTU PENGELOLAAN MANAJEMEN DAN ADMINISTRASI KEGIATAN LP2M","7.01.02",2,"Pembayaran iuran forum",
7.01,"MELAKSANAKAN PENJAMINAN MUTU PENGELOLAAN MANAJEMEN DAN ADMINISTRASI KEGIATAN LP2M","7.01.03",3,"Representasi ",
