id,name,description,type,allowed
reason54,P0035,mohon lampirkan klaim perawatan/tindakan,,
reason55,P0036,mohon isi formulir klaim dengan lengkap dan benar,,
reason56,P0037,mohon tanda tangan kasir diatas materai,,
reason57,P0038,mohon hasil pengukuran mata,,
reason58,P0039,mohon usia kehamilan,,
reason59,P0040,mohon lampirkan alamat & telepon dokter,,
reason60,P0041,mohon lampirkan nomor telepon dokter,,
reason61,P0042,mohon nama obat diperjelas,,
reason62,P0043,Mohon surat keterangan co-insurance/ koordinasi manfaat dari Penanggung sebelumnya,,
reason63,P0044,Mohon jenis vaksinasi yang diberikan,,
reason64,P0045,Mohon Nomor Telpon Apotik,,
reason65,P0046,mohon lampirkan hasil pemeriksaan dokter mata,,
reason66,P0047,mohon surat keterangan dokter,,
reason67,P0048,mohon nomor izin praktek dokter,,
reason68,P0049,mohon alamat praktek dokter,,
reason69,P0050,mohon lampirkan rincian pemeriksaan dan copy hasil laboratorium,,
reason70,P0051,mohon isi formulir klaim rawat jalan dengan lengkap & benar,,
reason71,P0052,Masih menunggu informasi dokter yg merawat,,
reason72,P0053,Biaya sudah dibayar oleh pasien,,
reason73,P0054,pengajuan ulang klaim (reklaim),,
reason74,P0055,tunggu info dokter yg merawat,,
reason75,P0056,sedang dalam proses pendaftaran peserta,,
reason76,P0057,sedang dalam proses pembaruan/ renewal polis,,
reason77,P0058,Mohon Nomor Telpon Optik,,
reason78,P0059,mohon legalisir copy kwitansi,,
reason79,P0060,diagnosa tidak dapat dibaca,,
reason80,P0061,Kartu Kadaluarsa / Belum Diganti,,
reason81,R0001,tidak ada manfaat out-patient/ rawat jalan,,
reason82,R0002,tidak ada manfaat dental/ Gigi,,
reason83,R0003,tidak ada manfaat kacamata,,
reason84,R0004,tidak ada manfaat persalinan,,
reason85,R0005,pembelian obat bebas (tanpa resep dokter),,
reason86,R0006,biaya administrasi kartu kredit,,
reason87,R0007,Diagnosa termasuk dalam pengecualian Polis,,
reason88,R0008,bukan termasuk dalam keperluan medis,,
reason89,R0009,Termasuk dalam perawatan pencegahan,,
reason90,R0010,vaksinasi/ imunisasi tidak ditanggung,,
reason91,R0011,kontrasepsi tidak ditanggung,,
reason92,R0012,khitanan tidak ditanggung,,
reason93,R0013,tidak ada indikasi medis untuk rawat inap,,
reason94,R0014,pemeriksaan oleh bidan,,
reason95,R0015,Termasuk dalam kategori manfaat rawat jalan ,,
reason96,R0016,transaksi biaya pengobatan/ perawatan tidak lazim & wajar,,
reason97,R0017,Keterangan diagnosa bukan o/dokter yg merawat,,
reason98,R0018,merubah data kwitansi,,
reason99,R0019,obat tidak sesuai diagnosa,,
reason100,R0020,tidak ada indikasi medis untuk pengobatan/ perawatan,,
reason101,R0021,tidak ada transaksi pembelian,,
reason102,R0022,Perawatan rawat inap bukan di rumah sakit,,
reason103,R0023,pengulangan resep maksimal 3 bulan,,
reason104,R0024,diagnosa tidak sesuai/ berhubungan dengan pasien,,
reason105,R0025,pembelian obat bukan di apotik tidak ditanggung,,
reason106,R0026,pemeriksaan diagnostik/ laboratorium tidak sesuai Diagnosa,,
reason107,R0027,penambahan harga pada kwitansi,,
reason108,R0028,discount obat,,
reason109,R0029,check-up tidak ditanggung,,
reason110,R0030,bukan imunisasi dasar,,
reason111,R0031,Termasuk dalam pengobatan tradisional ,,
reason112,R0032,ramuan/obat-obatan tradisional,,
reason113,R0033,Termasuk dalam obat kosmetik,,
reason114,R0034,Bukan termasuk vaksinasi/ imunisasi dasar,,
reason115,R0035,Duplikat/ penggandaan kwitansi,,
reason116,R0036,Tindakan operasi tidak dilakukan di RS,,
reason117,R0037,Tidak terdapat keluhan sakit (sehat),,
reason118,R0038,gigi palsu tidak ditanggung,,
reason119,R0039,kawat gigi tidak ditanggung,,
reason120,R0040,tambal logam mulia tidak ditanggung,,
reason121,R0041,capping/bridging tidak ditanggung,,
reason122,R0042,crown/sarung gigi tidak ditanggung,,
reason123,R0043,cosmetic on/inlay tidak ditanggung,,
reason124,R0044,vitamin tidak diresepkan oleh dokter yang merawat,,
reason125,R0045,pembelian kacamata dilakukan sebelum pemeriksaan dokter,,
reason126,R0046,Pemeriksaan laboratorium atas permintaan sendiri,,
reason127,R0047,Manfaat klaim tidak ditanggung untuk plan ini ,,
reason128,R0048,Pengobatan/ perawatan masih dalam masa tunggu/pre-existing,,
reason129,R0049,bukan termasuk dalam manfaat pre-hospital (HS13.1),,
reason130,R0050,selisih jumlah kwitansi,,
reason131,R0051,alat bantu kesehatan tidak ditanggung,,
reason132,R0052,test hamil tidak ditanggung,,
reason133,R0053,transaksi bukan untuk ybs/ tertanggung,,
reason134,R0054,kartu pasien tidak ditanggung,,
reason135,R0055,kwitansi yang diajukan adalah fiktif,,
reason136,R0056,lampiran dari kwitansi,,
reason137,R0057,vitamin tidak ditanggung,,
reason138,R0058,Food supplement tidak ditanggung,,
reason139,R0059,Proses dan pembayaran klaim secara ex-gratia,,
reason140,R0060,Beli kacamata bukan di optik,,
reason141,R0061,kontrol post natal > 40 hari,,
reason142,R0062,pengurangan tagihan RS,,
reason143,R0063,pemberian obat berlebihan,,
reason144,R0064,perawatan/ pengobatan yg dilakukan sebelum Tertanggung terdaftar,,
reason145,R0065,perawatan/ pengobatan yg dilakukan sebelum polis berlaku,,
reason146,R0066,Tertanggung tidak terdaftar sebagai peserta,,
reason147,R0067,kepesertaan Tertanggung sudah berakhir,,
reason148,R0068,tidak ada tanggal kwitansi,,
reason149,R0069,pengajuan klaim > 30 hari,,
reason150,R0070,pengajuan klaim > 60 hari,,
reason151,R0071,pengajuan klaim > 90 hari,,
reason152,R0072,pengajuan polis lama berakhir,,
reason153,R0073,Tidak termasuk kategori manfaat HS13  dokter RJ berbeda dengan dokter RI,,
reason154,R0074,tanggal pada kwitansi tidak sesuai,,
reason155,R0075,bukan termasuk dalam kategori obat itter,,
reason156,R0076,nama pasien tidak sesuai dengan kepesertaan Asuransi,,
reason157,R0077,Pengajuan klaim kacamata belum 1 tahun,,
reason158,R0078,Pembelian kacamata pertama harus dengan surat rujukan dr. Sp. Mata,,
reason159,R0079,Transaksi pembelian obat sebelum pemeriksaan dokter,,
reason160,R0080,Termasuk dalam kategoti non medis ,,
reason161,R0081,selisih kamar tidak ditanggung,,
reason162,R0082,"tisu,telpon,dll tidak ditanggung",,
reason163,R0083,diagnosa rawat jalan berbeda diagnosa rawat inap,,
reason164,R0084,obat tidak terdaftar dalam DOI,,
reason165,R0085,Biaya pengobatan sudah dibayar oleh pasien,,
reason166,R0086,Biaya pengobatan sudah ditanggung melalui penjaminan,,
reason167,R0087,Pemeriksaan/ pengobatan maksimum satu kali dalam sehari,,
reason168,R0088,Manfaat obat-obatan rawat jalan sudah habis,,
reason169,R0089,Manfaat post rawat inap sudah habis,,
