id,diagnosis,name,exclusion_f,pre_existing_f,standard_fee
diagnosis46,P29.2,Neonatal hypertension,,,
diagnosis47,P29.3,Persistent fetal circulation,,,
diagnosis48,P29.4,Transient myocardial ischaemia of newborn,,,
diagnosis49,P29.8,Other cardiovascular disorders originating in the perinatal period,,,
diagnosis50,P29.9,"Cardiovascular disorder originating in the perinatal period,unspecified",,,
diagnosis51,P35,CONGENITAL VIRAL DISEASE,,,
diagnosis52,P35.0,CONGENITAL RUBELLA SYNDROME,,,
diagnosis53,P35.1,CONGENITAL CYTOMEGALOVIRUS INFECTION,,,
diagnosis54,P35.2,Congenital herpesviral [herpes simplex] infection,,,
diagnosis55,P35.3,CONGENITAL VIRAL HEPATITIS,,,
diagnosis56,P35.8,OTHER CONGENITAL VIRAL DISEASES,,,
diagnosis57,P35.9,"Congenital viral disease, unspecified",,,
diagnosis58,P10.0,Subdural haemorrhage due to birth injury,,,
diagnosis59,P10.1,Cerebral haemorrhage due to birth injury,,,
diagnosis60,P10.2,Intraventricular haemorrhage due to birth injury,,,
diagnosis61,P10.3,Subarachnoid haemorrhage due to birth injury,,,
diagnosis62,P10.4,Tentorial tear due to birth injury,,,
diagnosis63,P10.8,Other intracranial lacerations and haemorrhages due to birth injury,,,
diagnosis64,P10.9,Unspecified intracranial laceration and haemorrhage due to birthinjury,,,
diagnosis65,P11,Other birth injuries to central nervous system,,,
diagnosis66,P11.0,Cerebral oedema due to birth injury,,,
diagnosis67,P11.1,Other specified brain damage due to birth injury,,,
diagnosis68,P11.2,Unspecified brain damage due to birth injury,,,
diagnosis69,P11.3,Birth injury to facial nerve,,,
diagnosis70,P11.4,Birth injury to other cranial nerves,,,
diagnosis71,P11.5,Birth injury to spine and spinal cord,,,
diagnosis72,P11.9,"Birth injury to central nervous system, unspecified",,,
diagnosis73,P12,Birth injury to scalp,,,
diagnosis74,P12.0,Cephalhaematoma due to birth injury,,,
diagnosis75,P12.1,Chignon due to birth injury,,,
diagnosis76,P12.2,Epicranial subaponeurotic haemorrhage due to birth injury,,,
diagnosis77,P12.3,Bruising of scalp due to birth injury,,,
diagnosis78,P12.4,Monitoring injury of scalp of newborn,,,
diagnosis79,P12.8,Other birth injuries to scalp,,,
diagnosis80,P12.9,"Birth injury to scalp, unspecified",,,
diagnosis81,P13,Birth injury to skeleton,,,
diagnosis82,P13.0,Fracture of skull due to birth injury,,,
diagnosis83,P13.1,Other birth injuries to skull,,,
diagnosis84,P13.2,Birth injury to femur,,,
diagnosis85,P13.3,Birth injury to other long bones,,,
diagnosis86,P13.4,Fracture of clavicle due to birth injury,,,
diagnosis87,P13.8,Birth injuries to other parts of skeleton,,,
diagnosis88,P13.9,"Birth injury to skeleton, unspecified",,,
diagnosis89,P14,Birth injury to peripheral nervous system,,,
diagnosis90,P14.0,Erb's paralysis due to birth injury,,,
diagnosis91,P14.1,Klumpke's paralysis due to birth injury,,,
diagnosis92,P14.2,Phrenic nerve paralysis due to birth injury,,,
diagnosis93,P14.3,Other brachial plexus birth injuries,,,
diagnosis94,P14.8,Birth injuries to other parts of peripheral nervous system,,,
diagnosis95,P14.9,"Birth injury to peripheral nervous system, unspecified",,,
diagnosis96,P15,Other birth injuries,,,
diagnosis97,P15.0,Birth injury to liver,,,
diagnosis98,P15.1,Birth injury to spleen,,,
diagnosis99,P00.0,Fetus and newborn affected by maternal hypertensive disorders,,,
diagnosis100,P00.1,Fetus and newborn affected by maternal renal and urinary tractdiseases,,,
diagnosis101,P00.2,Fetus and newborn affected by maternal infectious and parasiticdiseases,,,
diagnosis102,P00.3,Fetus and newborn affected by other maternal circulatory andrespiratory diseases,,,
diagnosis103,P00.4,Fetus and newborn affected by maternal nutritional disorders,,,
diagnosis104,P00.5,Fetus and newborn affected by maternal injury,,,
diagnosis105,P00.6,Fetus and newborn affected by surgical procedure on mother,,,
diagnosis106,P00.7,"Fetus and newborn affected by other medical procedures on mother,not elsewhere classified",,,
diagnosis107,P00.8,Fetus and newborn affected by other maternal conditions,,,
diagnosis108,P00.9,Fetus and newborn affected by unspecified maternal condition,,,
diagnosis109,P01,Fetus and newborn affected by maternal complications of pregnancy,,,
diagnosis110,P01.0,Fetus and newborn affected by incompetent cervix,,,
diagnosis111,P01.1,Fetus and newborn affected by premature rupture of membranes,,,
diagnosis112,P01.2,Fetus and newborn affected by oligohydramnios,,,
diagnosis113,P01.3,Fetus and newborn affected by polyhydramnios,,,
diagnosis114,P01.4,Fetus and newborn affected by ectopic pregnancy,,,
diagnosis115,P01.5,Fetus and newborn affected by multiple pregnancy,,,
diagnosis116,P01.6,Fetus and newborn affected by maternal death,,,
diagnosis117,P01.7,Fetus and newborn affected by malpresentation before labour,,,
diagnosis118,P01.8,Fetus and newborn affected by other maternal complications ofpregnancy,,,
diagnosis119,P01.9,"Fetus and newborn affected by maternal complication of pregnancy,unspecified",,,
diagnosis120,P02,"Fetus and newborn affected by complications of placenta, cord andmembranes",,,
diagnosis121,P02.0,Fetus and newborn affected by placenta praevia,,,
diagnosis122,P02.1,Fetus and newborn affected by other forms of placental separationand haemorrhage,,,
diagnosis123,P02.2,Fetus and newborn affected by other and unspecified morphologicaland functional abnormalities of pla,,,
diagnosis124,P02.3,Fetus and newborn affected by placental transfusion syndromes,,,
diagnosis125,P02.4,Fetus and newborn affected by prolapsed cord,,,
diagnosis126,P02.5,Fetus and newborn affected by other compression of umbilical cord,,,
diagnosis127,P02.6,Fetus and newborn affected by other and unspecified conditions ofumbilical cord,,,
diagnosis128,P02.7,Fetus and newborn affected by chorioamnionitis,,,
diagnosis129,P02.8,Fetus and newborn affected by other abnormalities of membranes,,,
diagnosis130,P02.9,"Fetus and newborn affected by abnormality of membranes, unspecified",,,
diagnosis131,P03,Fetus and newborn affected by other complications of labour anddelivery,,,
diagnosis132,O87,Venous complications in the puerperium,,,
diagnosis133,O87.0,Superficial thrombophlebitis in the puerperium,,,
diagnosis134,O87.1,Deep phlebothrombosis in the puerperium,,,
diagnosis135,O87.2,Haemorrhoids in the puerperium,,,
diagnosis136,O87.3,Cerebral venous thrombosis in the puerperium,,,
diagnosis137,O87.8,Other venous complications in the puerperium,,,
diagnosis138,O87.9,"Venous complication in the puerperium, unspecified",,,
diagnosis139,O88,Obstetric embolism,,,
diagnosis140,O88.0,Obstetric air embolism,,,
diagnosis141,O88.1,Amniotic fluid embolism,,,
diagnosis142,O88.2,Obstetric blood-clot embolism,,,
diagnosis143,O88.3,Obstetric pyaemic and septic embolism,,,
diagnosis144,O88.8,Other obstetric embolism,,,
diagnosis145,O89,Complications of anaesthesia during the puerperium,,,
diagnosis146,O89.0,Pulmonary complications of anaesthesia during the puerperium,,,
diagnosis147,O89.1,Cardiac complications of anaesthesia during the puerperium,,,
diagnosis148,O89.2,Central nervous system complications of anaesthesia during thepuerperium,,,
diagnosis149,O89.3,Toxic reaction to local anaesthesia during the puerperium,,,
diagnosis150,O89.4,Spinal and epidural anaesthesia-induced headache during thepuerperium,,,
diagnosis151,O89.5,Other complications of spinal and epidural anaesthesia during thepuerperium,,,
diagnosis152,O89.6,Failed or difficult intubation during the puerperium,,,
diagnosis153,O89.8,Other complications of anaesthesia during the puerperium,,,
diagnosis154,O89.9,"Complication of anaesthesia during the puerperium, unspecified",,,
diagnosis155,O90,"Complications of the puerperium, not elsewhere classified",,,
diagnosis156,O90.0,Disruption of caesarean section wound,,,
diagnosis157,O90.1,Disruption of perineal obstetric wound,,,
diagnosis158,O90.2,Haematoma of obstetric wound,,,
diagnosis159,O90.3,Cardiomyopathy in the puerperium,,,
diagnosis160,O90.4,Postpartum acute renal failure,,,
diagnosis161,O90.5,Postpartum thyroiditis,,,
diagnosis162,O90.8,"Other complications of the puerperium, not elsewhere classified",,,
diagnosis163,O90.9,"Complication of the puerperium, unspecified",,,
diagnosis164,O91,Infections of breast associated with childbirth,,,
diagnosis165,O91.0,Infection of nipple associated with childbirth,,,
diagnosis166,O91.1,ABSCESS OF BREAST ASSOCIATED WITH CHILDBIRTH,,,
diagnosis167,O91.2,Nonpurulent mastitis associated with childbirth,,,
diagnosis168,O92,Other disorders of breast and lactation associated with childbirth,,,
diagnosis169,O92.0,Retracted nipple associated with childbirth,,,
diagnosis170,O92.1,Cracked nipple associated with childbirth,,,
diagnosis171,O71.3,Obstetric laceration of cervix,,,
diagnosis172,O71.4,Obstetric high vaginal laceration alone,,,
diagnosis173,O71.5,Other obstetric injury to pelvic organs,,,
diagnosis174,O71.6,Obstetric damage to pelvic joints and ligaments,,,
diagnosis175,O71.7,Obstetric haematoma of pelvis,,,
diagnosis176,O71.8,Other specified obstetric trauma,,,
diagnosis177,O71.9,"Obstetric trauma, unspecified",,,
diagnosis178,O72,POSTPARTUM HAEMORRHAGE,,,
diagnosis179,O72.0,Third-stage haemorrhage,,,
diagnosis180,O72.1,Other immediate postpartum haemorrhage,,,
diagnosis181,O72.2,Delayed and secondary postpartum haemorrhage,,,
diagnosis182,O72.3,Postpartum coagulation defects,,,
diagnosis183,O73,"Retained placenta and membranes, without haemorrhage",,,
diagnosis184,O73.0,RETAINED PLACENTA WITHOUT HAEMORRHAGE,,,
diagnosis185,O73.1,"Retained portions of placenta and membranes, without haemorrhage",,,
diagnosis186,O74,Complications of anaesthesia during labour and delivery,,,
diagnosis187,O74.0,Aspiration pneumonitis due to anaesthesia during labour and delivery,,,
diagnosis188,O74.1,Other pulmonary complications of anaesthesia during labour anddelivery,,,
diagnosis189,O74.2,Cardiac complications of anaesthesia during labour and delivery,,,
diagnosis190,O74.3,Central nervous system complications of anaesthesia during labourand delivery,,,
diagnosis191,O74.4,Toxic reaction to local anaesthesia during labour and delivery,,,
diagnosis192,O74.5,Spinal and epidural anaesthesia-induced headache during labour anddelivery,,,
diagnosis193,O74.6,Other complications of spinal and epidural anaesthesia during labourand delivery,,,
diagnosis194,O74.7,Failed or difficult intubation during labour and delivery,,,
diagnosis195,O74.8,Other complications of anaesthesia during labour and delivery,,,
diagnosis196,O74.9,"Complication of anaesthesia during labour and delivery, unspecified",,,
diagnosis197,O75,"Other complications of labour and delivery, not elsewhere classified",,,
diagnosis198,O75.0,Maternal distress during labour and delivery,,,
diagnosis199,O75.1,Shock during or following labour and delivery,,,
diagnosis200,O75.2,"Pyrexia during labour, not elsewhere classified",,,
diagnosis201,O75.3,Other infection during labour,,,
diagnosis202,O75.4,Other complications of obstetric surgery and procedures,,,
diagnosis203,O75.5,Delayed delivery after artificial rupture of membranes,,,
diagnosis204,O75.6,Delayed delivery after spontaneous or unspecified rupture ofmembranes,,,
diagnosis205,O75.7,Vaginal delivery following previous caesarean section,,,
diagnosis206,O75.8,Other specified complications of labour and delivery,,,
diagnosis207,O75.9,"Complication of labour and delivery, unspecified",,,
diagnosis208,O61.0,Failed medical induction of labour,,,
diagnosis209,O61.1,Failed instrumental induction of labour,,,
diagnosis210,O61.8,Other failed induction of labour,,,
diagnosis211,O61.9,"Failed induction of labour, unspecified",,,
diagnosis212,O62,ABNORMALITIES OF FORCES OF LABOUR,,,
diagnosis213,O62.0,Primary inadequate contractions,,,
diagnosis214,O62.1,Secondary uterine inertia,,,
diagnosis215,O62.2,Other uterine inertia,,,
diagnosis216,O62.3,Precipitate labour,,,
diagnosis217,O62.4,"Hypertonic, incoordinate, and prolonged uterine contractions",,,
diagnosis218,O62.8,Other abnormalities of forces of labour,,,
diagnosis219,O62.9,"Abnormality of forces of labour, unspecified",,,
diagnosis220,O63,LONG LABOUR,,,
diagnosis221,O63.0,Prolonged first stage (of labour),,,
diagnosis222,O63.1,Prolonged second stage (of labour),,,
diagnosis223,O63.2,"Delayed delivery of second twin, triplet, etc.",,,
diagnosis224,O63.9,"Long labour, unspecified",,,
diagnosis225,O64,Obstructed labour due to malposition and malpresentation of fetus,,,
diagnosis226,O64.0,Obstructed labour due to incomplete rotation of fetal head,,,
diagnosis227,O64.1,Obstructed labour due to breech presentation,,,
diagnosis228,O64.2,Obstructed labour due to face presentation,,,
diagnosis229,O64.3,Obstructed labour due to brow presentation,,,
diagnosis230,O64.4,Obstructed labour due to shoulder presentation,,,
diagnosis231,O64.5,Obstructed labour due to compound presentation,,,
diagnosis232,O64.8,Obstructed labour due to other malposition and malpresentation,,,
diagnosis233,O64.9,"Obstructed labour due to malposition and malpresentation,unspecified",,,
diagnosis234,O65,Obstructed labour due to maternal pelvic abnormality,,,
diagnosis235,O65.0,Obstructed labour due to deformed pelvis,,,
diagnosis236,O65.1,Obstructed labour due to generally contracted pelvis,,,
diagnosis237,O65.2,Obstructed labour due to pelvic inlet contraction,,,
diagnosis238,O65.3,Obstructed labour due to pelvic outlet and mid-cavity contraction,,,
diagnosis239,O65.4,"Obstructed labour due to fetopelvic disproportion, unspecified",,,
diagnosis240,O65.5,Obstructed labour due to abnormality of maternal pelvic organs,,,
diagnosis241,O65.8,Obstructed labour due to other maternal pelvic abnormalities,,,
diagnosis242,O65.9,"Obstructed labour due to maternal pelvic abnormality, unspecified",,,
diagnosis243,O66,Other obstructed labour,,,
diagnosis244,O66.0,Obstructed labour due to shoulder dystocia,,,
diagnosis245,O66.1,Obstructed labour due to locked twins,,,
diagnosis246,O66.2,Obstructed labour due to unusually large fetus,,,
diagnosis247,O33.2,Maternal care for disproportion due to inlet contraction of pelvis,,,
diagnosis248,O33.3,Maternal care for disproportion due to outlet contraction of pelvis,,,
diagnosis249,O33.4,Maternal care for disproportion of mixed maternal and fetal origin,,,
diagnosis250,O33.5,Maternal care for disproportion due to unusually large fetus,,,
