"id","default_code","name","seller_ids/product_name","seller_ids/name","uom_id","uom_po_id","categ_id","list_price","route_ids","cost_method","valuation","type","purchase_ok","active","sale_ok","is_header"
"bahan_baku_250","AAT0010301","Amoxicillin Trihydrat Compact, Daewoong Riasima INA","Amoxicillin Trihydrat Compacted","Daewoong Riasima INA","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_260","AAT0010401","Amoxicillin Trihydrat Compact, North China Phar","Amoxicillin Trihydrat Compacted","North China Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_270","AAT0010501","Amoxicillin Trihydrat Compact, CSPC Hebei Zhongrun","Amoxicillin Trihydrat Compacted","CSPC Hebei Zhongrun","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_280","AAT0020101","Amoxicillin Trihydrat Pulv., Zhuhai United Lab.","Amoxicillin Trihydrat Pulverized","Zhuhai United Lab.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_290","AAT0020201","Amoxicillin Trihydrat Pulv., The United Lab.","Amoxicillin Trihydrat Pulverized","The United Lab.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_300","AAT0020301","Amoxicillin Trihydrat Pulv., CSPC Zhongnuo S.","Amoxicillin Trihydrat Pulverized","CSPC Zhongnuo S.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_310","AAT0030101","Ampicillin Trihydrat Compacted, Zhuhai United Lab.","Ampicillin Trihydrat Compacted","Zhuhai United Lab.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_320","AAT0030201","Ampicillin Trihydrat Compacted, CSPC Hebei Zhongrun","Ampicillin Trihydrat Compacted","CSPC Hebei Zhongrun","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_330","AAT0040101","Ampicillin Trihydrat Pulv., Zhuhai United Lab.","Ampicillin Trihydrat Pulverized","Zhuhai United Lab.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_340","ABC0010101","Beta Carotene 10% CWS, Cognis","Beta Carotene 10% CWS","Cognis","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_350","ABC0010201","Beta Carotene 10% CWS, DSM Nutritional P.","Beta Carotene 10% CWS","DSM Nutritional P.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_360","ABE0010101","Bilberry Extract Powder 25%, Shanghai Passiono I.","Bilberry Extract Powder 25%","Shanghai Passiono I.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_370","ABO0010101","Borage Oil, Oil Seed Extractions","Starflower Oil","Oil Seed Extractions","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_380","ABH0010101","Bromhexine HCl, Wenling Tongda Fine","Bromhexine HCl","Wenling Tongda Fine","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_390","ABH0010201","Bromhexine HCl, Zhejiang Wanbang","Bromhexine HCl","Zhejiang Wanbang","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_400","ACA0010101","Cortisone Acetate, Sanofi Aventis","Cortisone Acetate","Sanofi Aventis","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_410","ACB0010101","Chloramphenicol Base, Wuhan Wuyao Phar","Chloramphenicol Base","Wuhan Wuyao Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_420","ACB0010201","Chloramphenicol Base, Nanjing Baijingyu P.","Chloramphenicol Base","Nanjing Baijingyu P.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_430","ACC0010101","Calcium Chloride, Merck kgaA","Calcium Chloride No. Cat 1.02382","Merck kgaA","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_440","ACG0010101","Calcium Gluconate, Purac Biochem bv","Gluconal CAM-P-IN-EP","Purac Biochem bv","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_450","ACH0010101","Chlorpromazine HCl, Changzhou Nanjing","Chlorpromazine HCl","Changzhou Nanjing","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_460","ACH0020101","Clindamycin HCl, Zhejiang Hisoar Phar","Clindamycin HCl","Zhejiang Hisoar Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_470","ACL0010101","Calcium Lactate, Wuhan Sanjiang S.G.B","Calcium Lactate","Wuhan Sanjiang S.G.B","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_480","ACL0020101","Ciprofloxacin Lactate, Aldamex","Ciprofloxacin Laktate","Aldamex","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_490","ACM0010101","Chlorpheniramine Maleat, Supriya Lifescience","Chlorpheniramine Maleate","Supriya Lifescience","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_500","ACM0010201","Chlorpheniramine Maleat, Venkatarama Chemical","Chlorpheniramine Maleate","Venkatarama Chemical","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_510","ACD0010101","Curcuminoid Domestica, Phytochemindo Reksa","Curcuma Domestica C20","Phytochemindo Reksa","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_520","ACX0010101","Curcuminoid Xanthorrhiza, Phytochemindo Reksa","Curcuma Xanthorrhiza","Phytochemindo Reksa","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_530","ACP0010101","Calcium Pantothenate, Xinfa Pharmaceutical","Calsium pantotenat","Xinfa Pharmaceutical","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_540","ACP0020101","Chloramphenicol Palmitate, Mehta Api Pvt.Ltd","Chloramphenicol palmitate Micronized","Mehta Api Pvt.Ltd","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_550","ACP0020201","Chloramphenicol Palmitate, Mehta Phar Ind.","Chloramphenicol palmitate Micronized","Mehta Phar Ind.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_560","ACR0010101","Cresol, Brataco/ Lokal","Creolin 300%/ Desinfektan C 300","Brataco/ Lokal","Liter(s)","Liter(s)","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_570","ACS0010101","Citicoline Sodium, Kyowa Hakko Kogyo","Citicoline Monosodium Salt","Kyowa Hakko Kogyo","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_580","ACY0010101","Cyanocobalamin, North China Phar V.","Cyanocobalamin/ Vitamin B12","North China Phar V.","g","g","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_590","ACY0010201","Cyanocobalamin, Wockhardt Limited","Cyanocobalamin/ Vitamin B13","Wockhardt Limited","g","g","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_600","ADE0010101","Dexpanthenol, Dai-ichi Fine Chem","Dexpanthenol","Dai-ichi Fine Chem","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_610","ADH0010101","Diphenhydramine HCl (oral), Supriya Lifescience","Diphenhydramine HCl (sediaan oral)","Supriya Lifescience","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_620","ADH0010201","Diphenhydramine HCl (oral), Beijing Taiyang Phar","Diphenhydramine HCl (sediaan oral)","Beijing Taiyang Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_630","ADH0020101","Diphenhydramine HCl (injeksi), Recordati","Diphenhydramine HCl (sediaan injeksi)","Recordati","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_640","ADH0030101","Dobutamine HCI, B.T. Gen S.A.","Dobutamine HCl","B.T. Gen S.A.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_650","ADH0030201","Dobutamine HCI, Cater Chem Gmbh","Dobutamine HCl","Cater Chem Gmbh","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_660","ADH0030301","Dobutamine HCI, Andenex-Chemie","Dobutamine HCl","Andenex-Chemie","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_670","ADH0030401","Dobutamine HCI, Baselux S.A.","Dobutamine HCl","Baselux S.A.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_680","ADH0040101","Dopamine HCl, Andenex-Chemie","Dopamine HCl","Andenex-Chemie","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_690","ADH0050101","Dextromethorphan HBr, Divi's Laboratories","Dextromethorphan HBr","Divi's Laboratories","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_700","ADH0050201","Dextromethorphan HBr, Wockhardt Limited","Dextromethorphan HBr","Wockhardt Limited","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_710","ADS0010101","Dexamethasone Sodium Phosphate, Andenex-Chemie","Dexamethasone Sodium Phosphate","Andenex-Chemie","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_720","ADS0010201","Dexamethasone Sodium Phosphate, Pharmacia & Up John","Dexamethasone Sodium Phosphate","Pharmacia & Up John","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_730","AEB0010101","Epinephrine Bitartrate, Industrie Chinichie","Epinephrine Bitartrate","Industrie Chinichie","g","g","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_740","AEE0010101","Erythromycin Ethylsuccinate, Calyx Chemical Phar","Erythromycin Ethylsuccinate","Calyx Chemical Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_750","AEL0010101","Ethacridine Lactate, Liaoyuan Silver E.","Ethacridine Lactate/ Rivanol","Liaoyuan Silver E.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_760","AES0010101","Erythromycin Stearate, Halcyon Labs pvt.","Erythromycin stearate","Halcyon Labs pvt.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_770","AES0010201","Erythromycin Stearate, Linaria Chemicals","Erythromycin stearate","Linaria Chemicals","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_780","AES0010301","Erythromycin Stearate, Calyx Chemical Phar","Erythromycin stearate","Calyx Chemical Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_790","AES0010401","Erythromycin Stearate, SM Biomed","Erythromycin stearate","SM Biomed","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_800","AES0010501","Erythromycin Stearate, Anuh Pharma LTD","Erythromycin stearate","Anuh Pharma LTD","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_810","AET0010101","Ethylenediamine, Merck kgaA","Ethylendiamine No. Cat 8.00947","Merck kgaA","Liter(s)","Liter(s)","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_820","AFO0010101","Fish Oil, LYSI","Omega -3 Acids","LYSI","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_830","AFU0010101","Furosemide, Ipca Laboratories","Furosemide","Ipca Laboratories","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_840","AGU0010101","Guaifenesin, Stellar Chem Lab Pvt","Glyceryl Guaikolate/ Guaifenesin","Stellar Chem Lab Pvt","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_850","AGU0010201","Guaifenesin, Zhejiang Jiangfeng H","Glyceryl Guaikolate/ Guaifenesin","Zhejiang Jiangfeng H","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_860","AGU0010301","Guaifenesin, Sinochem","Glyceryl Guaikolate/ Guaifenesin","Sinochem","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_870","AGS0010101","Glycyrrhizae Succus Block 21%, Ahui Technology","Licorice Extract Block 21%","Ahui Technology","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_880","AGS0010201","Glycyrrhizae Succus Block 21%, Warner","Licorice Extract Block 21%","Warner","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_890","AGS0020101","Glycyrrhizae Succus Liqiud, Mafco Worldwide Corp","3XP362 Semifluid","Mafco Worldwide Corp","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_900","AIN0010101","Inositol, Zhucheng Haotian P.","Inositol","Zhucheng Haotian P.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_910","AIN0010201","Inositol, Zhaoxian Yalong I.","Inositol","Zhaoxian Yalong I.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_920","AIN0010301","Inositol, Zhejiang Xianju","Inositol","Zhejiang Xianju","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_930","AKA0010101","Kaolin JP-100, Takehara Kagayu K.","Kaolin JP-100","Takehara Kagayu K.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_940","AKH0010101","Ketamine HCl, CU Chemie Uetikon","Ketamine HCl","CU Chemie Uetikon","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_950","ALG0010101","L-Glutamine, Shanghai Passiono I.","L-Glutamine Fermented","Shanghai Passiono I.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_960","ALH0010101","Lidocaine HCl, Mega Fine Pharma (p)","Lidocaine HCl","Mega Fine Pharma (p)","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_970","ALH0020101","Lysine HCl, Zhangjiagang S. B.","L- Lysine HCl","Zhangjiagang S. B.","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_980","ALH0020201","Lysine HCl, Jizhoucity Huayang C","L- Lysine HCl","Jizhoucity Huayang C","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_990","ALP0010101","Lecithine (L), Novastell","Non GM Soyabean lecithin-powder","Novastell","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1000","ALP0020101","Lecithine (S), Lipoid","Soluthin MD","Lipoid","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1010","ALP0030101","Lecithine (E), Cargill Bio-Chemical","Epikuron 100 G","Cargill Bio-Chemical","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1020","AMA0010101","Mefenamic Acid, Zhejiang Qiming Phar","Mefenamic Acid Powder","Zhejiang Qiming Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1030","AMA0010201","Mefenamic Acid, Baoji Tianxin Phar","Mefenamic Acid Powder","Baoji Tianxin Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1040","AME0010101","Metronidazole, Wuhan Wuyao Phar","Metronidazole","Wuhan Wuyao Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1050","AME0010201","Metronidazole, Aldamex","Metronidazole","Aldamex","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1060","AMH0010101","Magnesium Hydroxide, Taurus Chemical (p)","Magnesium Hydroxide (Micronised)","Taurus Chemical (p)","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1070","AMH0010201","Magnesium Hydroxide, iL-Yang Pharma","Magnesium Hydroxide (Powder)","iL-Yang Pharma","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1080","AMH0010301","Magnesium Hydroxide, Konoshima","Magnesium Hydroxide (Light)","Konoshima","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1090","AMM0010101","Methylergometrine Maleate, Teva Czech Industrie","Methylergometrine Maleate","Teva Czech Industrie","g","g","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1100","AMS0010101","Menadione Sod Bisulfit(Vit K3), Andenex-Chemie","Menadione Sodium Bisulfite (Vit K3)","Andenex-Chemie","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1110","AMS0020101","Metamizole Sodium, Shandong Xinhua Phar","Metamizole Sodium/ Antalgin/ Metapirone","Shandong Xinhua Phar","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1120","AMT0010101","Magnesium Trisilicate, iL-Yang Pharma","Magnesium Trisilikat","iL-Yang Pharma","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
"bahan_baku_1130","AMT0010201","Magnesium Trisilicate, Tomita Pharm","Magnesium Trisilikat","Tomita Pharm","kg","kg","Bahan Awal Aktif",0,"Buy","Average Price","Periodical (manual)","Stockable Product","TRUE","TRUE","FALSE","FALSE"
