"id","name","year","forecast_detail_ids/product_id","forecast_detail_ids/product_uom","forecast_detail_ids/m1","forecast_detail_ids/m2","forecast_detail_ids/m3","forecast_detail_ids/m4","forecast_detail_ids/m5","forecast_detail_ids/m6","forecast_detail_ids/m7","forecast_detail_ids/m8","forecast_detail_ids/m9","forecast_detail_ids/m10","forecast_detail_ids/m11","forecast_detail_ids/m12"
,,,"Camivita Syrup 60 ml","Botol",,,,,,,,,,,,
,,,"Camivita Syrup 120 ml","Botol",,,,,,,,,,,,
,,,"Casetamol 60 ml","Botol",,,,,,,,,,,,
,,,"Chlorampenicol 60 ml","Botol",,,,,,,,,,,,
,,,"Cotrimoksazole 60 ml","Botol",,,,,,,,,,,,
,,,"Daganak 100 ml","Botol",,,,,,,,,,,,
,,,"Dextromethorphan 60 ml","Botol",,,,,,,,,,,,
,,,"Kosaka 60 ml","Botol",,,,,,,,,,,,
,,,"OBH 100 ml","Botol",,,,,,,,,,,,
,,,"OBH 100 ml TD","Botol",,,,,,,,,,,,
,,,"OBH 100 ml Gepeng","Botol",,,,,,,,,,,,
,,,"OBH 100 ml Export","Botol",,,,,,,,,,,,
,,,"Paracetamol 60 ml","Botol",,,,,,,,,,,,
,,,"Sanmino 120 ml","Botol",,,,,,,,,,,,
,,,"Alkohol 70% 100 ml","Botol",,,,,,,,,,,,
,,,"Alkohol 70% 1 L","Botol",,,,,,,,,,,,
,,,"Cayodine 30 ml","Botol",,,,,,,,,,,,
,,,"Cayodine 30 ml TD","Botol",,,,,,,,,,,,
,,,"Cayodine 60 ml","Botol",,,,,,,,,,,,
,,,"Cayodine 60 ml TD","Botol",,,,,,,,,,,,
,,,"Cayodine 1 L","Botol",,,,,,,,,,,,
,,,"Glyserol 100 ml","Botol",,,,,,,,,,,,
,,,"Phenol Glycerol 5 ml","Botol",,,,,,,,,,,,
,,,"Povidone iodine 30 ml","Botol",,,,,,,,,,,,
,,,"Povidone iodine 300 ml","Botol",,,,,,,,,,,,
,,,"Povidone iodine 1 L","Botol",,,,,,,,,,,,
,,,"Rivanol 300 ml","Botol",,,,,,,,,,,,
,,,"Rivanol 100 ml","Botol",,,,,,,,,,,,
,,,"Lysol 1 L","Botol",,,,,,,,,,,,
,,,"Camicetine 250 mg Strip","Kpsul",,,,,,,,,,,,
,,,"Camicetine 500 mg Strip","Kpsul",,,,,,,,,,,,
,,,"Camicyclin 250 mg Strip","Kpsul",,,,,,,,,,,,
,,,"Camicyclin 500 mg Strip","Kpsul",,,,,,,,,,,,
,,,"Camitrosin 250 mg Strip","Kpsul",,,,,,,,,,,,
,,,"Chlorampenicol 250 mg Pot 1000","Kpsul",,,,,,,,,,,,
,,,"Chlorampenicol 250 mg Strip 12","Kpsul",,,,,,,,,,,,
,,,"Erythromycin 250 mg Strip","Kpsul",,,,,,,,,,,,
,,,"Heparsan Pot 30","Kpsul",,,,,,,,,,,,
,,,"Oximak Pot 30","Kpsul",,,,,,,,,,,,
,,,"Phenytoin 100 mg Pot 100","Kpsul",,,,,,,,,,,,
,,,"Phenytoin 100 mg Pot 250","Kpsul",,,,,,,,,,,,
,,,"Phenytoin 30 mg Pot 100","Kpsul",,,,,,,,,,,,
,,,"Phenytoin 30 mg Pot 250","Kpsul",,,,,,,,,,,,
,,,"Tetracycline 250 mg Pot 1000","Kpsul",,,,,,,,,,,,
,,,"Zentropil 30 mg Pot 250","Kpsul",,,,,,,,,,,,
,,,"Aminophylline  10 ml @ 30","Ampul",,,,,,,,,,,,
,,,"Antalgin 250 mg 10 ml","Vial",,,,,,,,,,,,
,,,"Antalgin 250 mg/ml 2 ml @ 30","Vial",,,,,,,,,,,,
,,,"Calcii chlorid  10 ml Ampul","Ampul",,,,,,,,,,,,
,,,"Camidexon 5 mg/ml 1 ml Ampul","Ampul",,,,,,,,,,,,
,,,"Camidon 15 ml","Vial",,,,,,,,,,,,
,,,"Camidon 10 ml","Vial",,,,,,,,,,,,
,,,"Camidryl 10 mg/ml 15 ml","Vial",,,,,,,,,,,,
,,,"Camidryl 10 mg/ml 10 ml","Vial",,,,,,,,,,,,
,,,"Camigesik 50 mg/ml 2 ml","Ampul",,,,,,,,,,,,
,,,"Chlorpromazine 5 mg/ml 2 ml","Ampul",,,,,,,,,,,,
,,,"Chlorpromazine 25 mg/ml 1 ml","Ampul",,,,,,,,,,,,
,,,"Cholimed 125 mg/ml 2 ml","Ampul",,,,,,,,,,,,
,,,"Dexamethasone 5 mg/ml 1 ml","Ampul",,,,,,,,,,,,
,,,"Diphenhydramine 10 mg/ml 1 ml","Ampul",,,,,,,,,,,,
,,,"Dobutamine 25 mg/ml 10 ml","Vial",,,,,,,,,,,,
,,,"Glomethyl 0,2 mg/ml 1 ml","Ampul",,,,,,,,,,,,
,,,"Glomin 40 mg/ml 5 ml","Ampul",,,,,,,,,,,,
,,,"Lidocain compositum 2 ml","Ampul",,,,,,,,,,,,
,,,"Lidocaine 2% 2 ml","Ampul",,,,,,,,,,,,
,,,"Lunex 50 mg/ml 5 ml","Ampul",,,,,,,,,,,,
,,,"Lunex 100mg/ml 5 ml","Ampul",,,,,,,,,,,,
,,,"Methylergometrine 0,2mg/ml 1ml","Ampul",,,,,,,,,,,,
,,,"Papaverin 40 mg/ml 10 ml","Vial",,,,,,,,,,,,
,,,"Papaverin 40 mg/ml 1 ml","Ampul",,,,,,,,,,,,
,,,"Vitamin B complex 10 ml","Vial",,,,,,,,,,,,
,,,"Vitamin B complex 20 ml","Vial",,,,,,,,,,,,
,,,"Vitamin B12 500mcg/ml 1 ml","Ampul",,,,,,,,,,,,
,,,"Vitamin B12 500 mcg/ml 10 ml","Vial",,,,,,,,,,,,
,,,"Vitamin K 10 mg/ml 1 ml","Ampul",,,,,,,,,,,,
,,,"Amoxicillin 250 mg Strip 12","Kpsul",,,,,,,,,,,,
,,,"Ampicillin 250 mg Strip","Kpsul",,,,,,,,,,,,
,,,"Camicillin 250 mg Strip","Kpsul",,,,,,,,,,,,
,,,"Camoksil 250 mg Strip","Kpsul",,,,,,,,,,,,
,,,"Camoksil 500 mg Blister Export","Kpsul",,,,,,,,,,,,
,,,"Camoksil 500 mg Strip","Kplet",,,,,,,,,,,,
,,,"Camaag Strip","Table",,,,,,,,,,,,
,,,"Camistan 500 mg Strip","Kplet",,,,,,,,,,,,
,,,"Zentropil 100 mg Blister","Kpsul",,,,,,,,,,,,
,,,"Zentropil 100 mg Pot 250","Kpsul",,,,,,,,,,,,
