"id","routing_id","sequence","name","cycle_nbr","hour_nbr","workcenter_id"
"wc_line_700","Soft Capsule",60,"Drying & Polishing",1,1,"Drying"
"wc_line_710","Soft Capsule",70,"Counting",1,1,"Counting"
"wc_line_730","Soft Capsule",80,"Codding",1,1,"Codding"
"wc_line_740","Soft Capsule",90,"Labelling & Packing",1,1,"Labelling&Packing"
"wc_line_750","Kapsul",5,"Cuci Botol",1,1,"Cuci Botol"
"wc_line_760","Kapsul",10,"Pengeringan",1,1,"Oven"
"wc_line_770","Kapsul",20,"Penimbangan",1,1,"Scale"
"wc_line_780","Kapsul",30,"Mixing",1,1,"Mixer"
"wc_line_790","Kapsul",40,"Uji QC",1,1,"QC"
"wc_line_800","Kapsul",50,"Filling",1,1,"Mesin Filling"
"wc_line_810","Kapsul",60,"Sortir",1,1,"QC"
"wc_line_820","Kapsul",70,"Strip/Blist",1,1,"Strip/Blist"
"wc_line_830","Kapsul",80,"Codding",1,1,"Codding"
"wc_line_831","Kapsul",80,"Labelling",1,1,"Labelling"
"wc_line_832","Kapsul",80,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_840","Kapsul",80,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_850","Kapsul",90,"Packing",1,1,"Packing"
"wc_line_860","Kaplet/Tablet",5,"Pengeringan",1,1,"Oven"
"wc_line_870","Kaplet/Tablet",10,"Penimbangan",1,1,"Scale"
"wc_line_880","Kaplet/Tablet",20,"Mixing",1,1,"Mixer"
"wc_line_890","Kaplet/Tablet",30,"Uji QC",1,1,"QC"
"wc_line_900","Kaplet/Tablet",40,"Cetak",1,1,"Mesin Cetak"
"wc_line_910","Kaplet/Tablet",50,"Uji QC",1,1,"QC"
"wc_line_920","Kaplet/Tablet",60,"Stripping/Blistering",1,1,"Stripping/Blistering"
"wc_line_930","Kaplet/Tablet",70,"Codding",1,1,"Codding"
"wc_line_940","Kaplet/Tablet",70,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_950","Kaplet/Tablet",70,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_960","Kaplet/Tablet",80,"Packing",1,1,"Packing"
"wc_line_970","Dry Syrup Pakai Dus",5,"Pengeringan",1,1,"Oven"
"wc_line_980","Dry Syrup Pakai Dus",10,"Penimbangan",1,1,"Scale"
"wc_line_990","Dry Syrup Pakai Dus",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_1000","Dry Syrup Pakai Dus",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_1010","Dry Syrup Pakai Dus",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_1020","Dry Syrup Pakai Dus",20,"Mixing",1,1,"Mixer"
"wc_line_1030","Dry Syrup Pakai Dus",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_1040","Dry Syrup Pakai Dus",30,"QC",1,1,"QC"
"wc_line_1050","Dry Syrup Pakai Dus",40,"Filling & Capping",1,1,"Mesin Filling & Capping"
"wc_line_1060","Dry Syrup Pakai Dus",50,"Labelling",1,1,"Labelling"
"wc_line_1070","Dry Syrup Pakai Dus",60,"Packing (Folding Box)",1,1,"Packing F.Box"
"wc_line_1080","Dry Syrup Pakai Dus",70,"Packing (Master Box)",1,1,"Packing M.Box"
"wc_line_1090","Dry Syrup Tanpa Dus",5,"Pengeringan",1,1,"Oven"
"wc_line_1100","Dry Syrup Tanpa Dus",10,"Penimbangan",1,1,"Scale"
"wc_line_1110","Dry Syrup Tanpa Dus",10,"Kemas Primer/Bilas",1,1,"Mesin Bilas"
"wc_line_1120","Dry Syrup Tanpa Dus",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_1130","Dry Syrup Tanpa Dus",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_1140","Dry Syrup Tanpa Dus",20,"Mixing",1,1,"Mixer"
"wc_line_1150","Dry Syrup Tanpa Dus",20,"Kemas Primer/Pengeringan",1,1,"Mesin Pengeringan"
"wc_line_1160","Dry Syrup Tanpa Dus",30,"QC",1,1,"QC"
"wc_line_1170","Dry Syrup Tanpa Dus",40,"Filling & Capping",1,1,"Mesin Filling & Capping"
"wc_line_1180","Dry Syrup Tanpa Dus",50,"Labelling",1,1,"Labelling"
"wc_line_1190","Dry Syrup Tanpa Dus",60,"Packing (Master Box)",1,1,"Packing M.Box"
"wc_line_1220","Larutan",10,"Penimbangan",1,1,"Scale"
"wc_line_1240","Larutan",10,"Bilas",1,1,"Mesin Bilas"
"wc_line_1200","Larutan",20,"Mixing",1,1,"Mixer"
"wc_line_1210","Larutan",30,"Filling & Capping",1,1,"Mesin Filling & Capping"
"wc_line_1250","Larutan",40,"Codding Botol",1,1,"Codding"
"wc_line_1270","Larutan",40,"Codding Etiket",1,1,"Codding"
"wc_line_1280","Larutan",50,"Labelling & Packing",1,1,"Labelling&Packing"
"wc_line_1290","Injeksi",5,"Cuci Ampul/Vial",1,1,"Cuci Ampul"
"wc_line_1300","Injeksi",10,"Sterillisasi Ampul/Vial",1,1,"Sterillisasi"
"wc_line_1310","Injeksi",10,"Sterillisasi Baju & Peralatan",1,1,"Sterillisasi"
"wc_line_1320","Injeksi",10,"Penimbangan",1,1,"Scale"
"wc_line_1330","Injeksi",10,"Bilas",1,1,"Mesin Bilas"
"wc_line_1340","Injeksi",10,"Kemas Sekunder/Codding",1,1,"Codding"
"wc_line_1350","Injeksi",10,"Kemas Tersier/Codding",1,1,"Codding"
"wc_line_1360","Injeksi",20,"Mixing",1,1,"Mixer"
"wc_line_1370","Injeksi",30,"Sterillisasi Produk",1,1,"Sterillisasi"
"wc_line_1380","Injeksi",40,"Integrity Test",1,1,"Integrity Test"
"wc_line_1390","Injeksi",50,"Filtrasi",1,1,"Filtrasi"
"wc_line_1400","Injeksi",60,"QC",1,1,"QC"
"wc_line_1410","Injeksi",70,"Filling",1,1,"Mesin Filling"
"wc_line_1420","Injeksi",80,"Visual",1,1,"Visual"
"wc_line_1430","Injeksi",90,"Printing Ampul",1,1,"Printing"
"wc_line_1440","Injeksi",100,"Labelling",1,1,"Labelling"
"wc_line_1450","Injeksi",110,"Packing",1,1,"Packing"
