id,diagnosis,name,description,description_1,exclusion_f,pre_existing_f,standard_fee,standard_treatment_day,diagnosis_map,poly,last_opr,allowed_f,last_update
diagnosis62,A08,VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS,VIRAL AND OTHER SPECIFIED INTESTINAL INFECTIONS,,0,0,,,0108,,,1,
diagnosis63,A08.0,Rotaviral enteritis,Rotaviral enteritis,,0,0,0,0,01080,,,1,
diagnosis64,A08.1,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,,0,0,0,0,01081,,,1,
diagnosis65,A08.2,Adenoviral enteritis,Adenoviral enteritis,,0,0,0,0,01082,,,1,
diagnosis66,A08.3,OTHER VIRAL ENTERITIS,OTHER VIRAL ENTERITIS,,0,0,,,01083,,,1,
diagnosis67,A08.4,VIRAL INTESTINAL INFECTION- UNSPECIFIED ,VIRAL INTESTINAL INFECTION- UNSPECIFIED ,,0,0,,,01084,,,1,
diagnosis68,A08.5,Other specified intestinal infections,Other specified intestinal infections,,0,0,0,0,01085,,,1,
diagnosis69,A09,DIARRHOEA AND GASTROENTERITIS OF PRESUMED INFECTIOUS ORIGIN,DIARRHOEA AND GASTROENTERITIS OF PRESUMED INFECTIOUS ORIGIN,,0,0,,,0109,,,1,
diagnosis70,A15,RESPIRATORY TUBERCULOSIS- BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED,RESPIRATORY TUBERCULOSIS- BACTERIOLOGICALLY AND HISTOLOGICALLY CONFIRMED,,0,0,,,0115,,,1,
diagnosis71,A15.0,TUBERCULOSIS OF LUNG- CONFIRMED BY SPUTUM MICROSCOPY WITH OR WITHOUT CULTURE,TUBERCULOSIS OF LUNG- CONFIRMED BY SPUTUM MICROSCOPY WITH OR WITHOUT CULTURE,,0,0,,,01150,,,1,
diagnosis72,A15.1,"Tuberculosis of lung, confirmed by culture only","Tuberculosis of lung, confirmed by culture only",,0,0,0,0,01151,,,1,
diagnosis73,A15.2,"Tuberculosis of lung, confirmed histologically","Tuberculosis of lung, confirmed histologically",,0,0,0,0,01152,,,1,
diagnosis74,A15.3,"Tuberculosis of lung, confirmed by unspecified means","Tuberculosis of lung, confirmed by unspecified means",,0,0,0,0,01153,,,1,
diagnosis75,A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmedbacteriologically and histologically","Tuberculosis of intrathoracic lymph nodes, confirmedbacteriologically and histologically",,0,0,0,0,01154,,,1,
diagnosis76,A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmedbacteriologically and histologically","Tuberculosis of larynx, trachea and bronchus, confirmedbacteriologically and histologically",,0,0,0,0,01155,,,1,
diagnosis77,A15.6,"Tuberculous pleurisy, confirmed bacteriologically andhistologically","Tuberculous pleurisy, confirmed bacteriologically andhistologically",,0,0,0,0,01156,,,1,
diagnosis78,A15.7,"Primary respiratory tuberculosis, confirmedbacteriologically and histologically","Primary respiratory tuberculosis, confirmedbacteriologically and histologically",,0,0,0,0,01157,,,1,
diagnosis79,A15.8,"OTHER RESPIRATORY TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY","OTHER RESPIRATORY TUBERCULOSIS, CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY",,0,0,,,01158,,,1,
diagnosis80,A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologicallyand histologically","Respiratory tuberculosis unspecified, confirmed bacteriologicallyand histologically",,0,0,0,0,01159,,,1,
diagnosis81,A16,RESPIRATORY TUBERCULOSIS NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY,RESPIRATORY TUBERCULOSIS NOT CONFIRMED BACTERIOLOGICALLY OR HISTOLOGICALLY,,0,0,,,0116,,,1,
diagnosis82,A16.0,"Tuberculosis of lung, bacteriologically and histologically negative","Tuberculosis of lung, bacteriologically and histologically negative",,0,0,0,0,01160,,,1,
diagnosis83,A16.1,"Tuberculosis of lung, bacteriological and histological examinationnot done","Tuberculosis of lung, bacteriological and histological examinationnot done",,0,0,0,0,01161,,,1,
diagnosis84,A16.2,"Tuberculosis of lung, without mention of bacteriologicalor histological confirmation","Tuberculosis of lung, without mention of bacteriologicalor histological confirmation",,0,0,0,0,01162,,,1,
diagnosis85,A16.3,"Tuberculosis of intrathoracic lymph nodes, without mentionof bacteriological or histological confirm","Tuberculosis of intrathoracic lymph nodes, without mentionof bacteriological or histological confirm",,0,0,0,0,01163,,,1,
diagnosis86,A16.4,"Tuberculosis of larynx, trachea and bronchus, withoutmention of bacteriological or histological conf","Tuberculosis of larynx, trachea and bronchus, withoutmention of bacteriological or histological conf",,0,0,0,0,01164,,,1,
diagnosis87,A16.5,"Tuberculous pleurisy, without mention of bacteriologicalor histological confirmation","Tuberculous pleurisy, without mention of bacteriologicalor histological confirmation",,0,0,0,0,01165,,,1,
diagnosis88,A16.7,Primary respiratory tuberculosis without mention of bacteriologicalor histological confirmation,Primary respiratory tuberculosis without mention of bacteriologicalor histological confirmation,,0,0,0,0,01167,,,1,
diagnosis89,A16.8,"Other respiratory tuberculosis, without mention ofbacteriological or histological confirmation","Other respiratory tuberculosis, without mention ofbacteriological or histological confirmation",,0,0,0,0,01168,,,1,
diagnosis90,A16.9,"Respiratory tuberculosis unspecified, without mention ofbacteriological or histological confirmation","Respiratory tuberculosis unspecified, without mention ofbacteriological or histological confirmation",,0,0,0,0,01169,,,1,
diagnosis91,A17,TUBERCULOSIS OF NERVUS SYSTEM,TUBERCULOSIS OF NERVUS SYSTEM,,0,0,,,0117,,,1,
diagnosis92,A17+,Tuberculosis of nervous system,Tuberculosis of nervous system,,0,0,0,0,0117,,,1,
diagnosis93,A17.0,TUBERCULOSIS MENINGITIS,TUBERCULOSIS MENINGITIS,,0,0,,,01170,,,1,
diagnosis94,A17.0+,Tuberculous meningitis (G01*),Tuberculous meningitis (G01*),,0,0,0,0,01170+,,,1,
diagnosis95,A17.1+,Meningeal tuberculoma (G07*),Meningeal tuberculoma (G07*),,0,0,0,0,01171+,,,1,
diagnosis96,A17.8+,Other tuberculosis of nervous system,Other tuberculosis of nervous system,,0,0,0,0,01178+,,,1,
diagnosis97,A17.9+,"Tuberculosis of nervous system, unspecified (G99.8*)","Tuberculosis of nervous system, unspecified (G99.8*)",,0,0,0,0,01179+,,,1,
diagnosis98,A18,TUBERCULOSIS OF OTHER ORGANS,TUBERCULOSIS OF OTHER ORGANS,,0,0,,,0118,,,1,
diagnosis99,A18.0,TUBERCULOSIS OF BONES AND JOINS,TUBERCULOSIS OF BONES AND JOINS,,0,0,,,01180,,,1,
diagnosis100,A18.0+,Tuberculosis of bones and joints,Tuberculosis of bones and joints,,0,0,0,0,01180+,,,1,
diagnosis101,A18.1,TUBERCULOSIS OF GENITOURINARY SYSTEM,TUBERCULOSIS OF GENITOURINARY SYSTEM,,0,0,,,01181,,,1,
diagnosis102,A18.1+,Tuberculosis of genitourinary system,Tuberculosis of genitourinary system,,0,0,0,0,01181+,,,1,
diagnosis103,A18.2,TUBERCULOUS PERIPHERAL LYMPHADENOPATHY,TUBERCULOUS PERIPHERAL LYMPHADENOPATHY,,0,0,,,01182,,,1,
diagnosis104,A18.3,TUBERCULOSIS OF INTESTINES- PERITONEUM AND MESENTERIC GLANDS,TUBERCULOSIS OF INTESTINES- PERITONEUM AND MESENTERIC GLANDS,,0,0,,,01183,,,1,
diagnosis105,A18.4,TUBERCULOSIS OF SKIN AND SUBCUTANANEOUS TISSUE,TUBERCULOSIS OF SKIN AND SUBCUTANANEOUS TISSUE,,0,0,,,01184,,,1,
diagnosis106,A18.5+,Tuberculosis of eye,Tuberculosis of eye,,0,0,0,0,01185+,,,1,
diagnosis107,A18.6+,Tuberculosis of ear,Tuberculosis of ear,,0,0,0,0,01186+,,,1,
diagnosis108,A18.7+,Tuberculosis of adrenal glands (E35.1*),Tuberculosis of adrenal glands (E35.1*),,0,0,0,0,01187+,,,1,
diagnosis109,A18.8,TUBERCULOSIS OF OTHER SPECIFIED ORGANS,TUBERCULOSIS OF OTHER SPECIFIED ORGANS,,0,0,,,01188,,,1,
diagnosis110,A18.8+,Tuberculosis of other specified organs,Tuberculosis of other specified organs,,0,0,0,0,01188+,,,1,
diagnosis111,A19,MILLIARY TUBERCULLOSIS,MILLIARY TUBERCULLOSIS,,0,0,,,0119,,,1,
diagnosis112,A19.0,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis of a single specified site,,0,0,0,0,01190,,,1,
diagnosis113,A19.1,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,,0,0,0,0,01191,,,1,
diagnosis114,A19.2,"Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified",,0,0,0,0,01192,,,1,
diagnosis115,A19.8,Other miliary tuberculosis,Other miliary tuberculosis,,0,0,0,0,01198,,,1,
diagnosis116,A19.9,"Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified",,0,0,0,0,01199,,,1,
diagnosis117,A20,PLAGUE,PLAGUE,,0,0,,,0120,,,1,
diagnosis118,A20.0,Bubonic plague,Bubonic plague,,0,0,0,0,01200,,,1,
diagnosis119,A20.1,Cellulocutaneous plague,Cellulocutaneous plague,,0,0,0,0,01201,,,1,
diagnosis120,A20.2,Pneumonic plague,Pneumonic plague,,0,0,0,0,01202,,,1,
diagnosis121,A20.3,Plague meningitis,Plague meningitis,,0,0,0,0,01203,,,1,
diagnosis122,A20.7,Septicaemic plague,Septicaemic plague,,0,0,0,0,01207,,,1,
diagnosis123,A20.8,Other forms of plague,Other forms of plague,,0,0,0,0,01208,,,1,
diagnosis124,A20.9,"Plague, unspecified","Plague, unspecified",,0,0,0,0,01209,,,1,
diagnosis125,A21,Tularaemia,Tularaemia,,0,0,0,0,0121,,,1,
diagnosis126,A21.0,Ulceroglandular tularaemia,Ulceroglandular tularaemia,,0,0,0,0,01210,,,1,
diagnosis127,A21.1,Oculoglandular tularaemia,Oculoglandular tularaemia,,0,0,0,0,01211,,,1,
diagnosis128,A21.2,Pulmonary tularaemia,Pulmonary tularaemia,,0,0,0,0,01212,,,1,
diagnosis129,A21.3,Gastrointestinal tularaemia,Gastrointestinal tularaemia,,0,0,0,0,01213,,,1,
diagnosis130,A21.7,Generalized tularaemia,Generalized tularaemia,,0,0,0,0,01217,,,1,
diagnosis131,A21.8,Other forms of tularaemia,Other forms of tularaemia,,0,0,0,0,01218,,,1,
diagnosis132,A21.9,"Tularaemia, unspecified","Tularaemia, unspecified",,0,0,0,0,01219,,,1,
diagnosis133,A22,ANTRHAX,ANTRHAX,,0,0,,,0122,,,1,
diagnosis134,A22.0,Cutaneous anthrax,Cutaneous anthrax,,0,0,0,0,01220,,,1,
diagnosis135,A22.1,Pulmonary anthrax,Pulmonary anthrax,,0,0,0,0,01221,,,1,
diagnosis136,A22.2,Gastrointestinal anthrax,Gastrointestinal anthrax,,0,0,0,0,01222,,,1,
diagnosis137,A22.7,Anthrax septicaemia,Anthrax septicaemia,,0,0,0,0,01227,,,1,
diagnosis138,A22.8,Other forms of anthrax,Other forms of anthrax,,0,0,0,0,01228,,,1,
diagnosis139,A22.9,"Anthrax, unspecified","Anthrax, unspecified",,0,0,0,0,01229,,,1,
diagnosis140,A23,Brucellosis,Brucellosis,,0,0,0,0,0123,,,1,
diagnosis141,A23.0,Brucellosis due to Brucella melitensis,Brucellosis due to Brucella melitensis,,0,0,0,0,01230,,,1,
diagnosis142,A23.1,Brucellosis due to Brucella abortus,Brucellosis due to Brucella abortus,,0,0,0,0,01231,,,1,
diagnosis143,A23.2,Brucellosis due to Brucella suis,Brucellosis due to Brucella suis,,0,0,0,0,01232,,,1,
diagnosis144,A23.3,Brucellosis due to Brucella canis,Brucellosis due to Brucella canis,,0,0,0,0,01233,,,1,
diagnosis145,A23.8,Other brucellosis,Other brucellosis,,0,0,0,0,01238,,,1,
diagnosis146,A23.9,"Brucellosis, unspecified","Brucellosis, unspecified",,0,0,0,0,01239,,,1,
diagnosis147,A24,Glanders and melioidosis,Glanders and melioidosis,,0,0,0,0,0124,,,1,
diagnosis148,A24.0,Glanders,Glanders,,0,0,0,0,01240,,,1,
diagnosis149,A24.1,Acute and fulminating melioidosis,Acute and fulminating melioidosis,,0,0,0,0,01241,,,1,
diagnosis150,A24.2,Subacute and chronic melioidosis,Subacute and chronic melioidosis,,0,0,0,0,01242,,,1,
diagnosis151,A24.3,Other melioidosis,Other melioidosis,,0,0,0,0,01243,,,1,
diagnosis152,A24.4,"Melioidosis, unspecified","Melioidosis, unspecified",,0,0,0,0,01244,,,1,
diagnosis153,A25,Rat-bite fevers,Rat-bite fevers,,0,0,0,0,0125,,,1,
diagnosis154,A25.0,Spirillosis,Spirillosis,,0,0,0,0,01250,,,1,
diagnosis155,A25.1,Streptobacillosis,Streptobacillosis,,0,0,0,0,01251,,,1,
diagnosis156,A25.9,"Rat-bite fever, unspecified","Rat-bite fever, unspecified",,0,0,0,0,01259,,,1,
diagnosis157,A26,Erysipeloid,Erysipeloid,,0,0,0,0,0126,,,1,
diagnosis158,A26.0,Cutaneous erysipeloid,Cutaneous erysipeloid,,0,0,0,0,01260,,,1,
diagnosis159,A26.7,Erysipelothrix septicaemia,Erysipelothrix septicaemia,,0,0,0,0,01267,,,1,
diagnosis160,A26.8,Other forms of erysipeloid,Other forms of erysipeloid,,0,0,0,0,01268,,,1,
diagnosis161,A26.9,"Erysipeloid, unspecified","Erysipeloid, unspecified",,0,0,0,0,01269,,,1,
diagnosis162,A27,LEPTOSPIROSIS,LEPTOSPIROSIS,,0,0,,,0127,,,1,
diagnosis163,A27.0,Leptospirosis icterohaemorrhagica,Leptospirosis icterohaemorrhagica,,0,0,0,0,01270,,,1,
diagnosis164,A27.8,Other forms of leptospirosis,Other forms of leptospirosis,,0,0,0,0,01278,,,1,
diagnosis165,A27.9,"Leptospirosis, unspecified","Leptospirosis, unspecified",,0,0,0,0,01279,,,1,
diagnosis166,A28,"Other zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified",,0,0,0,0,0128,,,1,
diagnosis167,A28.0,Pasteurellosis,Pasteurellosis,,0,0,0,0,01280,,,1,
diagnosis168,A28.1,Cat-scratch disease,Cat-scratch disease,,0,0,0,0,01281,,,1,
diagnosis169,A28.2,Extraintestinal yersiniosis,Extraintestinal yersiniosis,,0,0,0,0,01282,,,1,
diagnosis170,A28.8,"Other specified zoonotic bacterial diseases, not elsewhereclassified","Other specified zoonotic bacterial diseases, not elsewhereclassified",,0,0,0,0,01288,,,1,
diagnosis171,A28.9,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease, unspecified",,0,0,0,0,01289,,,1,
diagnosis172,A30,LEPROSY (HANSENS DISEASE) - LEPRA,LEPROSY (HANSENS DISEASE) - LEPRA,,0,0,,,0130,,,1,
diagnosis173,A30.0,Indeterminate leprosy,Indeterminate leprosy,,0,0,0,0,01300,,,1,
diagnosis174,A30.1,TUBERCULOID LEPROSY,TUBERCULOID LEPROSY,,0,0,,,01301,,,1,
diagnosis175,A30.2,Borderline tuberculoid leprosy,Borderline tuberculoid leprosy,,0,0,0,0,01302,,,1,
diagnosis176,A30.3,Borderline leprosy,Borderline leprosy,,0,0,0,0,01303,,,1,
diagnosis177,A30.4,Borderline lepromatous leprosy,Borderline lepromatous leprosy,,0,0,0,0,01304,,,1,
diagnosis178,A30.5,Lepromatous leprosy,Lepromatous leprosy,,0,0,0,0,01305,,,1,
diagnosis179,A30.8,Other forms of leprosy,Other forms of leprosy,,0,0,0,0,01308,,,1,
diagnosis180,A30.9,"LEPROSY, UNSPECIFIED","LEPROSY, UNSPECIFIED",,0,0,,,01309,,,1,
diagnosis181,A31,Infection due to other mycobacteria,Infection due to other mycobacteria,,0,0,0,0,0131,,,1,
diagnosis182,A31.0,Pulmonary mycobacterial infection,Pulmonary mycobacterial infection,,0,0,0,0,01310,,,1,
diagnosis183,A31.1,Cutaneous mycobacterial infection,Cutaneous mycobacterial infection,,0,0,0,0,01311,,,1,
diagnosis184,A31.8,Other mycobacterial infections,Other mycobacterial infections,,0,0,0,0,01318,,,1,
diagnosis185,A31.9,"Mycobacterial infection, unspecified","Mycobacterial infection, unspecified",,0,0,0,0,01319,,,1,
diagnosis186,A32,Listeriosis,Listeriosis,,0,0,0,0,0132,,,1,
diagnosis187,A32.0,Cutaneous listeriosis,Cutaneous listeriosis,,0,0,0,0,01320,,,1,
diagnosis188,A32.1,LISTERIAL MENINGITIS AND MENINGOENCHEPALITIS,LISTERIAL MENINGITIS AND MENINGOENCHEPALITIS,,0,0,,,01321,,,1,
diagnosis189,A32.1+,Listerial meningitis and meningoencephalitis,Listerial meningitis and meningoencephalitis,,0,0,0,0,01321+,,,1,
diagnosis190,A32.7,Listerial septicaemia,Listerial septicaemia,,0,0,0,0,01327,,,1,
diagnosis191,A32.8,Other forms of listeriosis,Other forms of listeriosis,,0,0,0,0,01328,,,1,
diagnosis192,A32.9,"Listeriosis, unspecified","Listeriosis, unspecified",,0,0,0,0,01329,,,1,
diagnosis193,A33,TETANUS NEONATORUM,TETANUS NEONATORUM,,0,0,,,0133,,,1,
diagnosis194,A34,OBSTETRICAL TETANUS,OBSTETRICAL TETANUS,,0,0,,,0134,,,1,
diagnosis195,A35,Other tetanus,Other tetanus,,0,0,0,0,0135,,,1,
diagnosis196,A35.9,SYPHILIS - UNSPECIFIED,SYPHILIS - UNSPECIFIED,,0,0,,,01359,,,1,
diagnosis197,A36,DIPTHERIA,DIPTHERIA,,0,0,,,0136,,,1,
diagnosis198,A36.0,Pharyngeal diphtheria,Pharyngeal diphtheria,,0,0,0,0,01360,,,1,
diagnosis199,A36.1,Nasopharyngeal diphtheria,Nasopharyngeal diphtheria,,0,0,0,0,01361,,,1,
diagnosis200,A36.2,Laryngeal diphtheria,Laryngeal diphtheria,,0,0,0,0,01362,,,1,
diagnosis201,A36.3,Cutaneous diphtheria,Cutaneous diphtheria,,0,0,0,0,01363,,,1,
diagnosis202,A36.8,Other diphtheria,Other diphtheria,,0,0,0,0,01368,,,1,
diagnosis203,A36.9,"Diphtheria, unspecified","Diphtheria, unspecified",,0,0,0,0,01369,,,1,
diagnosis204,A37,WHOOPING COUGH,WHOOPING COUGH,,0,0,,,0137,,,1,
diagnosis205,A37.0,Whooping cough due to Bordetella pertussis,Whooping cough due to Bordetella pertussis,,0,0,0,0,01370,,,1,
diagnosis206,A37.1,Whooping cough due to Bordetella parapertussis,Whooping cough due to Bordetella parapertussis,,0,0,0,0,01371,,,1,
diagnosis207,A37.8,Whooping cough due to other Bordetella species,Whooping cough due to other Bordetella species,,0,0,0,0,01378,,,1,
diagnosis208,A37.9,"Whooping cough, unspecified","Whooping cough, unspecified",,0,0,0,0,01379,,,1,
diagnosis209,A38,Scarlet fever,Scarlet fever,,0,0,0,0,0138,,,1,
diagnosis210,A39,Meningococcal infection,Meningococcal infection,,0,0,0,0,0139,,,1,
diagnosis211,A39.0,MENINGOCOCCAL MENINGITIS,MENINGOCOCCAL MENINGITIS,,0,0,,,01390,,,1,
diagnosis212,A39.0+,Meningococcal meningitis (G01*),Meningococcal meningitis (G01*),,0,0,0,0,01390+,,,1,
diagnosis213,A39.1+,Waterhouse-Friderichsen syndrome (E35.1*),Waterhouse-Friderichsen syndrome (E35.1*),,0,0,0,0,01391+,,,1,
diagnosis214,A39.2,Acute meningococcaemia,Acute meningococcaemia,,0,0,0,0,01392,,,1,
diagnosis215,A39.3,Chronic meningococcaemia,Chronic meningococcaemia,,0,0,0,0,01393,,,1,
diagnosis216,A39.4,"Meningococcaemia, unspecified","Meningococcaemia, unspecified",,0,0,0,0,01394,,,1,
diagnosis217,A39.5+,Meningococcal heart disease,Meningococcal heart disease,,0,0,0,0,01395+,,,1,
diagnosis218,A39.8,Other meningococcal infections,Other meningococcal infections,,0,0,0,0,01398,,,1,
diagnosis219,A39.9,"Meningococcal infection, unspecified","Meningococcal infection, unspecified",,0,0,0,0,01399,,,1,
diagnosis220,A40,Streptococcal septicaemia,Streptococcal septicaemia,,0,0,0,0,0140,,,1,
diagnosis221,A40.0,"Septicaemia due to streptococcus, group A","Septicaemia due to streptococcus, group A",,0,0,0,0,01400,,,1,
