id,tid,floor,room,remarks,allowed_f,last_opr,last_update
providerEDC107,00000306,,Pendaftaran RI A,,0,,
providerEDC108,00000323,,Pendaftaran RI B,,0,,
providerEDC109,00000324,,Kasir RJ A,,0,,
providerEDC110,00000325,,Kasir B,,0,,
providerEDC111,00000474,,Poli Kecantikan,,0,,
providerEDC112,00000475,,Apotik,,0,,
providerEDC113,00000552,,Kasir,,0,,
providerEDC114,00000517,,Pendaftaran,,0,,
providerEDC115,00000518,,Kasir,,0,,
providerEDC116,00000480,,Pendaftaran,,0,,
providerEDC117,00000481,,Kasir,,0,,
providerEDC118,00000101,,Pendaftaran RI,,0,,
providerEDC119,00000102,,Pendaftaran RJ,,0,,
providerEDC120,00000345,,Pendaftaran RJ,,0,,
providerEDC121,00000346,,Kasir RI dan RJ,,0,,
providerEDC122,00000611,,Pendaftaran,,0,,
providerEDC123,00000612,,Kasir,,0,,
providerEDC124,00000017,,Pendaftaran,,0,,
providerEDC125,00000553,,Kasir,,0,,
providerEDC126,00000554,,Pendaftaran,,0,,
providerEDC127,00000768,,Kasir,,0,,
providerEDC128,00000769,,Pendaftaran,,0,,
providerEDC129,00000387,,Adm RJ,,0,,
providerEDC130,00000388,,Kasir,,0,,
providerEDC131,00000389,,Admin RI,,0,,
providerEDC132,00000433,,Pendaftaran,,0,,
providerEDC133,00000434,,Kasir,,0,,
providerEDC134,00000639,,Pendaftaran dan Kasir,,0,,
providerEDC135,00000009,,Kasir RJ,,0,,
providerEDC136,00000010,,Kasir RJ,,0,,
providerEDC137,00000011,,Kasir RI,,0,,
providerEDC138,00000130,,VIP RJ,,0,,
providerEDC139,00000135,,VIP Kasir RJ,,0,,
providerEDC140,00000146,,Klinik,,0,,
providerEDC141,00000713,,Pendaftaran RJ Spec,,0,,
providerEDC142,00000714,,Farmasi,,0,,
providerEDC143,00000629,,Pendaftaran,,0,,
providerEDC144,00000015,,Pendaftaran,,0,,
providerEDC145,00000074,,Kasir,,0,,
providerEDC146,00000717,,Pendaftaran RI dan RJ WW,,0,,
providerEDC147,00000718,,Kasir RJ,,0,,
providerEDC148,00000251,,Kasir RI,,0,,
providerEDC149,00000280,,FO,,0,,
providerEDC150,00000279,,Pendaftaran dan Kasir,,0,,
providerEDC151,00000370,,Kasir RJ,,0,,
providerEDC152,00000371,,Kasir RJ,,0,,
providerEDC153,00000372,,Admin RI dan RJ,,0,,
providerEDC154,00000801,,,,0,,
providerEDC155,00000802,,,,0,,
providerEDC156,00000351,,Admin,,0,,
providerEDC157,00000628,,Pendaftaran,,0,,
providerEDC158,00000112,,,,0,,
providerEDC159,00009997,,,,0,,
providerEDC160,00009998,,,,0,,
providerEDC161,00009995,,,,0,,
providerEDC162,00009996,,,,0,,
providerEDC163,00009999,lt 1 ,Kasir Rawat Jalan,,0,,
providerEDC164,00000836,lantai 1,Pendaftaran,,0,,
providerEDC165,00000837,Lantai 1,Kasir,,0,,
providerEDC166,00000005,,Pendaftaran RJ,,0,,
providerEDC167,00000023,,,,0,,
providerEDC168,00000471,Lantai 1,Kasir,,0,,
providerEDC169,00000053,,Pendaftaran & Kasir,,0,,
providerEDC170,00000058,,Kasir Lab 1,,0,,
providerEDC171,00000215,,Blok H 4th Fl,,0,,
providerEDC172,00000216,,UGD,,0,,
providerEDC173,00000326,,Lobby,,0,,
providerEDC174,00000860,,pendaftaran,,0,,
providerEDC175,00000616,,Adm RI & RJ,,0,,
providerEDC176,00000617,,Kasir,,0,,
providerEDC177,00000670,,Pendaftaran,,0,,
providerEDC178,00000671,,Pendaftaran,,0,,
providerEDC179,00000672,,Kasir,,0,,
providerEDC180,00000657,,,,0,,
providerEDC181,00000658,,,,0,,
providerEDC182,00000358,,Kasir,,0,,
providerEDC183,00000715,,Pendaftaran,,0,,
providerEDC184,00000798,,,,0,,
providerEDC185,00000526,,Pendaftaran,,0,,
providerEDC186,00000527,,Kasir,,0,,
providerEDC187,00000706,,Pendaftaran,,0,,
providerEDC188,00000707,,Kasir,,0,,
providerEDC189,00000863,,,,0,,
providerEDC190,00000864,,,,0,,
providerEDC191,00000865,,,,0,,
providerEDC192,00000866,,,,0,,
providerEDC193,00000867,,,,0,,
providerEDC194,00000868,,,,0,,
providerEDC195,00000869,,,,0,,
providerEDC196,00000861,,Administrasi,,0,,
providerEDC197,00000870,,Kasir Apotik,,0,,
providerEDC198,00000573,,,,0,,
providerEDC199,00000574,,,,0,,
providerEDC200,00000575,,,,0,,
providerEDC201,00000576,,,,0,,
providerEDC202,00000578,,,,0,,
providerEDC203,00000579,,,,0,,
providerEDC204,00000592,,,,0,,
providerEDC205,00000610,,,,0,,
providerEDC206,00000633,,,,0,,
providerEDC207,00000642,,,,0,,
providerEDC208,00000688,,Pendaftaran,,0,,
providerEDC209,00000881,G,Kasir RI,,0,,
providerEDC210,00000882,G,IGD,,0,,
providerEDC211,00000886,,,,0,,
providerEDC212,00000887,,,,0,,
providerEDC213,00000888,,,,0,,
providerEDC214,00000889,,,,0,,
providerEDC215,00001063,,,,0,,
providerEDC216,00001072,,,,0,,
providerEDC217,00000892,,,,0,,
providerEDC218,00000893,,,,0,,
providerEDC219,00000894,,,,0,,
providerEDC220,00000895,,,,0,,
providerEDC221,00000896,,,,0,,
providerEDC222,00000897,,,,0,,
providerEDC223,00000898,,,,0,,
providerEDC224,00000899,,,,0,,
providerEDC225,00000900,,,,0,,
providerEDC226,00000901,,,,0,,
providerEDC227,00000902,,,,0,,
providerEDC228,00000903,,,,0,,
providerEDC229,00000915,,,,0,,
providerEDC230,00000916,,,,0,,
providerEDC231,00000917,,,,0,,
providerEDC232,00000918,,,,0,,
providerEDC233,00000904,,,,0,,
providerEDC234,00000905,,,,0,,
providerEDC235,00000906,,,,0,,
providerEDC236,00000927,,,,0,,
providerEDC237,00000786,,,,0,,
providerEDC238,00000787,,,,0,,
providerEDC239,00000910,,,,0,,
providerEDC240,00000912,,,,0,,
providerEDC241,00000913,,,,0,,
providerEDC242,00000929,,,,0,,
providerEDC243,00000914,,,,0,,
providerEDC244,00000525,,,,0,,
providerEDC245,00000846,,,,0,,
providerEDC246,00000957,,,,0,,
providerEDC247,00000958,,,,0,,
providerEDC248,00000981,,,,0,,
providerEDC249,00000968,,,,0,,
providerEDC250,00000997,,,,0,,
providerEDC251,00000998,,,,0,,
providerEDC252,00000999,,,,0,,
providerEDC253,00001002,,,,0,,
providerEDC254,00000969,,,,0,,
providerEDC255,00000971,,,,0,,
providerEDC256,00001015,,,,0,,
providerEDC257,00001023,,,,0,,
providerEDC258,00001057,,,,0,,
providerEDC259,00001064,,,,0,,
providerEDC260,00001065,,,,0,,
providerEDC261,00001068,,,,0,,
providerEDC262,00001076,,,,0,,
providerEDC263,00001082,,,,0,,
providerEDC264,00001083,,,,0,,
providerEDC265,00000069,,,,0,,
providerEDC266,00001031,,,,0,,
providerEDC267,00001049,,,,0,,
providerEDC268,00001050,,,,0,,
providerEDC269,00000170,,,,0,,
providerEDC270,00001077,,,,0,,
providerEDC271,00000577,,,,0,,
providerEDC272,00000724,,,,0,,
providerEDC273,00000725,,,,0,,
providerEDC274,00000168,,,,0,,
providerEDC275,00000183,,,,0,,
providerEDC276,00000134,,,,0,,
providerEDC277,00000138,,,,0,,
providerEDC278,00001100,,,,0,,
providerEDC279,00001106,,,,0,,
providerEDC280,00000454,,,,0,,
providerEDC281,00000463,,,,0,,
providerEDC282,00000673,,,,0,,
providerEDC283,00001108,,,,0,,
providerEDC284,00001117,,,,0,,
providerEDC285,00000791,,,,0,,
providerEDC286,00001126,,,,0,,
providerEDC287,00001122,,,,0,,
providerEDC288,00001127,,,,0,,
providerEDC289,00000472,,,,0,,
providerEDC290,00000200,,,,0,,
providerEDC291,00000482,,,,0,,
providerEDC292,00000483,,,,0,,
providerEDC293,00000479,,,,0,,
providerEDC294,00000811,,,,0,,
providerEDC295,00000855,,,,0,,
providerEDC296,00002500,,,,0,,
providerEDC297,00000745,,,,0,,
providerEDC298,00000794,,,,0,,
providerEDC299,00000752,,,,0,,
providerEDC300,00000451,,,,0,,
providerEDC301,00000140,,,,0,,
providerEDC302,00000141,,,,0,,
providerEDC303,00000189,,,,0,,
providerEDC304,00000196,,,,0,,
providerEDC305,00000222,,,,0,,
providerEDC306,00000223,,,,0,,
providerEDC307,00000224,,,,0,,
providerEDC308,00000231,,,,0,,
providerEDC309,00000232,,,,0,,
providerEDC310,00000252,,,,0,,
providerEDC311,00000404,,,,0,,
providerEDC312,00000309,,,,0,,
providerEDC313,00000311,,Kasir,,0,,
providerEDC314,00000314,,,,0,,
providerEDC315,00000322,Lt 1,Pendaftaran,,0,,
providerEDC316,00000359,Lantai 1,Kasir,,0,,
providerEDC317,00000360,Lantai 1,Kasir,,0,,
providerEDC318,00000367,Lantai 1,Pendaftaran,,0,,
providerEDC319,00000419,Lantai 1,Kasir,,0,,
providerEDC320,00000427,Lantai 1,Pendaftaran,,0,,
providerEDC321,00000450,Lantai 1,Administrasi,,0,,
providerEDC322,00000476,Lantai 1,Kasir,,0,,
providerEDC323,00000484,Lantai 1,Administrasi,,0,,
providerEDC324,00000499,Lantai 1,Kasir,,0,,
providerEDC325,00000500,,,,0,,
providerEDC326,00000509,,,,0,,
providerEDC327,00000510,Lantai 1,Pendaftaran,,0,,
providerEDC328,00000511,,Marketing,,0,,
providerEDC329,00000512,,Marketing,,0,,
providerEDC330,00000519,Lantai 1,Pendaftaran Asuransi,,0,,
providerEDC331,00000520,Lantai 2,Poli Rawat Jalan,,0,,
providerEDC332,00000521,Lantai 1,Administrasi UGD,,0,,
providerEDC333,00000827,,,,0,,
providerEDC334,00000828,,,,0,,
providerEDC335,00000823,,,,0,,
providerEDC336,00000824,,,,0,,
providerEDC337,00000529,Lantai 1,Kasir,,0,,
providerEDC338,00000533,Lantai 1,Administrasi,,0,,
providerEDC339,00000555,,,,0,,
providerEDC340,00000556,Lantai 1,Kasir,,0,,
providerEDC341,00000563,Lantai 1,Kasir RJ,,0,,
providerEDC342,00000564,Lantai 1,Pendaftaran RJ,,0,,
providerEDC343,569,,,,0,,
providerEDC344,00000580,,ADM,,0,,
providerEDC345,00000581,,Kasir,,0,,
providerEDC346,00000834,,,,0,,
providerEDC347,00000835,,,,0,,
providerEDC348,00000582,,,,0,,
providerEDC349,00000583,,,,0,,
providerEDC350,00000584,,,,0,,
providerEDC351,00000585,,,,0,,
providerEDC352,00000586,,,,0,,
providerEDC353,00000587,,,,0,,
providerEDC354,00000588,,,,0,,
providerEDC355,00000589,,,,0,,
providerEDC356,00000590,,,,0,,
providerEDC357,00000615,,,,0,,
providerEDC358,00000650,Lantai 1,Ruang Periksa,,0,,
providerEDC359,00000668,,Pendaftaran,,0,,
providerEDC360,00000669,,Apotik,,0,,
providerEDC361,00000701,Lantai 1,Kasir,,0,,
providerEDC362,00000708,Lantai 1,Kasir,,0,,
providerEDC363,00000709,Lantai 1,Pendaftaran ,,0,,
providerEDC364,00000749,Lantai 1,Administrasi,,0,,
providerEDC365,00000750,Lantai 1,Administrasi,,0,,
providerEDC366,00000751,Lantai 1,Pendaftaran,,0,,
providerEDC367,00000754,Lantai 1,Pendaftaran,,0,,
providerEDC368,00000755,Lantai 1,Kasir,,0,,
providerEDC369,00000758,Lantai 1,Pendaftaran,,0,,
providerEDC370,00000764,Lantai 1,Administrasi,,0,,
providerEDC371,00000784,Lantai 1,Administrasi,,0,,
providerEDC372,00000810,Lantai 1,Pendaftaran,,0,,
providerEDC373,00001148,,,,0,,
providerEDC374,00001149,,,,0,,
providerEDC375,00000618,,,,0,,
providerEDC376,00000619,,,,0,,
providerEDC377,00000262,,,,0,,
providerEDC378,00000465,,,,0,,
providerEDC379,00001150,ADM Lt.1,,,0,,
providerEDC380,00001151,ADM,,,0,,
providerEDC381,00001152,ADM,,,0,,
providerEDC382,00001153,ADM,,,0,,
providerEDC383,00001155,,,,0,,
providerEDC384,00001154,,,,0,,
providerEDC385,00000408,ADM RI,,,0,,
providerEDC386,00000395,,Kasir,,0,,
providerEDC387,00000185,,pendaftaran RJ,,0,,
providerEDC388,00000201,,UGD,,0,,
providerEDC389,00000117,,UGD,,0,,
providerEDC390,00000184,,,,0,,
providerEDC391,00000273,,Admission RJ,,0,,
providerEDC392,00000274,,Apotik,,0,,
providerEDC393,00000275,,Fisioterapi,,0,,
providerEDC394,00000276,,Radiologi,,0,,
providerEDC395,00000190,,FO / Poli Barat,,0,,
providerEDC396,00000191,,FO / Poli Timur,,0,,
providerEDC397,00000173,,,,0,,
providerEDC398,00000176,,,,0,,
providerEDC399,00000167,,,,0,,
providerEDC400,00000172,,,,0,,
providerEDC401,00000795,,IPD,,0,,
providerEDC402,00000796,,OPD,,0,,
providerEDC403,00000202,,,,0,,
providerEDC404,00000203,,,,0,,
providerEDC405,00000195,,,,0,,
providerEDC406,00000263,,,,0,,
providerEDC407,00000264,,,,0,,
providerEDC408,00000277,,,,0,,
providerEDC409,00000278,,,,0,,
providerEDC410,00000417,,Admin dan Kasir RJ,,0,,
providerEDC411,00000312,,,,0,,
providerEDC412,00000307,,,,0,,
providerEDC413,00000464,,,,0,,
providerEDC414,00000785,,Admin,,0,,
providerEDC415,00000310,,Admin,,0,,
providerEDC416,00000259,,Keuangan,,0,,
providerEDC417,00000260,,Admin RJ,,0,,
providerEDC418,00000261,,Admin RI,,0,,
providerEDC419,00000253,,Pendaftaran,,0,,
providerEDC420,00000254,,Kasir,,0,,
providerEDC421,00000256,,Admin RJ,,0,,
providerEDC422,00000257,,Kasir RI,,0,,
providerEDC423,00000776,,,,0,,
providerEDC424,00000315,,,,0,,
providerEDC425,00000313,,,,0,,
providerEDC426,00000266,,,,0,,
providerEDC427,00000109,,Kasir,,0,,
providerEDC428,00000316,,ADM & Kasir,,0,,
providerEDC429,00000674,,Pendaftaran,,0,,
providerEDC430,00000093,,,,0,,
providerEDC431,00000094,,,,0,,
providerEDC432,00000883,,,,0,,
providerEDC433,00000884,,,,0,,
providerEDC434,00000885,,,,0,,
providerEDC435,00000777,,Corporatc Account RJ,,0,,
providerEDC436,00000778,,Farmasi RJ,,0,,
providerEDC437,00000779,,Pendaftaran RJ Lt.5,,0,,
providerEDC438,00000121,,,,0,,
providerEDC439,00000122,,,,0,,
providerEDC440,00000044,,Informasi,,0,,
providerEDC441,00000045,,UGD,,0,,
providerEDC442,00000180,,Informasi,,0,,
providerEDC443,00000182,,UGD,,0,,
providerEDC444,00000062,,UGD,,0,,
providerEDC445,00000098,,Pendaftaran RJ,,0,,
providerEDC446,00000100,,Asuransi RJ,,0,,
providerEDC447,00000765,,Pendaftaran Kasir dan RJ,,0,,
providerEDC448,00000766,,UGD,,0,,
providerEDC449,00000767,,Poli RJ lt. 2,,0,,
providerEDC450,00000349,,,,0,,
providerEDC451,00000350,,,,0,,
providerEDC452,00000375,,,,0,,
providerEDC453,00000376,,,,0,,
providerEDC454,00000377,,,,0,,
providerEDC455,00000716,,Pendaftaran RJ dan RI,,0,,
providerEDC456,00000831,,Kasir,,0,,
providerEDC457,00000663,,Informasi,,0,,
providerEDC458,00000659,,Pendaftaran RJ,,0,,
providerEDC459,00000660,,Kasir Jaminan,,0,,
providerEDC460,00000676,,Pendaftaran,,0,,
providerEDC461,00000677,,Kasir,,0,,
providerEDC462,00000123,,Karir,,0,,
providerEDC463,00000124,,pendaftaran,,0,,
providerEDC464,00000547,,,,0,,
providerEDC465,00000548,,,,0,,
providerEDC466,00000549,,,,0,,
providerEDC467,00000986,,,,0,,
providerEDC468,00000987,,,,0,,
providerEDC469,00000993,,,,0,,
providerEDC470,00000838,Lantai 1,Pendaftaran,,0,,
providerEDC471,00000839,Lantai 1,Kasir,,0,,
providerEDC472,00001118,,,,0,,
providerEDC473,00001119,,,,0,,
providerEDC474,00000503,,Pendaftaran,,0,,
providerEDC475,00000504,,Ksir,,0,,
providerEDC476,00000534,,Kasir,,0,,
providerEDC477,00000535,,Pendaftaran,,0,,
providerEDC478,00000355,,ADM RJ,,0,,
providerEDC479,00000356,,ADM RI,,0,,
providerEDC480,00000357,,Kasir Utama,,0,,
providerEDC481,00000812,Lantai I,Pendaftaran,,0,,
providerEDC482,00000813,Lantai I,Kasir Rawat Jalan,,0,,
providerEDC483,00000746,,,,0,,
providerEDC484,00000747,,,,0,,
providerEDC485,00000469,,,,0,,
providerEDC486,00000470,,,,0,,
providerEDC487,00000337,,Pendaftaran,,0,,
providerEDC488,00000339,,Kasir,,0,,
providerEDC489,00000320,,,,0,,
providerEDC490,00000321,,,,0,,
providerEDC491,00000808,Lantai 1,Pendaftaran,,0,,
providerEDC492,00000809,Lantai 1,Kasir,,0,,
providerEDC493,00000119,,Pendaftaran RI,,0,,
providerEDC494,00000120,,UGD,,0,,
providerEDC495,00000832,,,,0,,
providerEDC496,00000833,,,,0,,
providerEDC497,00001132,,,,0,,
providerEDC498,00000990,,,,0,,
providerEDC499,00000227,,Pendaftaran,,0,,
providerEDC500,00000228,,Kasir Farmasi,,0,,
providerEDC501,00000799,,,,0,,
providerEDC502,00000800,,,,0,,
providerEDC503,00000653,,,,0,,
providerEDC504,00000600,,Pendaftaran,,0,,
providerEDC505,00000614,,Kasir,,0,,
providerEDC506,00000988,,,,0,,
providerEDC507,00000546,,,,0,,
providerEDC508,00000685,,Pendaftaran,,0,,
providerEDC509,00000459,,Kasir,,0,,
providerEDC510,00000462,,Pendaftaran,,0,,
providerEDC511,00000992,,,,0,,
providerEDC512,00001011,,,,0,,
providerEDC513,00001027,,,,0,,
providerEDC514,00001028,,,,0,,
providerEDC515,00001029,,,,0,,
providerEDC516,00001030,,,,0,,
providerEDC517,00001032,,,,0,,
providerEDC518,00001033,,,,0,,
providerEDC519,00001034,,,,0,,
providerEDC520,00000236,,,,0,,
providerEDC521,00000239,,,,0,,
providerEDC522,00000240,,,,0,,
providerEDC523,00000034,,FO,,0,,
providerEDC524,00000035,,Kasir,,0,,
providerEDC525,00000054,,,,0,,
providerEDC526,00000067,,,,0,,
providerEDC527,00000774,,,,0,,
providerEDC528,00000775,,,,0,,
providerEDC529,00001129,,,,0,,
providerEDC530,00001133,,,,0,,
providerEDC531,00001138,,,,0,,
providerEDC532,00001139,,,,0,,
providerEDC533,00001140,,,,0,,
providerEDC534,00001141,,,,0,,
providerEDC535,00000317,,Kasir poli rj,,0,,
providerEDC536,00000318,,Kasir Ugd,,0,,
providerEDC537,00000319,,Kasir RI,,0,,
providerEDC538,00000928,,,,0,,
providerEDC539,00000116,,Kasir,,0,,
providerEDC540,00000125,,ADM RJ & RI,,0,,
providerEDC541,00000632,,Poli Verifkasi RJ,,0,,
providerEDC542,00000634,,Farmasi,,0,,
providerEDC543,00000635,,ADM RI,,0,,
providerEDC544,00000636,,IGD,,0,,
providerEDC545,00000637,,Keuangan,,0,,
providerEDC546,00000638,,Pendaftaran,,0,,
providerEDC547,00000410,,,,0,,
providerEDC548,00000411,,,,0,,
providerEDC549,00000287,,Kasir,,0,,
providerEDC550,00001058,,,,0,,
providerEDC551,00000352,,Kasir,,0,,
providerEDC552,00000348,,,,0,,
providerEDC553,00000418,,ADM & Kasir,,0,,
providerEDC554,00000678,,Pendaftaran,,0,,
providerEDC555,00000679,,Kasir RJ & RI,,0,,
providerEDC556,00000026,,UGD,,0,,
providerEDC557,00000032,,Kasir Lt1,,0,,
providerEDC558,00000063,,Pendaftaran Lt.1,,0,,
providerEDC559,00000041,,,,0,,
providerEDC560,00000042,,,,0,,
providerEDC561,00000043,,,,0,,
providerEDC562,00000640,,Pendaftaran,,0,,
providerEDC563,00000641,,Kasir,,0,,
providerEDC564,00000782,,Pendaftaran RJ,,0,,
providerEDC565,00000783,,Kasir RJ,,0,,
providerEDC566,00000036,,Pendaftaran,,0,,
providerEDC567,00000037,,Kasir,,0,,
providerEDC568,00000050,,Pendaftaran RI dan RJ,,0,,
providerEDC569,00000016,,,,0,,
providerEDC570,00000364,,,,0,,
providerEDC571,00000453,,,,0,,
providerEDC572,00000461,,,,0,,
providerEDC573,00000722,,Pendaftaran,,0,,
providerEDC574,00000723,,Kasir,,0,,
providerEDC575,00000477,,Pendaftaran,,0,,
providerEDC576,00000478,,Kasir,,0,,
providerEDC577,00000038,,,,0,,
providerEDC578,00000040,,,,0,,
providerEDC579,00000692,,Farmasi RJ,,0,,
providerEDC580,00000693,,Radiologi,,0,,
providerEDC581,00000694,,Lab,,0,,
providerEDC582,00000695,,L. pelanggan RJ,,0,,
providerEDC583,00000696,,Farmasi RJ,,0,,
providerEDC584,00000697,,Farmasi UGD,,0,,
providerEDC585,00000698,,L.Pelanggan RI,,0,,
providerEDC586,00000699,,Fisiotrapi,,0,,
providerEDC587,00000700,,UGD,,0,,
providerEDC588,00000702,,Polianak,,0,,
providerEDC589,00000703,,BKM Paseban,,0,,
providerEDC590,00000284,,Pendaftaran,,0,,
providerEDC591,00000285,,Pendaftaran,,0,,
providerEDC592,00000286,,Kasir,,0,,
providerEDC593,00000467,,,,0,,
providerEDC594,00000415,,,Kasir RI dan RJ,0,,
providerEDC595,00001107,,,,0,,
providerEDC596,00000540,,,,0,,
providerEDC597,00000675,,,,0,,
providerEDC598,00001128,,,,0,,
providerEDC599,00000292,,Admin dan Kasir,,0,,
providerEDC600,00000428,,Admin RJ dan RI,,0,,
providerEDC601,00000490,,,,0,,
providerEDC602,00000492,,,,0,,
providerEDC603,00000726,,Pendaftaran Rj,,0,,
providerEDC604,00000727,,Kasir RJ,,0,,
providerEDC605,00000728,,UGD,,0,,
providerEDC606,00000729,,Adm RI,,0,,
providerEDC607,00000730,,Kasir RI,,0,,
providerEDC608,00000241,,,,0,,
providerEDC609,00000562,,,,0,,
providerEDC610,00000645,,,,0,,
providerEDC611,00000691,,,,0,,
providerEDC612,00000456,,,,0,,
providerEDC613,00000814,,,,0,,
providerEDC614,00000720,,Receptionist,,0,,
providerEDC615,00000721,,Kasir,,0,,
providerEDC616,00000647,,Pendaftaran,,0,,
providerEDC617,00000648,,Kasir RJ & RI,,0,,
providerEDC618,00000680,,,,0,,
providerEDC619,00000681,,,,0,,
providerEDC620,00000059,,Kasir RI,,0,,
providerEDC621,00000060,,TPP,,0,,
providerEDC622,00000409,,Pendaftaran,,0,,
providerEDC623,00000711,,Kasir,,0,,
providerEDC624,00000816,Lantai I,Admision,,0,,
providerEDC625,00000817,Lantai I,UGD,,0,,
providerEDC626,00000840,Lantai 1,Pendaftaran,,0,,
providerEDC627,00000841,Lantai 1,IGD,,0,,
providerEDC628,00000567,,Pendaftaran,,0,,
providerEDC629,00000571,,Kasir,,0,,
providerEDC630,00000643,,Kasir RJ & RI,,0,,
providerEDC631,00000644,,Kasir RJ,,0,,
providerEDC632,00000646,,Pendaftaran,,0,,
providerEDC633,00000289,,,,0,,
providerEDC634,00000290,,,,0,,
providerEDC635,00000065,,,,0,,
providerEDC636,00000066,,,,0,,
providerEDC637,00000561,,,,0,,
providerEDC638,00000570,,,,0,,
providerEDC639,00000455,,,,0,,
