id,code,name,name_alt,description,description_alt,short_name,level,unit_id,unit_alt,claim_type_id,max_frequency,reinstate_in,pre_hospitalization,post_hospitalization,limit_from_surgery,limit_from_parent_benefit,allowed_benefit_from,allowed_benefit_to,accumulated_for_one_day,reinstateable_benefit,surgery_benefit,group_term_life_benefit,claimable_benefit,hide_on_printing,pre_post_maternity_benefit,benefit_category_id,pool_fund_benefit,external_benefit_code,show_benefit_on_receipt,show_benefit_limit_on_receipt
benefit28,H2121,Dokter Bedah Kompleks,,Dokter Bedah Kompleks,,,,,,,,,,,,,,,,,,,,,,,,,
benefit29,H2122,Dokter Bedah Besar,,Dokter Bedah Besar,,,,,,,,,,,,,,,,,,,,,,,,,
benefit30,H2123,Dokter Bedah Sedang,,Dokter Bedah Sedang,,,,,,,,,,,,,,,,,,,,,,,,,
benefit31,H2124,Dokter Bedah Kecil,,Dokter Bedah Kecil,,,,,,,,,,,,,,,,,,,,,,,,,
benefit32,H2200,Juru Rawat Khusus di rumah sakit,,Juru Rawat Khusus di rumah sakit,,,,,,,,,,,,,,,,,,,,,,,,,
benefit33,H3100,Biaya Pembedahan (Dokter Bedah / Kamar Bedah & Anastesi),,Biaya Pembedahan (Dokter Bedah / Kamar Bedah & Anastesi),,,,,,,,,,,,,,,,,,,,,,,,,
benefit34,H3110,Biaya Pembedahan (Kompleks / Besar / Sedang / Kecil),,Biaya Pembedahan (Kompleks / Besar / Sedang / Kecil),,,,,,,,,,,,,,,,,,,,,,,,,
benefit35,H3111,Biaya Pembedahan Kompleks,,Biaya Pembedahan Kompleks,,,,,,,,,,,,,,,,,,,,,,,,,
benefit36,H3112,Biaya Pembedahan Besar,,Biaya Pembedahan Besar,,,,,,,,,,,,,,,,,,,,,,,,,
benefit37,H3113,Biaya Pembedahan Sedang,,Biaya Pembedahan Sedang,,,,,,,,,,,,,,,,,,,,,,,,,
benefit38,H3114,Biaya Pembedahan Kecil,,Biaya Pembedahan Kecil,,,,,,,,,,,,,,,,,,,,,,,,,
benefit39,H3115,One Day Surgery,,One Day Surgery,,,,,,,,,,,,,,,,,,,,,,,,,
benefit40,H3116,One Day Care,,One Day Care,,,,,,,,,,,,,,,,,,,,,,,,,
benefit41,H3117,Pembedahan Gigi bungsu/ Odontektomi,,Pembedahan Gigi bungsu/ Odontektomi,,,,,,,,,,,,,,,,,,,,,,,,,
benefit42,H3200,Anestesi (Kompleks / Besar / Sedang / Kecil),,Anestesi (Kompleks / Besar / Sedang / Kecil),,,,,,,,,,,,,,,,,,,,,,,,,
benefit43,H3210,Anestesi Bedah Kompleks,,Anestesi Bedah Kompleks,,,,,,,,,,,,,,,,,,,,,,,,,
benefit44,H3220,Anestesi Bedah Besar,,Anestesi Bedah Besar,,,,,,,,,,,,,,,,,,,,,,,,,
benefit45,H3230,Anestesi Bedah Sedang,,Anestesi Bedah Sedang,,,,,,,,,,,,,,,,,,,,,,,,,
benefit46,H3240,Anestesi Bedah Kecil,,Anestesi Bedah Kecil,,,,,,,,,,,,,,,,,,,,,,,,,
benefit47,H3300,Pre dan Post perawatan,,Pre dan Post perawatan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit48,H3301,Konsultasi spesialis dan obat (Pre Post RI),,Konsultasi spesialis dan obat (Pre Post RI),,,,,,,,,,,,,,,,,,,,,,,,,
benefit49,H3302,Laboratorium / X-ray dan diagnostic (Pre & post RI),,Laboratorium / X-ray dan diagnostic (Pre & post RI),,,,,,,,,,,,,,,,,,,,,,,,,
benefit50,H3400,Rawat Jalan dan Gigi Darurat akibat Kecelakaan,,Rawat Jalan dan Gigi Darurat akibat Kecelakaan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit51,H3500,Khemoterapy & Hemodialisa,,Khemoterapy & Hemodialisa,,,,,,,,,,,,,,,,,,,,,,,,,
benefit52,H4100,Biaya Aneka Pelayanan Rumah Sakit,,Biaya Aneka Pelayanan Rumah Sakit,,,,,,,,,,,,,,,,,,,,,,,,,
benefit53,H4200,Penyewaan alat bantu selama di rumah sakit,,Penyewaan alat bantu selama di rumah sakit,,,,,,,,,,,,,,,,,,,,,,,,,
benefit54,H4300,Biaya Ambulance,,Biaya Ambulance,,,,,,,,,,,,,,,,,,,,,,,,,
benefit55,H4400,Implant (IOL / Plate / Pen / Screw / Ring / K-wire / Stent),,Implant (IOL / Plate / Pen / Screw / Ring / K-wire / Stent),,,,,,,,,,,,,,,,,,,,,,,,,
benefit56,H5010,Paket Serious Illness,,Paket Serious Illness,,,,,,,,,,,,,,,,,,,,,,,,,
benefit57,H5020,Paket Bayi Kuning / BBLR / Prematur,,Paket Bayi Kuning / BBLR / Prematur,,,,,,,,,,,,,,,,,,,,,,,,,
benefit58,H5030,Gangguan Hormonal,,Gangguan Hormonal,,,,,,,,,,,,,,,,,,,,,,,,,
benefit59,H5040,Congenital Threatment,,Congenital Threatment,,,,,,,,,,,,,,,,,,,,,,,,,
benefit60,H5060,Santunan Meninggal Dunia alami / Kecelakaan,,Santunan Meninggal Dunia alami / Kecelakaan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit61,H5061,Santunan Meninggal Dunia alami,,Santunan Meninggal Dunia alami,,,,,,,,,,,,,,,,,,,,,,,,,
benefit62,H5062,Santunan Meninggal karena kecelakaan,,Santunan Meninggal karena kecelakaan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit63,H5063,Santunan cacat tetap/total,,Santunan cacat tetap/total,,,,,,,,,,,,,,,,,,,,,,,,,
benefit64,H5070,Paket Medical Evacuation,,Paket Medical Evacuation,,,,,,,,,,,,,,,,,,,,,,,,,
benefit65,H5091,Prothesa Gigi,,Prothesa Gigi,,,,,,,,,,,,,,,,,,,,,,,,,
benefit66,H5092,Prothesa Alat Bantu Gerak (Tangan/ Kaki),,Prothesa Alat Bantu Gerak (Tangan/ Kaki),,,,,,,,,,,,,,,,,,,,,,,,,
benefit67,H5093,Prothesa Alat Bantu Dengar,,Prothesa Alat Bantu Dengar,,,,,,,,,,,,,,,,,,,,,,,,,
benefit68,H5094,Endometriosis (Hormonal & Non-Hormonal),,Endometriosis (Hormonal & Non-Hormonal),,,,,,,,,,,,,,,,,,,,,,,,,
benefit69,H5095,Epilepsi,,Epilepsi,,,,,,,,,,,,,,,,,,,,,,,,,
benefit70,H5096,ESWL,,ESWL,,,,,,,,,,,,,,,,,,,,,,,,,
benefit71,H5097,Radiotherapy,,Radiotherapy,,,,,,,,,,,,,,,,,,,,,,,,,
benefit72,H5098,Paket Medical Check-Up,,Paket Medical Check-Up,,,,,,,,,,,,,,,,,,,,,,,,,
benefit73,H5099,MRI,,MRI,,,,,,,,,,,,,,,,,,,,,,,,,
benefit74,H5100,Pelayanan Jantung / Paru-paru dan Ginjal,,Pelayanan Jantung / Paru-paru dan Ginjal,,,,,,,,,,,,,,,,,,,,,,,,,
benefit75,H5101,Papsmears,,Papsmears,,,,,,,,,,,,,,,,,,,,,,,,,
benefit76,H5102,Sirkumsisi akibat Phimosis,,Sirkumsisi akibat Phimosis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit77,H5103,Transpalansi Organ,,Transpalansi Organ,,,,,,,,,,,,,,,,,,,,,,,,,
benefit78,H5104,Melahirkan Normal,,Melahirkan Normal,,,,,,,,,,,,,,,,,,,,,,,,,
benefit79,H5105,Melahirkan dengan Pembedahan,,Melahirkan dengan Pembedahan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit80,H5106,Biaya Non-Medis,,Biaya Non-Medis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit81,H5107,Melahirkan tidak normal (Abnormal),,Melahirkan tidak normal (Abnormal),,,,,,,,,,,,,,,,,,,,,,,,,
benefit82,H5108,Paket Komplikasi kehamilan di rawat inap,,Paket Komplikasi kehamilan di rawat inap,,,,,,,,,,,,,,,,,,,,,,,,,
benefit83,H5109,Multivitamin & Food Supplement di Rawat Inap,,Multivitamin & Food Supplement di Rawat Inap,,,,,,,,,,,,,,,,,,,,,,,,,
benefit84,H6001,Ganguan Hormonal / Penyakit Bawaan (Congenital) / Ganguan Psikologis (khusus neurosis) / Epilepsi / Autis,,Ganguan Hormonal / Penyakit Bawaan (Congenital) / Ganguan Psikologis (khusus neurosis) / Epilepsi / Autis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit85,H9901,Pemeriksaan dan Konsultasi dokter spesialis/ sub spesialis,,Pemeriksaan dan Konsultasi dokter spesialis/ sub spesialis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit86,H9902,Perawatan & Akomodasi di ruang perawatan,,Perawatan & Akomodasi di ruang perawatan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit87,H9903,Pemeriksaan Dokter penunjang diagnostik sederhana,,Pemeriksaan Dokter penunjang diagnostik sederhana,,,,,,,,,,,,,,,,,,,,,,,,,
benefit88,H9904,Tindakan medis yang bersifat diagnostik / terapeutik dan operatif,,Tindakan medis yang bersifat diagnostik / terapeutik dan operatif,,,,,,,,,,,,,,,,,,,,,,,,,
benefit89,H9905,Rehabilitasi Medis,,Rehabilitasi Medis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit90,H9906,Kecelakaan Kerja,,Kecelakaan Kerja,,,,,,,,,,,,,,,,,,,,,,,,,
benefit91,H9907,Pemberiaan obat-obatan sesuai dengan daftar obat yang dijamin & Formularium,,Pemberiaan obat-obatan sesuai dengan daftar obat yang dijamin & Formularium,,,,,,,,,,,,,,,,,,,,,,,,,
benefit92,H9908,Bahan dan alat kesehatan habis pakai,,Bahan dan alat kesehatan habis pakai,,,,,,,,,,,,,,,,,,,,,,,,,
benefit93,H9909,Khemoterapy,,Khemoterapy,,,,,,,,,,,,,,,,,,,,,,,,,
benefit94,H9910,Stroke & Cancer,,Stroke & Cancer,,,,,,,,,,,,,,,,,,,,,,,,,
benefit95,H9911,Pelayanan transfusi darah,,Pelayanan transfusi darah,,,,,,,,,,,,,,,,,,,,,,,,,
benefit96,H9912,Pemberian surat rujukan,,Pemberian surat rujukan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit97,M1100,Persalinan normal,,Persalinan normal - Per Kejadian / Per penyakit,,,,,,,,,,,,,,,,,,,,,,,,,
benefit98,M1110,Persalinan normal dengan Bidan,,Persalinan normal dengan Bidan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit99,M1120,Persalinan normal dengan alat bantu,,Persalinan normal dengan alat bantu,,,,,,,,,,,,,,,,,,,,,,,,,
benefit100,M1200,Persalinan Caesar,,Persalinan Caesar,,,,,,,,,,,,,,,,,,,,,,,,,
benefit101,M1300,Keguguran,,Keguguran,,,,,,,,,,,,,,,,,,,,,,,,,
benefit102,M1301,Keguguran & Komplikasi kehamilan,,Keguguran & Komplikasi kehamilan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit103,M1400,Pre & Post Maternity,,Pre & Post Maternity,,,,,,,,,,,,,,,,,,,,,,,,,
benefit104,M1401,Pre & Post Maternity & Paket Komplikasi Kehamilan,,Pre & Post Maternity & Paket Komplikasi Kehamilan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit105,M1500,Paket Komplikasi Kehamilan,,Paket Komplikasi Kehamilan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit106,M1600,Melahirkan dirumah,,Melahirkan dirumah,,,,,,,,,,,,,,,,,,,,,,,,,
benefit107,M9901,Normal (Dalam Provider),,Normal (Dalam Provider),,,,,,,,,,,,,,,,,,,,,,,,,
benefit108,M9902,Normal (Non Provider),,Normal (Non Provider),,,,,,,,,,,,,,,,,,,,,,,,,
benefit109,M9903,Ab-Normal (Dalam Provider),,Ab-Normal (Dalam Provider),,,,,,,,,,,,,,,,,,,,,,,,,
benefit110,M9904,Ab-Normal (Non-Provider),,Ab-Normal (Non-Provider),,,,,,,,,,,,,,,,,,,,,,,,,
benefit111,M9905,Sectio/ Operasi (Dalam Provider),,Sectio/ Operasi (Dalam Provider),,,,,,,,,,,,,,,,,,,,,,,,,
benefit112,M9906,Sectio/ Operasi (Non Provider),,Sectio/ Operasi (Non Provider),,,,,,,,,,,,,,,,,,,,,,,,,
benefit113,M9907,Keguguran Atas Indikasi Medis (Dalam Provider),,Keguguran Atas Indikasi Medis (Dalam Provider),,,,,,,,,,,,,,,,,,,,,,,,,
benefit114,M9908,Keguguran Atas Indikasi Medis (Non Provider),,Keguguran Atas Indikasi Medis (Non Provider),,,,,,,,,,,,,,,,,,,,,,,,,
benefit115,O,Dokter Umum test,,Dokter Umum test,,,,,,,,,,,,,,,,,,,,,,,,,
benefit116,O1100,Konsultasi Dokter Umum,,Konsultasi Dokter Umum,,,,,,,,,,,,,,,,,,,,,,,,,
benefit117,O1200,Konsultasi Dokter Spesialis,,Konsultasi Dokter Spesialis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit118,O1201,Konsultasi Dokter Spesialis,,Konsultasi Dokter Spesialis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit119,O1300,Konsultasi Dokter + Obat,,Konsultasi Dokter + Obat,,,,,,,,,,,,,,,,,,,,,,,,,
benefit120,O2100,Fisioteraphy,,Fisioteraphy,,,,,,,,,,,,,,,,,,,,,,,,,
benefit121,O2200,Imunisasi Dasar,,Imunisasi Dasar,,,,,,,,,,,,,,,,,,,,,,,,,
benefit122,O2210,Imunisasi Kompleks,,Imunisasi Kompleks,,,,,,,,,,,,,,,,,,,,,,,,,
benefit123,O2211,Imunisasi dasar & kompleks,,Imunisasi dasar & kompleks,,,,,,,,,,,,,,,,,,,,,,,,,
benefit124,O2300,Keluarga Berencana,,Keluarga Berencana,,,,,,,,,,,,,,,,,,,,,,,,,
benefit125,O3100,Penggantian biaya Obat,,Penggantian biaya Obat,,,,,,,,,,,,,,,,,,,,,,,,,
benefit126,O3200,Test Diagnostik & Laboratorium,,Test Diagnostik & Laboratorium,,,,,,,,,,,,,,,,,,,,,,,,,
benefit127,O3300,Test Diagnostik & Obat-obatan,,Test Diagnostik & Obat-obatan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit128,O4010,Paket Multivitamin dan Food Suplement,,Paket Multivitamin dan Food Suplement,,,,,,,,,,,,,,,,,,,,,,,,,
benefit129,O4011,Paket Multivitamin,,Paket Multivitamin,,,,,,,,,,,,,,,,,,,,,,,,,
benefit130,O4012,Paket Food suplement,,Paket Food suplement,,,,,,,,,,,,,,,,,,,,,,,,,
benefit131,O4020,Paket Medical Check Up,,Paket Medical Check Up,,,,,,,,,,,,,,,,,,,,,,,,,
benefit132,O4030,Biaya Administrasi,,Biaya Administrasi,,,,,,,,,,,,,,,,,,,,,,,,,
benefit133,O5100,Pre & Post Maternity,,Pre & Post Maternity,,,,,,,,,,,,,,,,,,,,,,,,,
benefit134,O5200,Perawatan Gigi di Rawat Jalan (Dasar / Pencegahan / Perbaikan / Kompleks),,Perawatan Gigi di Rawat Jalan (Dasar / Pencegahan / Perbaikan / Kompleks),,,,,,,,,,,,,,,,,,,,,,,,,
benefit135,O9901,Konsultasi Medis & Penyuluhan Kesehatan,,Konsultasi Medis & Penyuluhan Kesehatan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit136,O9902,Pemeriksaan penunjang Diagnostik sederhana,,Pemeriksaan penunjang Diagnostik sederhana,,,,,,,,,,,,,,,,,,,,,,,,,
benefit137,O9903,Pemberiaan obat-obatan sesuai dengan daftar obat yang dijamin & Formularium,,Pemberiaan obat-obatan sesuai dengan daftar obat yang dijamin & Formularium,,,,,,,,,,,,,,,,,,,,,,,,,
benefit138,O9904,Pemberian surat rujukan ke PPK Lanjutan atas indikasi medis,,Pemberian surat rujukan ke PPK Lanjutan atas indikasi medis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit139,O9905,Pemberian rujuk balik dari provider tingkat lanjutan,,Pemberian rujuk balik dari provider tingkat lanjutan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit140,O9906,Konsultasi Medis & Penyuluhan Kesehatan,,Konsultasi Medis & Penyuluhan Kesehatan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit141,O9907,Pemeriksaan penunjang Diagnostik sederhana,,Pemeriksaan penunjang Diagnostik sederhana,,,,,,,,,,,,,,,,,,,,,,,,,
benefit142,O9908,Tindakan Medis,,Tindakan Medis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit143,O9909,Rehabilitasi Medis,,Rehabilitasi Medis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit144,O9910,Pelayanan kesehatan gigi dan mulut,,Pelayanan kesehatan gigi dan mulut,,,,,,,,,,,,,,,,,,,,,,,,,
benefit145,O9911,Pemberiaan obat-obatan sesuai dengan daftar obat yang dijamin & Formularium,,Pemberiaan obat-obatan sesuai dengan daftar obat yang dijamin & Formularium,,,,,,,,,,,,,,,,,,,,,,,,,
benefit146,O9912,Bahan dan alat kesehatan habis pakai,,Bahan dan alat kesehatan habis pakai,,,,,,,,,,,,,,,,,,,,,,,,,
benefit147,O9913,Pelayanan gawat darurat dengan kriteria Emergency,,Pelayanan gawat darurat dengan kriteria Emergency,,,,,,,,,,,,,,,,,,,,,,,,,
benefit148,O9914,Pemberian surat rujukan ke PPK lebih tinggi atas indikasi medis,,Pemberian surat rujukan ke PPK lebih tinggi atas indikasi medis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit149,O9915,Pemberian rujuk balik dari provider tingkat pertama,,Pemberian rujuk balik dari provider tingkat pertama,,,,,,,,,,,,,,,,,,,,,,,,,
benefit150,SAP_002,Kemoterapi_SAP,,Kemoterapi_SAP,,,,,,,,,,,,,,,,,,,,,,,,,
benefit151,SAP001,Hemodialis,,Hemodialis_SAP,,,,,,,,,,,,,,,,,,,,,,,,,
benefit152,T01,Benefit Test,,Benefit Test,,,,,,,,,,,,,,,,,,,,,,,,,
benefit153,T1000,General Check Up,,General Check Up,,,,,,,,,,,,,,,,,,,,,,,,,
benefit154,T1001,ESWL,,ESWL,,,,,,,,,,,,,,,,,,,,,,,,,
benefit155,T1002,Penunjang Diagnostik,,Penunjang Diagnostik,,,,,,,,,,,,,,,,,,,,,,,,,
benefit156,T1003,Stroke,,Stroke,,,,,,,,,,,,,,,,,,,,,,,,,
benefit157,T1004,Operasi Jantung Tertutup,,Operasi Jantung Tertutup,,,,,,,,,,,,,,,,,,,,,,,,,
benefit158,T1005,Operasi Jantung Terbuka,,Operasi Jantung Terbuka,,,,,,,,,,,,,,,,,,,,,,,,,
benefit159,T1006,Pelayanan Kasus Jantung,,Pelayanan Kasus Jantung,,,,,,,,,,,,,,,,,,,,,,,,,
benefit160,T1007,Halium Scan,,Halium Scan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit161,T1008,Pelayanan Operasi Paru,,Pelayanan Operasi Paru,,,,,,,,,,,,,,,,,,,,,,,,,
benefit162,T1009,Pelayanan Kedokteran Nuklir dan Radio Terapy,,Pelayanan Kedokteran Nuklir dan Radio Terapy,,,,,,,,,,,,,,,,,,,,,,,,,
benefit163,T1010,Angiografi,,Angiografi,,,,,,,,,,,,,,,,,,,,,,,,,
benefit164,T1011,Protesa Mata,,Protesa Mata,,,,,,,,,,,,,,,,,,,,,,,,,
benefit165,T1012,Prothesa Gigi,,Prothesa Gigi,,,,,,,,,,,,,,,,,,,,,,,,,
benefit166,T1013,Alat Bantu Dengar,,Alat Bantu Dengar,,,,,,,,,,,,,,,,,,,,,,,,,
benefit167,T1014,Transplantasi Ginjal,,Transplantasi Ginjal,,,,,,,,,,,,,,,,,,,,,,,,,
benefit168,T1015,Pelayanan Kasus Penyakit Liver / Hepatitis C,,Pelayanan Kasus Penyakit Liver / Hepatitis C,,,,,,,,,,,,,,,,,,,,,,,,,
benefit169,T1016,Pelayanan Kasus Kanker,,Pelayanan Kasus Kanker,,,,,,,,,,,,,,,,,,,,,,,,,
benefit170,T1017,Operasi Bedah Syaraf / Otak / Kepala,,Operasi Bedah Syaraf / Otak / Kepala,,,,,,,,,,,,,,,,,,,,,,,,,
benefit171,T1018,Pelayanan Kasus Aids,,Pelayanan Kasus Aids,,,,,,,,,,,,,,,,,,,,,,,,,
benefit172,T1019,Akupuntur yang dilakukan dokter,,Akupuntur yang dilakukan dokter,,,,,,,,,,,,,,,,,,,,,,,,,
benefit173,T1020,Therapi Ozon,,Therapi Ozon,,,,,,,,,,,,,,,,,,,,,,,,,
benefit174,T1021,Home Care,,Home Care,,,,,,,,,,,,,,,,,,,,,,,,,
benefit175,T1022,Biaya Pemasangan Gigi Palsu,,Biaya Pemasangan Gigi Palsu,,,,,,,,,,,,,,,,,,,,,,,,,
benefit176,T1023,Santunan Meninggal Dunia Alami,,Santunan Meninggal Dunia Alami,,,,,,,,,,,,,,,,,,,,,,,,,
benefit177,T1024,Santunan Meninggal Dunia Kecelakaan,,Santunan Meninggal Dunia Kecelakaan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit178,T1025,Santunan Meninggal Dunia Alami/ Kecelakaan,,Santunan Meninggal Dunia Alami/ Kecelakaan,,,,,,,,,,,,,,,,,,,,,,,,,
benefit179,T9901,Operasi Jantung / Pacu Jantung(PTCA) / katerisasi dilatasi jantung / Scanning Jantung dg Thalium Scanning,,Operasi Jantung / Pacu Jantung(PTCA) / katerisasi dilatasi jantung / Scanning Jantung dg Thalium Scanning,,,,,,,,,,,,,,,,,,,,,,,,,
benefit180,T9902,Pelayanan Kasus Paru (termasuk Operasi Paru),,Pelayanan Kasus Paru (termasuk Operasi Paru),,,,,,,,,,,,,,,,,,,,,,,,,
benefit181,T9903,Pelayanan Kasus Ginjal (ESWL, Transplantasi Ginjal),,Pelayanan Kasus Ginjal (ESWL, Transplantasi Ginjal),,,,,,,,,,,,,,,,,,,,,
benefit182,T9904,Transplantasi Organ,,Transplantasi Organ,,,,,,,,,,,,,,,,,,,,,,,,,
benefit183,T9905,Pelayanan Canggih Penunjang Diagnostik (MRI / MRA / MS CT Scan),,Pelayanan Canggih Penunjang Diagnostik (MRI /MRA / MS CT Scan),,,,,,,,,,,,,,,,,,,,,,,,,
benefit184,T9906,Kedokteran Nuklir dan Radiotherapy,,Kedokteran Nuklir dan Radiotherapy,,,,,,,,,,,,,,,,,,,,,,,,,
benefit185,T9907,Pemeriksaan USG kehamilan dan non kehamilan atas indikasi medis,,Pemeriksaan USG kehamilan dan non kehamilan atas indikasi medis,,,,,,,,,,,,,,,,,,,,,,,,,
benefit186,T9908,Prothesa Anggota Gerak (Tangan),,Prothesa Anggota Gerak (Tangan),,,,,,,,,,,,,,,,,,,,,,,,,
benefit187,T9909,Prothesa Anggota Gerak (Kaki),,Prothesa Anggota Gerak (Kaki),,,,,,,,,,,,,,,,,,,,,,,,,
benefit188,T9910,Ortose anggota Gerak (Tangan),,Ortose anggota Gerak (Tangan),,,,,,,,,,,,,,,,,,,,,,,,,
benefit189,T9911,Ortose anggota Gerak (Kaki),,Ortose anggota Gerak (Kaki),,,,,,,,,,,,,,,,,,,,,,,,,
benefit190,T9912,Alat Bantu Dengar (hanya khusus pegawai),,Alat Bantu Dengar (hanya khusus pegawai),,,,,,,,,,,,,,,,,,,,,,,,,
benefit191,T9913,Implant (Pen / Plate / Screw / IOL / dan Implant lainnya) & (Korset Ortopedi- hanya khusus pegawai),,Implant (Pen / Plate / Screw / IOL / dan Implant lainnya) & (Korset Ortopedi- hanya khusus pegawai),,,,,,,,,,,,,,,,,,,,,,,,,
benefit192,T9914,Ambulance,,Ambulance,,,,,,,,,,,,,,,,,,,,,,,,,
