id,name,product_tmpl_id,product_uom,bom_line_ids/product_id,product_qty,yield,type,routing_id,bom_line_ids/product_uom,bom_line_ids/product_qty,bom_line_ids/component_type
,,,,AVA001,,,,,kg,40.282,raw_material
,,,,BSO003,,,,,kg,79.718,raw_material
,,,,BSO003,,,,,kg,79.718,raw_material
,,,,CBO029,,,,,Pcs,6400,kemas_primer
,,,,CTB014,,,,,Pcs,6400,kemas_primer
,,,,CSG001,,,,,kg,6,kemas_primer
,,,,LBK001,,,,,Pcs,6400,kemas_primer
,,,,CET109,,,,,Pcs,6401,kemas_sekunder
,,,,CBR098,,,,,Pcs,6401,kemas_sekunder
,,,,LBK016,,,,,Pcs,64,kemas_sekunder
,,,,CSH020,,,,,Pcs,21,kemas_sekunder
,,,,LBK010,,,,,Pcs,65,kemas_sekunder
,,,,CCT001,,,,,Roll,3,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_antasidadoen60ml,Antasida Doen 60 ml,Antasida Doen 60 ml,Botol,AAH001,3225,99.31,Normal,Syrup Dengan Dus,kg,10.46,raw_material
,,,,AMH001,,,,,kg,8,raw_material
,,,,BXG001,,,,,kg,0.7,raw_material
,,,,BCS001,,,,,kg,0.65,raw_material
,,,,BCA001,,,,,kg,2.012,raw_material
,,,,BMP001,,,,,kg,0.175,raw_material
,,,,BPP001,,,,,kg,0.105,raw_material
,,,,BSC005,,,,,kg,0.25,raw_material
,,,,BSU002,,,,,kg,3,raw_material
,,,,BGL002,,,,,kg,25.238,raw_material
,,,,BPG001,,,,,kg,5.174,raw_material
,,,,BSO002,,,,,kg,39.144,raw_material
,,,,BPO003,,,,,kg,0.135,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,CBO009,,,,,Pcs,3300,kemas_primer
,,,,CDO004,,,,,Pcs,3300,kemas_primer
,,,,CET012,,,,,Pcs,3226,kemas_sekunder
,,,,CBR007,,,,,Pcs,3226,kemas_sekunder
,,,,CRA007,,,,,Set,65,kemas_sekunder
,,,,CSH017,,,,,Pcs,22,kemas_sekunder
,,,,LBK010,,,,,Pcs,66,kemas_sekunder
,,,,CCT001,,,,,Roll,2,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_bab100ml,BAB 100 ml,BAB 100 ml,Botol,AVA001,1980,97.88,Normal,Syrup Dengan Dus,kg,0.063,raw_material
,,,,ATH003,,,,,kg,0.04,raw_material
,,,,ARP001,,,,,g,55,raw_material
,,,,APH006,,,,,kg,0.08,raw_material
,,,,ACY001,,,,,g,0.12,raw_material
,,,,ANI001,,,,,g,600,raw_material
,,,,ACP001,,,,,kg,0.2,raw_material
,,,,ALH002,,,,,kg,8,raw_material
,,,,AVE001,,,,,kg,0.2,raw_material
,,,,BMP001,,,,,kg,0.2,raw_material
,,,,BPP001,,,,,kg,0.04,raw_material
,,,,BSU002,,,,,kg,50,raw_material
,,,,BSS001,,,,,kg,0.12,raw_material
,,,,BCA001,,,,,kg,0.72,raw_material
,,,,BSC003,,,,,kg,1.2,raw_material
,,,,BGL002,,,,,kg,18.929,raw_material
,,,,BPH003,,,,,kg,0.352,raw_material
,,,,BXG001,,,,,kg,0.4,raw_material
,,,,BPG001,,,,,kg,6.209,raw_material
,,,,BSO002,,,,,kg,26.096,raw_material
,,,,BEO001,,,,,kg,0.421,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,CBO002,,,,,Pcs,2000,kemas_primer
,,,,CDO004,,,,,Pcs,2000,kemas_primer
,,,,CSP001,,,,,Pcs,1980,kemas_primer
,,,,CET016,,,,,Pcs,1982,kemas_sekunder
,,,,CIN012,,,,,Pcs,1981,kemas_sekunder
,,,,CBR008,,,,,Pcs,1981,kemas_sekunder
,,,,CSH026,,,,,Pcs,13,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_calcivita200ml,Calcivita 200 ml,Calcivita 200 ml,Botol,ACG001,990,95.95,Normal,Syrup Dengan Dus,kg,1.28,raw_material
,,,,ACL001,,,,,kg,0.32,raw_material
,,,,AVA001,,,,,kg,0.031,raw_material
,,,,AVD001,,,,,g,4,raw_material
,,,,ATH003,,,,,kg,0.046,raw_material
,,,,ARP001,,,,,g,61.9,raw_material
,,,,APH007,,,,,kg,0.021,raw_material
,,,,ANI001,,,,,g,200,raw_material
,,,,ADE001,,,,,kg,0.091,raw_material
,,,,AAA002,,,,,kg,2.24,raw_material
,,,,AVE001,,,,,kg,0.04,raw_material
,,,,BXG001,,,,,kg,0.6,raw_material
,,,,BSU002,,,,,kg,48,raw_material
,,,,BCA001,,,,,kg,0.5,raw_material
,,,,BSO002,,,,,kg,32.62,raw_material
,,,,BGL002,,,,,kg,18.93,raw_material
,,,,BPG001,,,,,kg,5.174,raw_material
,,,,BDE001,,,,,g,400,raw_material
,,,,BSS001,,,,,kg,0.067,raw_material
,,,,BPH003,,,,,kg,0.32,raw_material
,,,,BSC002,,,,,kg,0.6,raw_material
,,,,BET001,,,,,Liter(s),0.95,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,BDE002,,,,,g,30,raw_material
,,,,CBO007,,,,,Pcs,1000,kemas_primer
,,,,CDO004,,,,,Pcs,1000,kemas_primer
,,,,CPC001,,,,,Pcs,991,kemas_primer
,,,,CET018,,,,,Pcs,991,kemas_sekunder
,,,,CBR010,,,,,Pcs,991,kemas_sekunder
,,,,CIN001,,,,,Pcs,991,kemas_sekunder
,,,,LBK025,,,,,Set,28,kemas_sekunder
,,,,LBK022,,,,,Pcs,56,kemas_sekunder
,,,,CPB001,,,,,Roll,2,kemas_sekunder
bom_camaag100ml,Camaag 100 ml,Camaag 100 ml,Botol,AAH001,1960,98.48,Normal,Syrup Dengan Dus,kg,26,raw_material
,,,,AMH001,,,,,kg,14,raw_material
,,,,ADI001,,,,,kg,4,raw_material
,,,,BCS001,,,,,kg,0.16,raw_material
,,,,BXG001,,,,,kg,0.5,raw_material
,,,,BCA001,,,,,kg,2.012,raw_material
,,,,BMP001,,,,,kg,0.175,raw_material
,,,,BPP001,,,,,kg,0.105,raw_material
,,,,BSC005,,,,,kg,0.25,raw_material
,,,,BSU002,,,,,kg,3,raw_material
,,,,BPO003,,,,,kg,0.135,raw_material
,,,,BGL002,,,,,kg,25.238,raw_material
,,,,BPG001,,,,,kg,5.174,raw_material
,,,,BSO002,,,,,kg,39.144,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,CBO005,,,,,Pcs,2000,kemas_primer
,,,,CDO004,,,,,Pcs,2000,kemas_primer
,,,,CET019,,,,,Pcs,1961,kemas_sekunder
,,,,CIN014,,,,,Pcs,1961,kemas_sekunder
,,,,CBR011,,,,,Pcs,1961,kemas_sekunder
,,,,CSH026,,,,,Pcs,13,kemas_sekunder
,,,,LBK010,,,,,Pcs,40,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_camaag200ml,Camaag 200 ml,Camaag 200 ml,Botol,AAH001,980,99.03,Normal,Syrup Dengan Dus,kg,10.46,raw_material
,,,,AMH001,,,,,kg,8,raw_material
,,,,ADI001,,,,,kg,1.2,raw_material
,,,,BXG001,,,,,kg,0.8,raw_material
,,,,BCS001,,,,,kg,0.65,raw_material
,,,,BCA001,,,,,kg,2.012,raw_material
,,,,BMP001,,,,,kg,0.175,raw_material
,,,,BPP001,,,,,kg,0.105,raw_material
,,,,BSC005,,,,,kg,0.25,raw_material
,,,,BSU002,,,,,kg,3,raw_material
,,,,BGL002,,,,,kg,25.238,raw_material
,,,,BPG001,,,,,kg,5.174,raw_material
,,,,BSO002,,,,,kg,39.144,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,CBO007,,,,,Pcs,1000,kemas_primer
,,,,CDO004,,,,,Pcs,1000,kemas_primer
,,,,CET020,,,,,Pcs,981,kemas_sekunder
,,,,CIN015,,,,,Pcs,981,kemas_sekunder
,,,,CBR012,,,,,Pcs,981,kemas_sekunder
,,,,CSH021,,,,,Pcs,14,kemas_sekunder
,,,,CPS002,,,,,kg,0.1,kemas_sekunder
,,,,LBK023,,,,,Pcs,27,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_came60ml,Came 60 ml,Came 60 ml,Botol,APH005,3292,,Normal,Syrup Dengan Dus,kg,0.21,raw_material
,,,,BMP001,,,,,kg,0.175,raw_material
,,,,BPP001,,,,,kg,0.025,raw_material
,,,,BSC003,,,,,kg,1,raw_material
,,,,BCA001,,,,,kg,1.5,raw_material
,,,,BXG001,,,,,kg,0.2,raw_material
,,,,BSC005,,,,,kg,0.9,raw_material
,,,,BSS001,,,,,kg,0.09,raw_material
,,,,BPK001,,,,,kg,1,raw_material
,,,,BSU002,,,,,kg,5,raw_material
,,,,BET002,,,,,g,25,raw_material
,,,,BAL001,,,,,Liter(s),0.5,raw_material
,,,,BGL002,,,,,kg,6.31,raw_material
,,,,BPO003,,,,,kg,0.135,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,CBO009,,,,,Pcs,3300,kemas_primer
,,,,CDO004,,,,,Pcs,3300,kemas_primer
,,,,CET021,,,,,Pcs,3358,kemas_sekunder
,,,,CIN017,,,,,Pcs,3292,kemas_sekunder
,,,,CBR014,,,,,Pcs,3292,kemas_sekunder
,,,,CSH017,,,,,Pcs,22,kemas_sekunder
,,,,LBK010,,,,,Pcs,66,kemas_sekunder
,,,,CPB001,,,,,Roll,0.4,kemas_sekunder
bom_camexine60ml,Camexine 60 ml,Camexine 60 ml,Botol,ABH001,3278,,Normal,Syrup Dengan Dus,kg,0.17,raw_material
,,,,BMP001,,,,,kg,0.2,raw_material
,,,,BPP001,,,,,kg,0.06,raw_material
,,,,BPK001,,,,,kg,2,raw_material
,,,,BSU002,,,,,kg,50,raw_material
,,,,BAL001,,,,,Liter(s),10.7,raw_material
,,,,BSO002,,,,,kg,26.096,raw_material
,,,,BGL002,,,,,kg,50.476,raw_material
,,,,BPG001,,,,,kg,5.277,raw_material
,,,,BAG001,,,,,g,1.25,raw_material
,,,,BEJ001,,,,,kg,0.492,raw_material
,,,,BPO003,,,,,kg,0.045,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,CBO009,,,,,Pcs,3300,kemas_primer
,,,,CDO004,,,,,Pcs,3300,kemas_primer
,,,,CET022,,,,,Pcs,3279,kemas_sekunder
,,,,CIN018,,,,,Pcs,3279,kemas_sekunder
,,,,CBR015,,,,,Pcs,3279,kemas_sekunder
,,,,CSH017,,,,,Pcs,22,kemas_sekunder
,,,,LBK010,,,,,Pcs,67,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_camicetine60ml,Camicetine 60 ml,Camicetine 60 ml,Botol,ACP002,3225,99.38,Normal,Syrup Dengan Dus,kg,9,raw_material
,,,,BPO001,,,,,kg,1.716,raw_material
,,,,BCS001,,,,,kg,2.6,raw_material
,,,,BMP001,,,,,kg,0.36,raw_material
,,,,BPP001,,,,,kg,0.06,raw_material
,,,,BSS001,,,,,kg,0.05,raw_material
,,,,BSC005,,,,,kg,0.3,raw_material
,,,,BMA002,,,,,kg,0.2,raw_material
,,,,BSC002,,,,,kg,0.1,raw_material
,,,,BEV001,,,,,kg,0.174,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,CBO009,,,,,Pcs,3300,kemas_primer
,,,,CDO004,,,,,Pcs,3300,kemas_primer
,,,,CET026,,,,,Pcs,3226,kemas_sekunder
,,,,CIN022,,,,,Pcs,3226,kemas_sekunder
,,,,CBR018,,,,,Pcs,3226,kemas_sekunder
,,,,CSH017,,,,,Pcs,22,kemas_sekunder
,,,,LBK010,,,,,Pcs,66,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_camicetine60mlexport,Camicetine 60 ml Export,Camicetine 60 ml Export,Botol,ACP002,3225,99.55,Normal,Syrup Dengan Dus,kg,9,raw_material
,,,,BMA002,,,,,kg,0.2,raw_material
,,,,BEV001,,,,,kg,0.174,raw_material
,,,,BSC005,,,,,kg,0.3,raw_material
,,,,BSC002,,,,,kg,0.1,raw_material
,,,,BSS001,,,,,kg,0.05,raw_material
,,,,BMP001,,,,,kg,0.36,raw_material
,,,,BPP001,,,,,kg,0.06,raw_material
,,,,BPO001,,,,,kg,1.716,raw_material
,,,,BCS001,,,,,kg,2.6,raw_material
,,,,CBO009,,,,,Pcs,3300,kemas_primer
,,,,CDO004,,,,,Pcs,3300,kemas_primer
,,,,CBR017,,,,,Pcs,3226,kemas_sekunder
,,,,CET025,,,,,Pcs,3226,kemas_sekunder
,,,,CIN021,,,,,Pcs,3226,kemas_sekunder
,,,,CSH017,,,,,Pcs,22,kemas_sekunder
bom_camidex100ml,Camidex 100 ml,Camidex 100 ml,Botol,ADH005,1980,,Normal,Syrup Dengan Dus,kg,0.42,raw_material
,,,,BSC003,,,,,kg,1,raw_material
,,,,BCA001,,,,,kg,0.389,raw_material
,,,,BCS001,,,,,kg,0.5,raw_material
,,,,BSU002,,,,,kg,2,raw_material
,,,,BMP001,,,,,kg,0.2,raw_material
,,,,BPP001,,,,,kg,0.04,raw_material
,,,,BSC005,,,,,kg,0.67,raw_material
,,,,BSS001,,,,,kg,0.067,raw_material
,,,,BET002,,,,,g,25,raw_material
,,,,BEK001,,,,,Liter(s),0.12,raw_material
,,,,BPO003,,,,,kg,0.09,raw_material
,,,,BAL001,,,,,Liter(s),10,raw_material
,,,,BGL002,,,,,kg,3.786,raw_material
,,,,BSO002,,,,,kg,6.31,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,CBO004,,,,,Pcs,2000,kemas_primer
,,,,CDO004,,,,,Pcs,2000,kemas_primer
,,,,CET032,,,,,Pcs,1981,kemas_sekunder
,,,,CIN027,,,,,Pcs,1981,kemas_sekunder
,,,,CBR023,,,,,Pcs,1981,kemas_sekunder
,,,,CSH024,,,,,Pcs,13,kemas_sekunder
,,,,LBK010,,,,,Pcs,41,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_camidryl60ml,Camidryl 60 ml,Camidryl 60 ml,Botol,ADH001,3278,99.1,Normal,Syrup Dengan Dus,kg,0.53,raw_material
,,,,AAC002,,,,,kg,4,raw_material
,,,,AAC002,,,,,kg,4,raw_material
,,,,BSC002,,,,,kg,2,raw_material
,,,,BCA001,,,,,kg,1.234,raw_material
,,,,BSU002,,,,,kg,10,raw_material
,,,,BMP001,,,,,kg,0.175,raw_material
,,,,BPP001,,,,,kg,0.025,raw_material
,,,,BXG001,,,,,kg,0.1,raw_material
,,,,BSC005,,,,,kg,0.67,raw_material
,,,,BSS001,,,,,kg,0.067,raw_material
,,,,BAG001,,,,,g,12.5,raw_material
,,,,BAL001,,,,,Liter(s),0.5,raw_material
,,,,BEA001,,,,,kg,0.103,raw_material
,,,,BSO002,,,,,kg,26.096,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,CBO009,,,,,Pcs,3300,kemas_primer
,,,,CDO004,,,,,Pcs,3300,kemas_primer
,,,,CET035,,,,,Pcs,3279,kemas_sekunder
,,,,CIN031,,,,,Pcs,3279,kemas_sekunder
,,,,CBR026,,,,,Pcs,3279,kemas_sekunder
,,,,CSH017,,,,,Pcs,22,kemas_sekunder
,,,,LBK010,,,,,Pcs,67,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_camikolin60ml,Camikolin 60 ml,Camikolin 60 ml,Botol,AKA001,3278,,Normal,Syrup Dengan Dus,kg,59.16,raw_material
,,,,APE001,,,,,kg,1.307,raw_material
,,,,BSS001,,,,,kg,0.064,raw_material
,,,,BMP001,,,,,kg,0.2,raw_material
,,,,BPP001,,,,,kg,0.02,raw_material
,,,,BCA001,,,,,kg,0.2,raw_material
,,,,BPK001,,,,,kg,1,raw_material
,,,,BCP001,,,,,kg,2,raw_material
,,,,BXG001,,,,,kg,0.4,raw_material
,,,,BGL002,,,,,kg,18.93,raw_material
,,,,BSO002,,,,,kg,26.096,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,CBO002,,,,,Pcs,3300,kemas_primer
,,,,CDO004,,,,,Pcs,3300,kemas_primer
,,,,CET038,,,,,Pcs,3278,kemas_sekunder
,,,,CIN035,,,,,Pcs,3278,kemas_sekunder
,,,,CBR029,,,,,Pcs,3278,kemas_sekunder
,,,,CSH026,,,,,Pcs,22,kemas_sekunder
,,,,LBK010,,,,,Pcs,67,kemas_sekunder
,,,,CPB001,,,,,Roll,1.3,kemas_sekunder
bom_camivitasyrup60ml,Camivita Syrup 60 ml,Camivita Syrup 60 ml,Botol,AVA001,3278,97.48,Normal,Syrup Dengan Dus,kg,0.063,raw_material
,,,,ATH003,,,,,kg,0.12,raw_material
,,,,ARP001,,,,,g,0.055,raw_material
,,,,APH007,,,,,kg,0.08,raw_material
,,,,ACY001,,,,,g,0.12,raw_material
,,,,ANI001,,,,,g,0.6,raw_material
,,,,ACP001,,,,,kg,0.2,raw_material
,,,,BPH003,,,,,kg,0.2,raw_material
,,,,BXG001,,,,,kg,0.2,raw_material
,,,,BMP001,,,,,kg,0.2,raw_material
,,,,BSU002,,,,,kg,22.5,raw_material
,,,,BCA001,,,,,kg,0.914,raw_material
,,,,BPH004,,,,,g,10,raw_material
,,,,BET002,,,,,g,25,raw_material
,,,,BSO002,,,,,kg,65.24,raw_material
,,,,BGL002,,,,,kg,25.238,raw_material
,,,,BPG001,,,,,kg,5.174,raw_material
,,,,BEK001,,,,,Liter(s),0.36,raw_material
,,,,BPW001,,,,,Liter(s),200,raw_material
,,,,CBO009,,,,,Pcs,3300,kemas_primer
,,,,CDO004,,,,,Pcs,3300,kemas_primer
,,,,CET044,,,,,Pcs,3279,kemas_sekunder
,,,,CIN044,,,,,Pcs,3279,kemas_sekunder
,,,,CBR039,,,,,Pcs,3279,kemas_sekunder
,,,,CSH017,,,,,Pcs,22,kemas_sekunder
,,,,LBK010,,,,,Pcs,67,kemas_sekunder
,,,,CPB001,,,,,Roll,1,kemas_sekunder
bom_camivitasyrup120ml,Camivita Syrup 120 ml,Camivita Syrup 120 ml,Botol,AVA001,1639,,Normal,Syrup Dengan Dus,kg,0.063,raw_material
,,,,ATH003,,,,,kg,0.12,raw_material
,,,,ARP001,,,,,g,0.055,raw_material
,,,,APH007,,,,,kg,0.08,raw_material
,,,,ACY001,,,,,g,0.12,raw_material
,,,,ANI001,,,,,g,0.6,raw_material
,,,,ACP001,,,,,kg,0.2,raw_material
,,,,BPH003,,,,,kg,0.2,raw_material
,,,,BXG001,,,,,kg,0.2,raw_material
,,,,BMP001,,,,,kg,0.2,raw_material
,,,,BSU002,,,,,kg,22.5,raw_material
,,,,BCA001,,,,,kg,0.914,raw_material
,,,,BPH004,,,,,g,10,raw_material
,,,,BET002,,,,,g,25,raw_material
,,,,BSO002,,,,,kg,65.24,raw_material
,,,,BGL002,,,,,kg,25.238,raw_material
,,,,BPG001,,,,,kg,5.174,raw_material
