"id","name","year","forecast_detail_ids/product_id","forecast_detail_ids/product_uom","forecast_detail_ids/m1","forecast_detail_ids/m2","forecast_detail_ids/m3","forecast_detail_ids/m4","forecast_detail_ids/m5","forecast_detail_ids/m6","forecast_detail_ids/m7","forecast_detail_ids/m8","forecast_detail_ids/m9","forecast_detail_ids/m10","forecast_detail_ids/m11","forecast_detail_ids/m12"
,,,"Lusitren 20 mg/ml 15 ml","Box 5 Ampul",,,,,,,,,,,,
,,,"Matosin 10 IU/ml 1 ml","Box 5 Ampul",,,,,,,,,,,,
,,,"Methylergometrine 0,2mg/ml 1ml","Box 100 Ampul",,,,,,,,,,,,
,,,"Papaverin 40 mg/ml 10 ml","Box 10 Vial",,,,,,,,,,,,
,,,"Papaverin 40 mg/ml 1 ml","Box 100 Ampul",,,,,,,,,,,,
,,,"Piracetam 200 mg/ml 15 ml","Box 5 Ampul",,,,,,,,,,,,
,,,"Piracetam 200 mg/ml 5 ml","Box 10 Ampul",,,,,,,,,,,,
,,,"Vitamin B complex 10 ml","Box 10 Vial",,,,,,,,,,,,
,,,"Vitamin B complex 20 ml","Box 10 Vial",,,,,,,,,,,,
,,,"Vitamin B1 1 ml","Box",,,,,,,,,,,,
,,,"Vitamin B1 10 ml","Box 10 Vial",,,,,,,,,,,,
,,,"Vitamin B1 100 mg/ml 1 ml","Box 100 Ampul",,,,,,,,,,,,
,,,"Vitamin B12 500mcg/ml 1 ml","Box 100 Ampul",,,,,,,,,,,,
,,,"Vitamin B12 500 mcg/ml 10 ml","Box 10 Vial",,,,,,,,,,,,
,,,"Vitamin B6 1 ml @ 50","Box 50 Ampul",,,,,,,,,,,,
,,,"Vitamin B6 1 ml @ 100","Box 100 Ampul",,,,,,,,,,,,
,,,"Vitamin K 10 mg/ml 1 ml","Box 100 Ampul",,,,,,,,,,,,
,,,"Camicetine 250 mg Blister","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camicetine 250 mg Pot 1000","Box 1000 Kpsul",,,,,,,,,,,,
,,,"Camicetine 250 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camicetine 500 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camicyclin 250 mg Blister","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camicyclin 250 mg Pot 1000","Pot 1000 Kpsul",,,,,,,,,,,,
,,,"Camicyclin 250 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camicyclin 500 mg Pot 1000","Box 1000 Kpsul",,,,,,,,,,,,
,,,"Camicyclin 500 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camitrosin 250 mg Blister","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camitrosin 250 mg Pot 1000","Pot 1000 Kpsul",,,,,,,,,,,,
,,,"Camitrosin 250 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Chlorampenicol 250 mg Pot 1000","Pot 1000 Kpsul",,,,,,,,,,,,
,,,"Chlorampenicol 250 mg Pot 250","Pot 250 Kpsul",,,,,,,,,,,,
,,,"Chlorampenicol 250 mg Strip 10","Box 100 Kpsul",,,,,,,,,,,,
,,,"Chlorampenicol 250 mg Strip 12","Box 120 Kpsul",,,,,,,,,,,,
,,,"Camistan 250 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Doxycycline 100 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Erythromycin 250 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Glomasin 150 mg Strip","Box 30 Kpsul",,,,,,,,,,,,
,,,"Glomasin 300 mg Strip","Box 30 Kpsul",,,,,,,,,,,,
,,,"Heparsan Pot 30","Pot 30 Kpsul",,,,,,,,,,,,
,,,"Indometacin 25 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Kosaka Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Oximak Pot 30","Pot 30 Kpsul",,,,,,,,,,,,
,,,"Phenytoin 100 mg Pot 100","Pot 100 Kpsul",,,,,,,,,,,,
,,,"Phenytoin 100 mg Pot 250","Pot 250 Kpsul",,,,,,,,,,,,
,,,"Phenytoin 30 mg Pot 100","Pot 100 Kpsul",,,,,,,,,,,,
,,,"Phenytoin 30 mg Pot 250","Pot 250 Kpsul",,,,,,,,,,,,
,,,"Rosan Pot 30","Pot 30 Kpsul",,,,,,,,,,,,
,,,"Tetracycline 250 mg Pot 1000","Pot 1000 Kpsul",,,,,,,,,,,,
,,,"Tetracycline 250 mg Strip","Box 100 Kpsul",,,,,,,,,,,,
,,,"Zentropil 100 mg Blister","Box 100 Kpsul",,,,,,,,,,,,
,,,"Zentropil 100 mg Pot 250","Pot 250 Kpsul",,,,,,,,,,,,
,,,"Zentropil 30 mg Pot 250","Pot 250 Kpsul",,,,,,,,,,,,
,,,"Camaag Strip","Box 100 Table",,,,,,,,,,,,
,,,"Camistan 250 mg Blister","Box 100 Kpsul",,,,,,,,,,,,
,,,"Camistan 500 mg Strip","Box 100 Kplet",,,,,,,,,,,,
,,,"Fluza Blister","Box 100 Kplet",,,,,,,,,,,,
,,,"Fluza Catch Cover","Box 100 Kplet",,,,,,,,,,,,
,,,"Glocef 1 g","Vial",,,,,,,,,,,,
,,,"Jayacin 500 mg Strip","Box 30 Kptab",,,,,,,,,,,,
,,,"Renxon 1 g","Vial",,,,,,,,,,,,
,,,"Balcitin 1 % 5 g","Tube",,,,,,,,,,,,
,,,"Betametason 0,1% 5 g","Tube",,,,,,,,,,,,
,,,"Fluza Effervescent","Tube",,,,,,,,,,,,
,,,"Galium 10 mg Strip","Box",,,,,,,,,,,,
,,,"Galium 5 mg Strip","Box",,,,,,,,,,,,
,,,"Glodin 5 mg Strip","Box",,,,,,,,,,,,
,,,"Glomeson 4 mg Strip","Box",,,,,,,,,,,,
,,,"Glomeson 8 mg Strip","Box",,,,,,,,,,,,
,,,"Glomeson 16 mg Strip","Box",,,,,,,,,,,,
,,,"Iglodep 50 mg Strip","Box",,,,,,,,,,,,
,,,"Lutrotam 800 mg Strip","Box 50 Kptab",,,,,,,,,,,,
,,,"Methylergometrin Pot 100","Pot 100 Table",,,,,,,,,,,,
,,,"Myoman 50 mg Strip","Box",,,,,,,,,,,,
,,,"Paxicam 15 mg Strip","Box 30 Table",,,,,,,,,,,,
,,,"Paxicam 7.5 mg Strip","Box 30 Table",,,,,,,,,,,,
,,,"Phenoxymethyl-penicillin 250mg","Pot 100 Table",,,,,,,,,,,,
,,,"Phenoxymethylpenicillin 500mg","Pot 100 Table",,,,,,,,,,,,
,,,"Trenxy  400 mg Strip","Box 30 Table",,,,,,,,,,,,
,,,"Vitamin A 50.000 IU Pot 1000","Pot 100 Table",,,,,,,,,,,,
,,,"Paclulic 10 mg","Box",,,,,,,,,,,,
,,,"Alkohol 70% 100 ml","Botol",,,,,,,,,,,,
,,,"Alkohol 70% 1 L","Botol",,,,,,,,,,,,
,,,"Cayodine 30 ml","Botol",,,,,,,,,,,,
,,,"Cayodine 30 ml TD","Botol",,,,,,,,,,,,
,,,"Cayodine 60 ml","Botol",,,,,,,,,,,,
,,,"Cayodine 60 ml TD","Botol",,,,,,,,,,,,
,,,"Cayodine 1 L","Botol",,,,,,,,,,,,
,,,"Glyserol 100 ml","Botol",,,,,,,,,,,,
,,,"Otedental 10 ml","Botol",,,,,,,,,,,,
,,,"Povidone iodine 30 ml","Botol",,,,,,,,,,,,
,,,"Povidone iodine 300 ml","Botol",,,,,,,,,,,,
,,,"Povidone iodine 1 L","Botol",,,,,,,,,,,,
,,,"Rivanol 300 ml","Botol",,,,,,,,,,,,
,,,"Rivanol 100 ml","Botol",,,,,,,,,,,,
,,,"Lysol 1 L","Botol",,,,,,,,,,,,
,,,"Bio nigell","Kapsul",,,,,,,,,,,,
,,,"Buah Merah Rediss","Kapsul",,,,,,,,,,,,
,,,"Buah Merah W 600","Kapsul",,,,,,,,,,,,
,,,"DBS Habbazzaitun","Kapsul",,,,,,,,,,,,
,,,"Hebbat Yemen 600 mg","Kapsul",,,,,,,,,,,,
,,,"Inspira Fish Oil","Kapsul",,,,,,,,,,,,
,,,"Inspira Vitamin E 400 IU","Kapsul",,,,,,,,,,,,
,,,"Lamata","Pot 30 Kp Lu",,,,,,,,,,,,
,,,"Pure Fish Oil","Kapsul",,,,,,,,,,,,
,,,"Vitamin A 100.000 IU","Pot 50 Kp Lu",,,,,,,,,,,,
,,,"Vitamin A 200.000 IU","Pot 50 Kp Lu",,,,,,,,,,,,
,,,"Natura Nigela S 700","Kapsul",,,,,,,,,,,,
,,,"Natura Omega S 650","Kapsul",,,,,,,,,,,,
,,,"Biocelle","Kapsul",,,,,,,,,,,,
,,,"Habbatussauda 600 mg","Kapsul",,,,,,,,,,,,
,,,"Isotretinoin 10 mg","Kapsul",,,,,,,,,,,,
,,,"Fish Oil 1000 mg","Kapsul",,,,,,,,,,,,
,,,"Olive Oil 600 mg","Kapsul",,,,,,,,,,,,
,,,"Carniten","Kapsul",,,,,,,,,,,,
,,,"Colicol","Kapsul",,,,,,,,,,,,
,,,"Vomil 650 mg","Kapsul",,,,,,,,,,,,
,,,"Antasida Doen 60 ml","Botol",,,,,,,,,,,,
,,,"BAB 100 ml","Botol",,,,,,,,,,,,
,,,"Calcivita 200 ml","Botol",,,,,,,,,,,,
,,,"Camaag 100 ml","Botol",,,,,,,,,,,,
,,,"Camaag 200 ml","Botol",,,,,,,,,,,,
,,,"Came 60 ml","Botol",,,,,,,,,,,,
,,,"Camexine 60 ml","Botol",,,,,,,,,,,,
,,,"Camicetine 60 ml","Botol",,,,,,,,,,,,
,,,"Camicetine 60 ml Export","Botol",,,,,,,,,,,,
,,,"Camidex 100 ml","Botol",,,,,,,,,,,,
,,,"Camidryl 60 ml","Botol",,,,,,,,,,,,
,,,"Camikolin 60 ml","Botol",,,,,,,,,,,,
,,,"Camivita Syrup 60 ml","Botol",,,,,,,,,,,,
,,,"Camivita Syrup 120 ml","Botol",,,,,,,,,,,,
,,,"Carisin 15 ml","Botol",,,,,,,,,,,,
,,,"Casetamol 60 ml","Botol",,,,,,,,,,,,
,,,"Casetamol 60 ml Export","Botol",,,,,,,,,,,,
,,,"Chlorampenicol 60 ml","Botol",,,,,,,,,,,,
,,,"Cotrimoksazole 60 ml","Botol",,,,,,,,,,,,
,,,"Daganak 100 ml","Botol",,,,,,,,,,,,
,,,"Daganak 100 ml Gepeng","Botol",,,,,,,,,,,,
,,,"Dextromethorphan 60 ml","Botol",,,,,,,,,,,,
,,,"Kosaka 60 ml","Botol",,,,,,,,,,,,
,,,"Lycivita 100 ml","Botol",,,,,,,,,,,,
,,,"OBH 100 ml","Botol",,,,,,,,,,,,
,,,"OBH 100 ml TD","Botol",,,,,,,,,,,,
,,,"OBH 100 ml pet","Botol",,,,,,,,,,,,
,,,"OBH 100 ml Gepeng","Botol",,,,,,,,,,,,
,,,"OBH 100 ml Export","Botol",,,,,,,,,,,,
,,,"OBH 100 ml Gepeng Export","Botol",,,,,,,,,,,,
,,,"Paracetamol 60 ml","Botol",,,,,,,,,,,,
,,,"Piperazin 60 ml","Botol",,,,,,,,,,,,
,,,"Prometazine 60 ml","Botol",,,,,,,,,,,,
,,,"Promethazin 5 mg/ml 60 ml","Botol",,,,,,,,,,,,
,,,"Protusin 100 ml","Botol",,,,,,,,,,,,
,,,"Sanmino 120 ml","Botol",,,,,,,,,,,,
,,,"Camikolin 60 ml eksport","Botol",,,,,,,,,,,,
,,,"Glosweet 100 ml Syrup","Botol",,,,,,,,,,,,
,,,"Camivita Plus","Botol",,,,,,,,,,,,
,,,"Camivita Grow","Botol",,,,,,,,,,,,
,,,"Glocetamol Forte","Botol",,,,,,,,,,,,
,,,"Lutrotam 200 mg/ml 60 ml","Box",,,,,,,,,,,,
,,,"Metronidazol 500 mg 100 ml","Box",,,,,,,,,,,,
,,,"Aquadestillata steril 500 ml","Botol",,,,,,,,,,,,
,,,"Phenol Glycerol 5 ml","Box 24 Botol",,,,,,,,,,,,
